id,ContrastNameSimple,study_id,contrast_id,Paper,Author,Year,Title,Journal,Collection,Note,Tags,ContrastName,ContrastDescription,SampleSize,PercentFemale,MeanMedAge,AgeRange,Adult,PreTeen,Adolescent,Teen,Child,UnivariateContrast,HvC,SocialDecision,Comm,Group,Alone,Tactile,Competition,Cooperation,JointAttention,Action,SocialEngagement,Interaction,Initiating,Responding,SocialObs,KnownPartner,HyperScanning,SocialVsNon_Symbolic,SocVsSoc_Symbolic
Abe_2019-1,Perform Joint > Perform Solo,Abe_2019,1,"Abe, M. O., Koike, T., Okazaki, S., Sugawara, S. K., Takahashi, K., Watanabe, K., & Sadato, N. (2019). Neural correlates of online cooperation during joint force production. NeuroImage, 191, 150–161. https://doi.org/10.1016/j.neuroimage.2019.02.003",Abe,2019,Neural correlates of online cooperation during joint force production.,NeuroImage,Neural,,Joint Action; Hyperscanning; Grip Force; Hand grip; Joint vs Solo; Cooperation,Table 1: “Results of [PJ > PS] contrast.,"Table 1: “Results of [PJ > PS] contrast.” (Abe et al., 2019, p. 154)",38,47.37,23,19-27,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Abu-Akel_2020-1,Human > Computer,Abu-Akel_2020,1,"Abu-Akel, A. M., Apperly, I. A., Wood, S. J., & Hansen, P. C. (2020). Re-imaging the intentional stance. Proceedings of the Royal Society B: Biological Sciences, 287(1925), 20200244. https://doi.org/10.1098/rspb.2020.0244",Abu-Akel,2020,Re-imaging the intentional stance.,Proceedings of the Royal Society B: Biological Sciences,ExclusionTerms,,Human vs Computer; Rock-Paper-Scissors;,Table 1: “human > computer,"Table 1: “human > computer” (Abu-Akel et al., 2020, p. 4)",24,79.17,21.21,,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Alkire_2018-1,Human > Computer,Alkire_2018,1,"Alkire, D., Levitas, D., Warnell, K. R., & Redcay, E. (2018). Social interaction recruits mentalizing and reward systems in middle childhood. Human Brain Mapping, 39(10), 3928–3942. https://doi.org/10.1002/hbm.24221",Alkire,2018,Social interaction recruits mentalizing and reward systems in middle childhood.,Human Brain Mapping,SocIntx,,Social Interaction; Human vs Computer; Chat;,“Main Effect of Social Interaction: Character > Peer,"“Main Effect of Social Interaction: Character > Peer” (Alkire et al., 2018, p. 7; Note that this is a typo and should read Peer > Character)",28,50,10.41,8.18-12.98,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alkire_2018-2,Human > Computer (non-mental),Alkire_2018,2,"Alkire, D., Levitas, D., Warnell, K. R., & Redcay, E. (2018). Social interaction recruits mentalizing and reward systems in middle childhood. Human Brain Mapping, 39(10), 3928–3942. https://doi.org/10.1002/hbm.24221",Alkire,2018,Social interaction recruits mentalizing and reward systems in middle childhood.,Human Brain Mapping,SocIntx,,Social Interaction; Human vs Computer; Chat;,“Peer Non-Mental > Character Non-Mental,"“Peer Non-Mental > Character Non-Mental” (Alkire et al., 2018, p. 8)",28,50,10.41,8.18-12.98,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alkire_2018-3,Human > Computer (mental),Alkire_2018,3,"Alkire, D., Levitas, D., Warnell, K. R., & Redcay, E. (2018). Social interaction recruits mentalizing and reward systems in middle childhood. Human Brain Mapping, 39(10), 3928–3942. https://doi.org/10.1002/hbm.24221",Alkire,2018,Social interaction recruits mentalizing and reward systems in middle childhood.,Human Brain Mapping,SocIntx,,Social Interaction; Human vs Computer; Chat;,“Peer Mental > Character Mental,"“Peer Mental > Character Mental” (Alkire et al., 2018, p. 9)",28,50,10.41,8.18-12.98,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anders_2015-1,Human > Computer (univariate),Anders_2015,1,"Anders, S., Heussen, Y., Sprenger, A., Haynes, J.-D., & Ethofer, T. (2015). Social gating of sensory information during ongoing communication. NeuroImage, 104, 189–198. https://doi.org/10.1016/j.neuroimage.2014.10.007",Anders,2015,Social gating of sensory information during ongoing communication.,NeuroImage,SocExcluding,,Emotion; Human vs Computer; METHOD: MVPA Classification;,Table 2: “A. Univariate analysis: friend minus pc,"Table 2: “A. Univariate analysis: friend minus pc” (Anders et al., 2015, p. 194)“",18,100,22.1,19-28,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Anders_2015-2,Human > Computer (mvpa),Anders_2015,2,"Anders, S., Heussen, Y., Sprenger, A., Haynes, J.-D., & Ethofer, T. (2015). Social gating of sensory information during ongoing communication. NeuroImage, 104, 189–198. https://doi.org/10.1016/j.neuroimage.2014.10.007",Anders,2015,Social gating of sensory information during ongoing communication.,NeuroImage,SocExcluding,,Emotion; Human vs Computer; METHOD: MVPA Classification;,C. Searchlight-based MVCA: friend minus pc,"C. Searchlight-based MVCA: friend minus pc” (Anders et al., 2015, p. 194)",18,100,22.1,19-28,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Assaf_2013-1,Show > No-Show,Assaf_2013,1,"Assaf, M., Hyatt, C. J., Wong, C. G., Johnson, M. R., Schultz, R. T., Hendler, T., & Pearlson, G. D. (2013). Mentalizing and motivation neural function during social interactions in autism spectrum disorders. NeuroImage: Clinical, 3, 321–331. https://doi.org/10.1016/j.nicl.2013.09.005",Assaf,2013,Mentalizing and motivation neural function during social interactions in autism spectrum disorders.,NeuroImage: Clinical,SocIntx,,Competitive game; Human vs Computer; Dominos; MASKED ACTIVATION; ASTERISK;,Table 3: Human Show N No-Show masked with Human N Compute,"Table 3: Human Show N No-Show masked with Human N Computer (all subjects) (Assaf et al., 2013, p. 327)",27,22.22,17.45,,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Bach_2019-1,cyberball exclusion > motor control,Bach_2019,1,"Bach, P., Frischknecht, U., Bungert, M., Karl, D., Vollmert, C., Vollstädt-Klein, S., Lis, S., Kiefer, F., & Hermann, D. (2019). Effects of social exclusion and physical pain in chronic opioid maintenance treatment: FMRI correlates. European Neuropsychopharmacology, 29(2), 291–305. https://doi.org/10.1016/j.euroneuro.2018.11.1109",Bach,2019,Effects of social exclusion and physical pain in chronic opioid maintenance treatment: FMRI correlates.,European Neuropsychopharmacology,SocExcluding,"Note, we're only using the healthy control (HC) group",Cyberball; Social Exclusion;,Table 3:,"Table 3: “(c) Contrast: Exclusion > Motor response” (Bach et al., 2019, p. 298)",21,9.52,38.19,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bach_2019-2,cyberball inclusion > motor control,Bach_2019,2,"Bach, P., Frischknecht, U., Bungert, M., Karl, D., Vollmert, C., Vollstädt-Klein, S., Lis, S., Kiefer, F., & Hermann, D. (2019). Effects of social exclusion and physical pain in chronic opioid maintenance treatment: FMRI correlates. European Neuropsychopharmacology, 29(2), 291–305. https://doi.org/10.1016/j.euroneuro.2018.11.1109",Bach,2019,Effects of social exclusion and physical pain in chronic opioid maintenance treatment: FMRI correlates.,European Neuropsychopharmacology,SocExcluding,"Note, we're only using the healthy control (HC) group",Cyberball; Social Exclusion;,"“(d) Contrast: Inclusion > Motor Response” (Bach et al., 2019, p. 298","“(d) Contrast: Inclusion > Motor Response” (Bach et al., 2019, p. 298)",21,9.52,38.19,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
