Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	52.0	-50.0	24.0	3.7190164854556804	10048
PositiveTail 2	50.0	18.0	26.0	3.7190164854556804	2616
PositiveTail 3	38.0	22.0	-8.0	3.7190164854556804	6472
PositiveTail 4	2.0	-58.0	38.0	3.7190164854556804	5368
PositiveTail 5	4.0	42.0	28.0	3.7190164854556804	12240
PositiveTail 6	-34.0	20.0	-8.0	3.7190164854556804	3536
PositiveTail 7	-50.0	-58.0	30.0	3.7190164854556804	4032
PositiveTail 8	-44.0	8.0	30.0	3.090232306167813	1832
PositiveTail 9	-32.0	-58.0	46.0	2.2701249980205214	1296
PositiveTail 10	-26.0	-80.0	-34.0	0.9549558979724374	776
