id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9
Abe_2019-1	0	1	4	0	2	0	1	0	0
Abu-Akel_2020-1	0	1	1	0	0	0	0	0	0
Alkire_2018-1	4	1	3	1	0	0	0	0	3
Anders_2015-1	0	2	0	0	0	0	0	0	0
Assaf_2013-1	0	0	1	0	0	0	0	0	0
Bach_2019-1	1	1	1	1	1	0	0	0	0
Bault_2011-1	1	1	1	1	1	1	0	0	0
Bereczkei_2015-1	2	3	1	1	0	2	0	2	1
Berns_2005-1	1	2	1	0	0	0	0	0	0
Beyer_2018-1	0	0	1	0	1	0	2	0	0
Bitsch_2018-1	1	2	2	0	0	1	0	1	0
Brandi_2021-1	1	1	1	0	1	0	1	0	0
Brune_2013-1	1	0	0	1	0	1	0	0	0
Buades-Rotger_2017-1	0	0	0	0	0	0	0	0	0
Caruana_2015-1	1	1	3	1	0	0	0	0	2
Cavallo_2015-1	3	4	2	0	0	0	0	0	0
Chaminade_2012-1	0	1	2	0	0	0	0	0	0
Chaminade_2015-1	0	1	1	0	0	0	0	0	0
Chauvigne_2018a-1	0	0	0	0	0	0	0	0	0
Chauvigne_2018b-1	0	1	2	0	0	0	0	0	0
Corradi-DellAcqua_2013-1	0	0	0	1	0	0	1	0	0
Dedovic_2014-1	0	0	1	0	1	0	0	0	0
Delgado_2008-1	0	0	0	0	0	0	1	0	0
DiMenichi_2017-1	1	0	1	0	1	0	0	0	1
Dziura_2021-1	0	2	0	0	1	0	0	0	0
Edmiston_2015-1	0	0	0	0	0	0	0	0	0
Elliott_2006-1	0	2	0	0	1	0	2	0	0
Fareri_2012-1	0	1	1	1	1	0	1	0	0
Fareri_2014-1	0	1	0	0	1	0	1	0	0
Fareri_2015-1	0	0	0	0	0	0	0	0	0
FeldmanHall_2012-1	3	1	0	1	0	0	0	0	0
Fett_2019-1	1	9	3	0	0	4	0	1	4
Fukui_2006-1	0	1	0	0	0	0	0	0	0
Gallagher_2002-1	0	0	0	0	0	0	0	0	0
Guionnet_2012-1	0	0	0	0	0	1	0	0	0
Hallam_2014-1	1	7	0	0	1	0	0	0	0
Hu_2018-1	0	0	2	0	0	1	1	1	0
Izuma_2010-1	0	0	0	0	0	0	0	0	0
Jasmin_2019-1	0	1	1	0	1	0	0	0	1
Jensen_2014-1	0	0	0	0	0	0	0	0	0
Jo_2020-1	1	0	1	1	0	0	1	0	0
Kircher_2009-1	1	0	0	0	0	0	0	0	1
Koike_2019a-1	0	0	0	0	0	0	0	0	0
Koike_2019b-1	2	4	0	1	0	0	0	0	0
Kokal_2009-1	0	0	4	0	0	0	1	0	0
Krach_2008-1	0	3	2	1	0	0	1	0	0
Krach_2009_Study1-1	0	2	0	0	0	0	0	0	0
Krach_2009_Study2-1	0	0	2	0	0	0	1	0	0
Kuhlen_2017-1	0	0	0	0	0	0	0	0	0
Langavant_2011-1	0	0	1	0	0	0	0	0	0
LeBouc_2013-1	1	1	0	0	1	0	0	0	0
Lee_2018-1	0	0	0	0	1	1	1	0	0
Lemmers-Jansen_2020-1	3	4	0	1	0	2	1	3	1
Lopez-Sola_2018-1	0	1	0	1	0	0	0	0	0
Lopez-Sola_2019-1	0	2	0	1	0	1	0	0	0
Ma_2018-1	0	0	0	0	0	0	1	0	0
Matsunaga_2017-1	1	1	2	0	2	0	1	0	0
Miyata_2021-1	2	3	3	0	1	0	1	0	1
Molenberghs_2014-1	1	1	0	0	0	0	0	0	0
Muller-Pinzler_2015-1	0	2	0	0	0	0	3	0	1
Nagy_2010-1	0	0	0	0	1	0	0	0	0
Newman-Norlund_2008-1	0	0	3	0	0	1	1	0	3
Noordzij_2009_Study1-1	0	1	1	0	0	0	0	0	0
Noordzij_2009_Study2-1	0	0	1	0	0	0	0	0	0
Ozdem_2017-1	0	0	0	0	0	0	0	0	0
Pfeiffer_2014-1	0	0	0	0	0	0	0	0	0
Polosan_2011-1	0	1	0	0	0	0	0	0	0
Radke_2011-1	0	1	0	0	0	0	0	0	0
Redcay_2010_Study1-1	1	0	2	0	0	0	0	0	0
Redcay_2010_Study2-1	1	0	2	0	0	0	0	0	0
Redcay_2012-1	1	1	6	0	1	0	1	0	0
Redcay_2013-1	0	2	0	0	0	0	1	0	0
Rice_2016a-1	0	2	0	0	0	0	0	0	0
Rice_2016b-1	0	0	0	0	1	0	0	0	0
Riedl_2014-1	0	1	0	0	0	0	0	0	0
Rilling_2004-1	1	1	3	0	0	0	2	0	2
Rilling_2008-1	1	1	1	1	1	0	0	0	0
Rilling_2012-1	1	0	0	0	0	0	0	0	0
Saito_2010-1	1	2	1	1	0	0	0	0	2
Schilbach_2009-1	0	0	0	0	0	0	0	0	0
Schindler_2019-1	1	2	0	2	0	0	1	0	0
Schippers_2009-1	0	0	1	0	0	1	0	0	0
Schuwerk_2017-1	0	0	0	0	0	0	1	0	0
Sequeira_2021-1	4	0	2	2	0	0	1	2	0
Shpurov_2020-1	1	2	1	0	0	0	2	0	0
Sip_2010-1	0	0	0	0	0	0	0	0	0
Sperduti_2014-1	0	0	0	0	0	0	0	0	0
Spilakova_2020-1	1	2	4	0	0	0	1	0	2
Spitzer_2007-1	0	0	0	0	0	0	0	0	0
Sun_2016-1	0	0	0	0	0	0	1	0	0
Takahashi_2014-1	0	1	1	0	0	0	1	0	0
Takahashi_2015-1	1	0	0	1	1	0	1	0	0
Tamir_2015-1	0	0	0	0	0	0	0	0	0
Tomlin_2013-1	2	2	1	2	0	2	0	1	0
Tsoi_2016-1	3	3	3	2	4	0	2	0	0
VanHoorn_2016-1	0	1	1	0	2	2	1	1	2
Vanlangendonck_2018-1	2	2	0	2	0	0	0	0	0
Wagner_2015-1	0	0	0	0	1	0	2	0	0
Wang_2019-1	0	0	0	0	0	0	0	0	0
Warnell_2018-1	2	0	2	1	0	0	0	0	0
Wilbers_2012-1	0	0	0	0	0	0	0	0	0
Xie_2020-1	0	0	0	0	0	0	0	0	0
Yoo_2020-1	0	1	0	0	0	0	0	0	0
Yoshie_2016-1	0	0	0	0	0	0	0	0	0
Yoshioka_2021-1	21	16	16	8	7	2	12	4	8
Zimmermann_2019-1	0	0	1	0	0	0	0	0	0
deQuervain_2004-1	0	0	0	0	0	0	0	1	0
vandenBos_2007-1	0	0	0	0	0	0	0	0	0
