Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	34.0	20.0	-16.0	7.3886604741434105	6472
PositiveTail 1a	52.0	22.0	4.0	4.287066083172352	
PositiveTail 2	4.0	32.0	40.0	7.077688202995117	12240
PositiveTail 2a	2.0	54.0	18.0	6.256215667637147	
PositiveTail 2b	4.0	38.0	32.0	5.00132161759041	
PositiveTail 2c	8.0	54.0	4.0	4.305649380354087	
PositiveTail 3	58.0	-54.0	20.0	6.796189053728244	10048
PositiveTail 3a	46.0	-54.0	38.0	4.188418365864909	
PositiveTail 4	-32.0	22.0	-8.0	6.304619466452391	3536
PositiveTail 5	-50.0	-62.0	34.0	5.898520606915971	4032
PositiveTail 6	-44.0	4.0	30.0	5.80063430101866	1832
PositiveTail 7	0.0	-58.0	32.0	5.705448325007939	5368
PositiveTail 8	-32.0	-56.0	46.0	5.500814657992795	1296
PositiveTail 9	50.0	24.0	18.0	4.603195527774408	2616
