Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	52.0	-56.0	24.0	3.7190164854556804	3472
PositiveTail 2	2.0	54.0	14.0	3.7190164854556804	2744
PositiveTail 3	-2.0	-54.0	34.0	3.7190164854556804	2160
PositiveTail 4	-36.0	20.0	-14.0	3.7190164854556804	1816
PositiveTail 5	-4.0	44.0	30.0	3.431614403623299	1608
PositiveTail 6	32.0	20.0	-16.0	3.1946510537632724	1440
PositiveTail 7	4.0	6.0	-8.0	3.1946510537632724	1432
PositiveTail 8	4.0	48.0	-16.0	1.6314281932233266	760
PositiveTail 9	10.0	-64.0	42.0	1.288419426328665	656
PositiveTail 10	-42.0	-62.0	24.0	0.9342014265690364	568
