id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5
Assaf_2013-1	0	1	0	0	1
Caruana_2015-1	1	3	2	0	1
Chauvigne_2018b-1	0	2	0	0	1
Fareri_2015-1	0	0	0	0	0
FeldmanHall_2012-1	1	1	0	1	0
Fett_2019-1	1	0	1	5	2
Hallam_2014-1	1	0	0	3	0
Hu_2018-1	0	1	0	0	0
Jensen_2014-1	0	1	0	0	0
Kuhlen_2017-1	0	0	0	0	0
Langavant_2011-1	0	2	0	0	0
Lemmers-Jansen_2020-1	3	0	1	4	1
Miyata_2021-1	2	4	1	1	1
Nagy_2010-1	0	0	0	0	0
Noordzij_2009_Study1-1	0	1	0	0	1
Redcay_2010_Study1-1	1	2	0	0	0
Redcay_2012-1	0	3	0	0	1
Redcay_2013-1	0	1	0	1	0
Riedl_2014-1	0	0	0	0	0
Schippers_2009-1	0	1	0	0	0
Sperduti_2014-1	0	0	0	0	0
Vanlangendonck_2018-1	2	0	0	0	1
Warnell_2018-1	0	0	0	0	0
Wilbers_2012-1	0	0	0	0	0
Yoshioka_2021-1	13	10	5	1	5
