id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5
Alkire_2018-1	3	2	0	0	1
Anders_2015-1	0	0	0	0	0
Bereczkei_2015-1	2	0	2	2	1
Berns_2005-1	0	1	0	0	0
Brune_2013-1	0	0	0	1	0
Caruana_2015-1	1	2	0	0	2
Fett_2019-1	1	0	2	5	5
Hu_2018-1	0	0	1	1	0
Kokal_2009-1	0	3	0	2	0
Lemmers-Jansen_2020-1	2	0	3	2	2
Miyata_2021-1	1	3	0	0	1
Molenberghs_2014-1	1	0	0	0	0
Nagy_2010-1	0	0	0	0	0
Noordzij_2009_Study2-1	0	1	0	0	0
Ozdem_2017-1	0	0	0	0	0
Redcay_2010_Study2-1	1	2	0	0	0
Redcay_2012-1	0	2	0	0	0
Redcay_2013-1	0	1	0	0	0
Rice_2016a-1	0	0	0	0	0
Rice_2016b-1	0	0	0	0	0
Schippers_2009-1	0	1	0	1	0
Sperduti_2014-1	0	0	0	0	0
Yoshioka_2021-1	8	12	6	6	5
