Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	52.0	-54.0	28.0	3.7190164854556804	5296
PositiveTail 2	48.0	22.0	24.0	3.7190164854556804	2216
PositiveTail 3	34.0	20.0	-10.0	3.7190164854556804	3128
PositiveTail 4	2.0	-58.0	38.0	3.7190164854556804	5120
PositiveTail 5	2.0	46.0	24.0	3.7190164854556804	7112
PositiveTail 6	-36.0	18.0	-10.0	3.7190164854556804	2672
PositiveTail 7	-44.0	8.0	30.0	3.7190164854556804	2000
PositiveTail 8	-32.0	-58.0	46.0	2.7477813854449926	1376
PositiveTail 9	8.0	10.0	-6.0	2.7370121664846625	1368
PositiveTail 10	-52.0	-62.0	36.0	2.3263478740408408	1136
PositiveTail 11	-14.0	-28.0	-6.0	0.025319650653786323	464
