Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	56.0	-54.0	20.0	6.120705250459568	5296
PositiveTail 1a	34.0	-56.0	44.0	3.864703390271243	
PositiveTail 2	34.0	20.0	-14.0	5.98434194830018	3128
PositiveTail 3	-2.0	-56.0	34.0	5.929327602876715	5112
PositiveTail 4	-44.0	4.0	30.0	5.576772129570291	2000
PositiveTail 5	-32.0	-56.0	46.0	5.542978984851929	1376
PositiveTail 6	-8.0	46.0	28.0	5.537605847859656	7104
PositiveTail 6a	10.0	56.0	4.0	4.742270333111358	
PositiveTail 6b	6.0	32.0	42.0	4.293070967426337	
PositiveTail 6c	12.0	56.0	30.0	3.731477802328054	
PositiveTail 7	-38.0	20.0	-14.0	5.244249513564527	2672
PositiveTail 8	-52.0	-62.0	36.0	4.8417656278242305	1136
PositiveTail 9	10.0	10.0	-4.0	4.683778639558315	1368
PositiveTail 10	48.0	22.0	24.0	4.356221612014257	2216
