feature,r
LDA50_abstract_weight__8_mpfc_social_medial,0.14007235331155862
LDA50_abstract_weight__0_network_state_resting,0.13991017326104147
LDA50_abstract_weight__41_imagery_mental_events,0.08435222105727033
LDA50_abstract_weight__33_memory_retrieval_encoding,0.07618518670777853
LDA50_abstract_weight__28_social_empathy_moral,0.054484013233422425
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.03685037829506936
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.034668233129136555
LDA50_abstract_weight__15_task_performance_cognitive,0.028869396744448647
LDA50_abstract_weight__23_asd_autism_group,0.02371172358849951
LDA50_abstract_weight__24_age_adults_older,0.022944972336914216
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.02234538669922736
LDA50_abstract_weight__14_disease_ad_pd,0.019389663630124992
LDA50_abstract_weight__9_memory_working_wm,0.015941271224197508
LDA50_abstract_weight__30_decision_making_risk,0.012944642102204558
LDA50_abstract_weight__47_attention_attentional_target,0.012574948320205073
LDA50_abstract_weight__26_emotional_amygdala_negative,0.011437067077753164
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.00932364235269538
LDA50_abstract_weight__38_semantic_category_representations,0.004948071967255142
LDA50_abstract_weight__16_response_inhibition_control,0.0023826453286549002
LDA50_abstract_weight__1_anxiety_trait_personality,-0.0011765870992040354
LDA50_abstract_weight__18_number_ips_numerical,-0.002026422326494818
LDA50_abstract_weight__12_women_men_sex,-0.0027604549180670936
LDA50_abstract_weight__20_control_conflict_task,-0.007139933387494979
LDA50_abstract_weight__31_model_models_prediction,-0.012787116715057584
LDA50_abstract_weight__4_stimulus_time_repetition,-0.013946522717970295
LDA50_abstract_weight__49_depression_mdd_state,-0.014821607481959187
LDA50_abstract_weight__10_food_taste_weight,-0.015594450357608414
LDA50_abstract_weight__13_fear_threat_smokers,-0.01770762574869355
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.018668049540476506
LDA50_abstract_weight__22_method_group_approach,-0.018965064360050212
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.01952102843907368
LDA50_abstract_weight__11_learning_training_practice,-0.020198116090630196
LDA50_abstract_weight__7_reward_feedback_striatum,-0.020571819860569177
LDA50_abstract_weight__44_eye_sleep_gaze,-0.021023867850835275
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.02142213166896965
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.02207959906794078
LDA50_abstract_weight__19_action_actions_observation,-0.023740201795646804
LDA50_abstract_weight__37_language_reading_word,-0.025538037090054127
LDA50_abstract_weight__40_face_faces_facial,-0.02642403659559916
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.02927568599842699
LDA50_abstract_weight__27_disorder_adhd_group,-0.03377977853888293
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.0343376385771189
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.03502085287872541
LDA50_abstract_weight__34_frequency_hz_ms,-0.03539530880592666
LDA50_abstract_weight__45_motion_perception_visual,-0.03580990088491831
LDA50_abstract_weight__42_visual_cortex_sensory,-0.03904248746862484
LDA50_abstract_weight__25_spatial_body_human,-0.04003941755071129
LDA50_abstract_weight__6_auditory_speech_temporal,-0.05284627453054746
LDA50_abstract_weight__17_motor_cortex_hand,-0.059511515351947215
LDA50_abstract_weight__21_matter_volume_structural,-0.06573239924100627
