Feature,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,lDLPFC_likeFwrd,lDLPFC_zRvrs,lDLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,Precuneus_likeFwrd,Precuneus_zRvrs,Precuneus_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Acupuncture,0.8713502368836638,-0.0,0.0002895152126694,1.220944384343037,0.0,0.0003753031938908,0.6117054693274206,-0.0,0.000195282648273,0.0,-0.0,0.0,1.3193647377650246,0.0,0.0004459027161805,0.9432841349441532,-0.0,0.0003184639062578,1.5041937770346407,1.7914284729668624,0.0004646490399099,0.0,-0.0,0.0,2.449791321335544,3.0259644920455995,0.0007708693302952
Affective Pictures,1.1427959486282295,0.2388503401901131,0.0015891394410944,1.164579449115278,0.2565204009024219,0.0014982013359042,0.8751991011532997,-0.0,0.001169345462352,0.7330347801537789,-0.0,0.0009740249467963,0.4719210839552106,-0.0,0.0006675123499541,1.0122045679226246,0.0,0.0014302127979574,1.076064468631106,0.0265976925585046,0.0013911508554644,1.619959874730867,1.143352592616929,0.0021520064817153,0.8762612359847963,-0.4580000784167639,0.0011539844443661
Affective Words,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0044144417475729,0.0,0.0002458216642163
Anti-Saccades,0.3186208224056207,-0.0,9.410230621139037e-05,0.4464545797820692,-0.0,0.0001219863224042,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.0695464632888445,0.0,0.0006210697064442,0.3300170962323492,-0.0,9.061605951123638e-05,0.7097483063202127,-0.0,0.0002002518240303,0.5374792999318115,-0.0,0.0001503352748193
Autobiographical Recall,2.0356330320359097,2.758272139387584,0.0021292825074452,1.1409394816652882,0.2142314368773901,0.001104089168057,0.0,-0.0,0.0,0.9575397341894804,-0.0,0.000957067978696,2.4658212762787928,0.0,0.0026235660498285,3.5258939744921056,3.715784939034939,0.0037475039385755,0.562251349136595,-0.0,0.0005467728282236,0.3023002045437943,-0.0,0.000302077404305,0.9157054739579013,-0.0,0.0009071156242958
Chewing/Swallowing,1.0680227118753427,0.0847020285083451,0.0007491524685915,0.2993047519166787,-0.0,0.0001942276618773,0.8997282239434706,-0.0,0.0006063784075923,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.8849785809280039,-0.0,0.0005771186480754,0.4758178107393354,-0.0,0.0003188426604025,0.7206561017022943,-0.0,0.0004787302109018
Classical Conditioning,1.728646437688559,0.4449874426497505,0.0018294455911691,1.6147974115504682,0.1844278873398846,0.0015810263580155,0.0,-0.0,0.0,0.6776138038316686,-0.0,0.0006852479602684,0.0,-0.0,0.0,0.0,-0.0,0.0,0.9947087880390366,-0.9772420931376632,0.0009787052059273,0.855704611248966,-0.0,0.0008651336362762,0.6480093172564986,-0.0,0.0006494827380217
Counting/Calculation,1.1568624881515552,0.9265113507348812,0.0025767672079812,0.7294531112286269,-0.838598416990208,0.0015031370178041,1.5836746334014091,1.9189929393667349,0.0033892379728528,3.060987674868012,4.906044786359965,0.0065148918626957,1.3137572373616515,0.7393953128965051,0.0029764951375345,0.3757100136753883,-0.0,0.0008503256284925,1.1982405801271696,1.0923936834403742,0.0024813046573004,1.9327390126570456,2.8935272340407137,0.0041125639286194,0.878176561090774,-0.2521277188477802,0.0018524578182944
Cued Explicit Recognition/Recall,1.032036291026947,0.5475320844608912,0.0036830518954068,1.3962337474544206,2.2310651808975,0.0046097645442478,1.0492908162687766,0.4355632143842913,0.0035979191335284,1.5065959508427686,1.709646635636232,0.0051376184693913,1.131588135191818,0.5106606178799638,0.0041076919235411,1.3869130949346982,1.4081248247904647,0.0050292262089819,1.1058099937258772,0.9604840855456376,0.0036689010647269,0.9512801356282866,-0.048928309606093,0.0032431519726691,0.960515865100406,-0.0973979828425553,0.0032463134552577
Cued Speech,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
