Feature,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,lDLPFC_likeFwrd,lDLPFC_zRvrs,lDLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,Precuneus_likeFwrd,Precuneus_zRvrs,Precuneus_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Acupuncture,0.1009862278244631,0.3653212993777117,0.5501300202253684,0.0879216269841269,0.9765525836513804,0.6318758815232722,0.0401177832244008,-0.1572383356654788,0.4616037335596096,0.0129332983193277,-0.8466851472126773,0.0,0.0284975101151571,0.6324911643955289,0.6498293515358362,0.0325022370059134,0.2851631151355021,0.5697613525847236,0.1363163320883909,1.7914284729668624,0.6792479754557454,0.0204831932773109,-1.073855958974261,0.0,0.1193126556178026,3.0259644920455995,0.7760500519676374
Affective Pictures,0.0940908930649085,0.2388503401901131,0.5172930640386705,0.0678019485479909,0.2565204009024219,0.522082784441517,0.0393458613921893,-0.4098552125291765,0.4498342244392007,0.0217977646934386,-0.5458141657026108,0.4059846340477153,0.0145177402484457,-0.8539960329562655,0.3047842629320813,0.0272849604531725,-0.0941833698060185,0.486507440828721,0.0881388898682555,0.0265976925585046,0.5020234277599621,0.0512257753646182,1.143352592616929,0.604645827358761,0.0491491262090282,-0.4580000784167639,0.4501380901710883
Affective Words,0.0455917082130674,-1.4513414618734028,0.0,0.0325373917606927,-1.2088879597700737,0.0,0.0216478614536866,-0.9748017230503312,0.0,0.0129231172920493,-0.7464121532583553,0.0,0.0100367357648911,-0.6558611580236248,0.0,0.014038310154815,-0.778841012053384,0.0,0.0440173182891629,-1.4236055609885714,0.0,0.0204670690107583,-0.9466791064730368,0.0,0.0507709512563881,-0.1277412576681757,0.4689595766935335
Anti-Saccades,0.0663773679835499,-0.840774046644535,0.3138619979402677,0.053317911361946,-0.4626857531346197,0.3907379865634135,0.0216563853524084,-1.0423120223646198,0.0,0.0129282058012862,-0.7981052377972429,0.0,0.0100406877542984,-0.7012830956749444,0.0,0.0555792536203351,1.6457781742110007,0.7496802125356686,0.0648023581397383,-0.7997588744608596,0.3214903582429638,0.0412428358927243,0.0209531881878855,0.5051382350991181,0.0478053769086056,-0.2659168629443442,0.435794772064291
Autobiographical Recall,0.1332207400028018,2.758272139387584,0.6623240053747736,0.0677101007113615,0.2142314368773901,0.5212533621462563,0.0218311722677957,-1.9694598523050253,0.0,0.0246649440405958,-0.1313952561896248,0.4769808462970559,0.033386516818953,1.789905078155372,0.7047579084784484,0.0606867674299145,3.715784939034939,0.7754379665016544,0.0676548417726445,-1.3344986864258916,0.3477860733719097,0.0264565789268869,-1.3614230277884547,0.2223398935074868,0.0505206792957987,-0.2810839273468727,0.4657382302193739
Chewing/Swallowing,0.0893381621731629,-0.0847020285083451,0.4909396841832772,0.0413978196215558,-1.4566778931830031,0.2118935225273037,0.0391626310701615,-0.3015915892829899,0.4479744891933388,0.012984445030319,-1.2326351148348091,0.0,0.0100843659372528,-1.0830979778491323,0.0,0.0141049301344582,-1.28618857040259,0.0,0.0790502819135896,-0.4717658689758607,0.4438658338574959,0.0292702161414609,-0.8914766219262543,0.2996879073993599,0.0445673239254212,-0.6314634353604496,0.3936484873644336
Classical Conditioning,0.0977139630282719,0.4449874426497505,0.5354974844302373,0.0673039935251776,0.1844278873398846,0.5183009076152808,0.0218340611353711,-1.9811421024566631,0.0,0.0187820625263501,-0.8326253165024655,0.3095481915372957,0.0101230647082175,-1.3329419950763832,0.0,0.01415905782718,-1.5828805834181512,0.0,0.0731348726423368,-0.9772420931376632,0.3974816170669359,0.0321386916796686,-0.8279052554646571,0.3618039929142529,0.0387550738419023,-1.265753199638842,0.30003573271926
Counting/Calculation,0.10047777986735,0.9265113507348812,0.5498590719009635,0.0574938805972359,-0.838598416990208,0.432426515566144,0.0571525563777281,1.9189929393667349,0.6283463852885356,0.0536315860396173,4.906044786359965,0.7726130653266331,0.0237290670520693,0.7393953128965051,0.5820774439140067,0.0197301687666867,-1.3989389415837064,0.2800210147102972,0.0988696319177386,1.0923936834403742,0.5588027153828008,0.0613372949648384,2.8935272340407137,0.6755508881203716,0.0518653627735961,-0.2521277188477802,0.479354180198571
Cued Explicit Recognition/Recall,0.0952876376988984,0.5475320844608912,0.5247270391779062,0.0800996074790022,2.2310651808975,0.6026978606807882,0.0456257591318579,0.4355632143842913,0.5290417407571101,0.0332695545332189,1.709646635636232,0.6218795370931592,0.0219968860938767,0.5106606178799638,0.548667000671563,0.0344255452852928,1.4081248247904647,0.60099716652136,0.095311789229824,0.9604840855456376,0.5426835268647905,0.0410894919737193,0.048928309606093,0.5035266726015203,0.0545139914742751,0.0973979828425553,0.5060390213688448
Cued Speech,0.0454842931937172,-0.5479089255910131,0.0,0.0324607329842931,-0.4563781305762152,0.0,0.0215968586387434,-0.3680061369233908,0.0,0.012892670157068,-0.281784743069331,0.0,0.0100130890052356,-0.2476000251283051,0.0,0.0140052356020942,-0.2940272522563777,0.0,0.043913612565445,-0.537438097013918,0.0,0.0204188481675392,-0.3573893158385847,0.0,0.0269633507853403,-0.4135188440299659,0.0
Deception,0.103074997719972,0.6153686251966712,0.559711947305036,0.0517693017034342,-0.776453459737484,0.3714705162711035,0.0217362666315373,-1.5370687360879356,0.0,0.0129758925042813,-1.1769437393067372,0.0,0.0769243436052815,5.920179086577389,0.8749855917271814,0.0331946738546659,0.4588737150685649,0.5793329771807983,0.111043695469331,1.197192117854346,0.6061369988022586,0.0396496863694861,-0.0863027617913141,0.4850169318254425,0.0939840195373063,2.585989264523866,0.7161610307694382
Delay Discounting,0.1167515552464901,1.1736351362668918,0.6117997424339987,0.0326272858834363,-1.7119857913372696,0.0,0.0335466511298638,-0.6192243544242102,0.3548718427564312,0.0247978022941843,-0.0806132904737885,0.4800732647003095,0.0574203895477412,3.490040689878065,0.8293055479788337,0.0259160762055118,-0.165052511391647,0.4593581918172478,0.1033338345205204,0.7177327794443782,0.5760340724798035,0.032362596400223,-0.5587083835516037,0.3678555872816144,0.0981355836638036,2.5597118838423008,0.7278559800823518
Delayed Match to Sample,0.0955542803298693,0.4973752212752086,0.5256521249376438,0.0821518018815934,2.167532794367312,0.6114085065921971,0.0687560891001417,3.894190383648176,0.6973230459577323,0.0221308037120138,-0.7116494009867854,0.4126565040367966,0.0258147092977483,1.280571860344447,0.6190941364275333,0.0232757390568414,-0.8860261441556389,0.3923578997436778,0.1116639480987246,2.610159690833012,0.6133864317995918,0.060896536962683,3.139255583867933,0.6748477411144441,0.0631999389859864,1.2735224933212197,0.5780018296124725
Digit/Numerical,0.0455081194342587,-0.8371638900308147,0.0,0.0324777370350969,-0.6973116758520681,0.0,0.0216081718177056,-0.562285874079675,0.0,0.0842625159021177,1.955721769291292,0.8476909413854352,0.0100183342063907,-0.3783143338731899,0.0,0.0140125720272393,-0.4492516671607556,0.0,0.1152997081493676,0.5150421154381203,0.6195034885607659,0.0204295442640125,-0.546064164916003,0.0,0.1697036593579286,2.7170265869921626,0.8418035497740051
Divided Auditory Attention,0.0871450759067244,-0.1296933740204139,0.47812990272984,0.0740856192851205,0.3672384926311391,0.5624123422159888,0.0216563853524084,-1.0423120223646198,0.0,0.0129282058012862,-0.7981052377972429,0.0,0.0100406877542984,-0.7012830956749444,0.0,0.0555792536203351,1.6457781742110007,0.7496802125356686,0.0855700660629129,-0.0773197919050919,0.4869304019939924,0.0412428358927243,0.0209531881878855,0.5051382350991181,0.1308762086013037,3.3552904127503087,0.7959175145728434
Drawing,0.0456996317727511,-1.9801845906935085,0.0,0.0453691714212492,-0.9976973581554012,0.2825820357501208,0.0216991057338243,-1.3300022094553436,0.0,0.0129537085744345,-1.0183915246800177,0.0,0.022815252431244,0.2513425183483749,0.5619272834762046,0.0395810572033612,0.8836208943851458,0.6478105299028795,0.0568762729467621,-1.3750556743850109,0.2254105650085966,0.0205155181483429,-1.291632209383513,0.0,0.0653552785983085,0.6381432836562709,0.5884993421561798
Driving,0.0455021605342411,-0.7750124105788917,0.0,0.1157413469512461,1.012348353581307,0.7199962289054398,0.0216053424119418,-0.5205414804607829,0.0,0.0128977347125834,-0.3985820686438877,0.0,0.0100170223909912,-0.3502280823899566,0.0,0.0140107372004713,-0.4158989914269087,0.0,0.1271987255030334,0.6829728957653729,0.6551428326327529,0.103694731788224,1.558429199782961,0.8036409554877406,0.0269739426476365,-0.5849188088800826,0.0
Emotion Induction,0.0964643523562635,0.5893638425656232,0.5303802850271493,0.0559698688807904,-1.1100045225991415,0.4155059573753985,0.0402793953738838,-0.4366805861283684,0.4618900306247765,0.020035441008879,-1.1095975973632908,0.3482201456386536,0.0125571376689083,-1.6318713158598563,0.1851999601077092,0.0324711024282726,0.8303446964206338,0.5729602560888598,0.067749621169428,-2.169654754172273,0.343261165923427,0.0368094951847816,-0.621134473820583,0.4422519158636058,0.0525738563073724,-0.1806410801998127,0.4865801587632427
Encoding,0.0784720215802278,-1.2730420868414054,0.4162415587767216,0.0455423949408514,-2.307681587358529,0.275848779728598,0.0441740540423773,0.1441233190327467,0.5119083094555874,0.0205683171364614,-0.9651657275925892,0.366470839213627,0.0127221275642046,-1.530123965887107,0.1974954897591,0.0266009656017864,-0.2490066525402047,0.4722690994911878,0.0768599850407329,-1.1347684141089855,0.4249716749958281,0.0331834481380572,-1.1338361531046908,0.3785867586178837,0.0496818455523182,-0.549365334622638,0.4551575142839673
Episodic Recall,0.1703413707246756,1.9180229398590525,0.7338205596691989,0.0324990171668195,-0.9132943548257614,0.0,0.0632234744244965,0.6849321345086415,0.6590379134640297,0.0129078757698859,-0.5639017250811708,0.0,0.0100248984405713,-0.4954919836296441,0.0,0.0556228978290307,1.1628255367674982,0.7490919799744772,0.0439654042720482,-1.0755098616390524,0.0,0.0620440746079587,0.7448089872340454,0.6715656076740298,0.0269951513563097,-0.8275252483939355,0.0
Estimation,0.1363100343053173,1.049166219275467,0.6669288242233583,0.0324947589098532,-0.8743554848423034,0.0,0.112397560510768,2.263920585540181,0.8088172954641798,0.0129061844863731,-0.5398594260782688,0.0,0.0100235849056603,-0.474366376286893,0.0,0.0140199161425576,-0.5633143296741351,0.0,0.1347377072612921,1.102753211756405,0.6747115767139636,0.1112183152277491,2.3649525007422216,0.8173931669701189,0.1177696779111873,1.8799168897137064,0.7719227268129867
Face Monitor/Discrimination,0.0969881803360923,0.9733149094839526,0.5353099286091801,0.0651619325307248,0.0498925916652891,0.5023082604208515,0.0430419174818159,-0.0306599824611216,0.4982281579033626,0.0200358979182342,-1.6738089349010894,0.337993787799363,0.0212172372711311,0.3955883618402976,0.5319581230744225,0.0275717958364685,-0.1198085120005993,0.491227272210409,0.072018591672937,-2.576002416210721,0.376125601572414,0.042851141208929,0.4739850370551089,0.5267855836345279,0.0593285991973915,1.1097802103807983,0.55169644013116
Figurative Language,0.0607494126548003,-1.2140165677852577,0.2494100681699003,0.077846135467686,0.6079249110732083,0.5839024015959488,0.0216819973718791,-1.222941701978193,0.0,0.0431151196591406,1.2654056471961526,0.7028399907642576,0.0553099988053995,2.9138253793033764,0.8218142548596112,0.029146258909728,0.0803871622724496,0.5198442516565339,0.104429976506192,0.6798588197733303,0.5803511849154449,0.0506709672281288,0.5756046190118451,0.5980353634577603,0.0421554573328554,-0.6016871343518733,0.3594200160581873
Film Viewing,0.0929117963186887,0.2027222802850707,0.5112375595136958,0.0722450624748085,0.8786714327754119,0.5536710555679535,0.0489295311030498,0.8336205544289742,0.5620327720305067,0.0253980249899234,-0.0701078491924267,0.4921642531243801,0.0200094048098884,-0.001874193077965,0.4997649902638824,0.0241072148327287,-0.6949063602773198,0.4148135763250292,0.0840010748354158,-0.3946277832326553,0.4761843830971498,0.0720485691253526,4.6480019764552525,0.7286751234248472,0.0690349993282278,1.9732044451472637,0.6156297590144552
Finger Tapping/Button Press,0.0744394332938638,-3.1383509764800284,0.369312442589136,0.0532532895713397,-2.5856107528858727,0.3710465650267655,0.0312507452241171,-3.209985722314143,0.2749075335799105,0.0202562256935268,-1.9053626762986264,0.3392957966435616,0.0171405197028739,-1.1240510660561331,0.4009710529678161,0.0277663814252919,-0.0772989696416046,0.4950484637091827,0.0751048423872284,-2.452802127173805,0.4003567222377921,0.0354942034338953,-1.4729024186235986,0.4114703129981112,0.0528231887951386,-0.2621987414782875,0.4879144266780911
