Feature,dMPFC_r,lAI_r,lDLPFC_r,lIPL_r,lTPJ_r,Precuneus_r,rAI_r,rIFG_r,rTPJ_r
Action.Execution,-0.1013184724213522,-0.0856669015706706,-0.0676109517824911,-0.0265227205560325,-0.0424704633160621,-0.0274131449666539,-0.0735447566558546,-0.0534551161997247,-0.0283660429442019
Action.Execution.Speech,-0.0204164754705672,0.0510634188288202,0.0112701589152921,-0.0185855218926953,-0.0050430820456241,-0.0302745494397101,-0.0163766032801149,-0.0336396113802904,-0.0206047417098569
Action.Imagination,-0.0214231932005227,-0.0006911876374369,0.000938856898711,-0.0032879830698856,0.006465789154737,0.0082154156637376,-0.0302225685833432,-0.0174916833455772,-0.0020637692339506
Action.Inhibition,0.0524836210314358,0.0279273802777788,-0.0084638417586051,0.0034791306136482,-0.0059208956602681,0.0251063163518042,0.0738010061063923,0.0570289109845797,0.0640105318821777
Action.Motor Learning,-0.0092203911920746,-0.0234235671533131,-0.0072918843267806,-0.0026968127078392,0.0140605146940571,0.0203868443703881,-0.0223546661882064,0.0091951912801775,-0.0169532046945323
Action.Observation,-0.024712803213773,-0.006419624743685,0.0360136794928099,0.0139572210365857,-0.0136498012718521,-0.0179024730484895,-0.0054170370079757,0.0420086157261467,0.0408091895449724
Action.Preparation,-0.0042888037350076,0.0120888110679814,-0.0006914123002014,0.0231360573016702,-0.0170806053923792,0.0244206649873391,0.0016733476509251,0.0115716018461194,-0.0004001462937149
Action.Rest,-0.0136928533444223,0.0491836908546876,-0.0152045981125665,-0.0099582573715777,-0.0063890445039699,-0.0071095528704634,0.0228377521649275,-0.0161308258894008,-0.0170296347196733
Cognition,0.050503951858953,0.0294876656770678,-0.0477362598112148,0.004781049614638,0.0208070233555139,-0.0226379179013506,0.0473449863814934,-0.0197805144571803,-0.0311997946138545
Cognition.Attention,0.0637258279388234,0.0237316775707608,0.0364116407825615,0.0543176432474713,-0.0108091378144239,0.0153070895136898,0.0423144806609613,0.0738743999857877,0.0816933912741506
Cognition.Language,-0.0103582816231681,-0.0136281418099252,0.0175207622293884,-0.0045794285597738,0.0212385548938842,0.0175080176943783,-0.0198409624624688,-0.0077335343535934,-0.0126869433589178
Cognition.Language.Orthography,-0.0097964787614433,0.0134281911459749,0.0447445036310185,0.0277264971843063,0.0144668429554423,0.0087596649148919,-0.0059053922188318,-0.0027021530979712,-0.0053876867228388
Cognition.Language.Phonology,0.0015244479626552,0.0262704045539463,0.0940473769981698,0.0262971241996968,-0.0208259897319295,-0.0166145263017218,0.0151900921365525,0.0079299341576336,-0.0095880802878192
Cognition.Language.Semantics,-0.0158835924172514,0.0491768281916955,0.0697762330540356,-0.000804852870251,0.0252175277417671,-0.0159981664440875,-0.014242536942654,-0.0140558893445815,-0.0437119898592957
Cognition.Language.Speech,-0.0392230345797678,0.0594526277132019,0.0971813941305552,0.0189321165931421,0.0126178870839015,-0.033175672825873,-0.0054015467444186,0.0008393828424557,-0.0048282850689794
Cognition.Language.Syntax,-0.0398992089059378,-0.0069496741342306,-0.0054209165977689,-0.0032970698275799,0.0248063269531345,-0.0168191611745324,-0.0076608159632479,-0.0118166276936406,-0.008779360886706
Cognition.Memory,-0.0038632403021674,-0.0090354566700308,-0.0213480157724565,-0.0073240612268079,0.0016170942452436,-0.0156908829124989,-0.0090621961125146,-0.0109886317835324,0.0046376445847283
Cognition.Memory.Explicit,0.0463064207988657,0.019162223471026,0.0032043206700786,0.0188533562238662,0.0207856454523704,0.0615304400965652,0.0067169065217287,0.0036878455919922,-0.0082909843235089
Cognition.Memory.Working,0.0254197432247148,0.0021106232445828,0.0960849973187088,0.0883569705977918,-0.0281720740249543,0.007340424597623,0.0104160710522703,0.0491497348309852,0.0069259533383528
