Feature,dMPFC_r,lAI_r,lDLPFC_r,lIPL_r,lTPJ_r,Precuneus_r,rAI_r,rIFG_r,rTPJ_r
Acupuncture,0.0140143834511406,0.0218941890539072,-0.0103252333804482,-0.0193098103790672,0.0014381904760115,0.0201561624040669,0.0202640353713698,-0.0054694805893292,0.0240196051125625
Affective Pictures,0.0051917224692499,0.0009783249170913,-0.0153874144585297,-0.0168565169469325,-0.0060081237657159,0.0008323542226879,0.0006482687509821,0.0011687086696575,-0.0172029509157499
Affective Words,-0.0189168878213967,-0.0186149052448856,-0.0175635022414614,-0.011257759811435,0.0046629064219059,-0.0127284253059161,-0.0176489680304402,-0.0149058210484495,-0.0042770912820281
Anti-Saccades,0.0124795349628244,-0.0114969739149235,-0.0114732434745907,0.0179689880439367,-0.0110444861768379,0.033081092179945,-0.0147438858104392,0.0127427154698059,0.0221602281748564
Autobiographical Recall,0.0310683280207394,0.013847112195331,-0.0301018110509439,-0.017972861405027,0.0194644570963691,0.0455911028252828,-0.0102018042246254,-0.0207827439829686,-0.014945742706841
Chewing/Swallowing,-0.0129172221773351,-0.0184354823240099,-0.0081680425159866,-0.0274413498659214,-0.0199922131623962,-0.0169921529462313,-0.0148405702660599,-0.0149200003555412,-0.0079730153715985
Classical Conditioning,0.0003217003662146,0.0062023326193801,-0.0362185328265223,-0.0298000979616284,-0.0213569771416789,-0.0241838711262898,-0.0039273218877953,-0.0155262440676894,-0.0153312862641208
Counting/Calculation,0.0072397914088781,0.0125424090732815,0.0489920367944424,0.0755471340598672,0.0001582700425304,-0.0135338476070152,0.008494880565717,0.0463014306309593,-0.0059483521306988
Cued Explicit Recognition/Recall,0.0065270267701662,0.022904979276004,0.0106744246304704,0.0250694097550212,0.0152135488976683,0.0288237101251092,0.0174495216196867,0.0327464053009414,0.0139856764439639
Cued Speech,-0.008833879798643,-0.0077354029749363,-0.0072422144880408,-0.0064264856591564,-0.0048699575122627,0.0383923872580763,-0.0079892308748723,-0.006891280647065,-0.0059835606175555
Deception,0.0264970918639198,0.0099259374474531,-0.0232943139201024,-0.0186896150614934,0.0713743672329579,0.0059797336732346,0.0202747492205238,-0.0004292293331583,0.0408109294209792
Delay Discounting,0.0097994667022977,-0.0121601435248762,-0.0034576527778455,0.0083704337537627,0.0683207672299623,0.0248834928691876,0.0145784237529828,0.0006031651249164,0.02845709800751
Delayed Match to Sample,0.0276120919763636,0.0263130828007481,0.089323454671784,0.0516896730760821,-0.0046601329484092,0.0019070722653769,0.0388761995160336,0.0670219164662982,0.0193069519538431
Digit/Numerical,-0.0134975081275039,-0.0118191176361442,-0.0034851636832994,0.0227509544269978,-0.0074409311198077,-0.0083700997289171,4.909696647667324e-07,-0.0075814740617075,0.0250710640511037
Divided Auditory Attention,0.0159044128010901,0.0004789414001898,-0.0049044980896228,-0.0146323857586056,-0.0086011052541385,0.0172156708018284,-0.0051647213029406,0.000871530638504,0.0295615840479979
Drawing,-0.0295292905806311,-0.0228051313600339,-0.0193847158100395,-0.0232258086703871,0.006526441406392,0.0056044083618062,-0.0249816483401772,-0.0150228804817124,-0.0068797583065433
Driving,9.720877151091935e-05,0.0115343215409569,0.0060182576030704,-0.0057626092614294,-0.0068885125514688,-0.0069872955576832,0.005834252889012,0.0227498181243498,-0.0089156455428306
Emotion Induction,0.0205963848982464,-0.0232565184181004,-0.0203081222171564,-0.030696368107444,-0.0087401312321917,-0.001053815321985,-0.0281750865675825,-0.0175644120309803,-0.0115673740267074
Encoding,-0.0043885334036888,-0.0313436875379223,0.0060473731515237,-0.0128384034049663,-0.0195579687879591,-0.0050763097151206,-0.0179811756206139,-0.0067914640289335,-0.0086920149006277
Episodic Recall,0.0156736628763957,-0.0137013756283021,0.0029609329491712,-0.0128605484808525,0.0188258034099531,0.0003480885619331,-0.0156975580683057,0.010129485080948,-0.0021090461536534
Estimation,0.0020851212050797,-0.0015921790431213,0.0244883091288851,-0.0103220981116319,0.0005864588331769,5.1988574524278064e-05,0.0177060912063702,0.0189172176629166,0.0316886034075135
Face Monitor/Discrimination,0.0080642681658319,-0.0084128583050505,-0.0161967438814596,-0.040465218558239,0.0032320844685533,-0.0105193107088337,-0.0193126577097352,0.0087859027772654,0.0150509650683042
Figurative Language,-0.0120756528359894,0.0069692389445941,-0.0119464546212559,0.0102531886134071,0.0298417334447042,0.0030986380628677,-1.1454523649778626e-05,-0.006205445104612,-0.0090181127227168
Film Viewing,0.0043725344398638,0.0249565269638218,0.0204122445106548,-0.0001732949092593,-0.000293771082101,-0.0198347686392603,0.0172316056369657,0.0612052878623167,0.054815037513385
Finger Tapping/Button Press,-0.0482091415998516,-0.0443633156130003,-0.0464584561679915,-0.0133288898023285,-0.0141841651203719,0.0012035487015957,-0.0326543917816775,-0.0163022320761293,0.00326128024259
Fixation,-0.0082208001178051,-0.0245048307649063,-0.0119408459696954,0.0330154456093086,0.001352312986447,0.007883523539543,-0.0180934590322383,0.0018230769889249,-0.0063462702234291
Flanker,0.0458193331819235,0.008802680019075,-0.0088957813412725,0.0035790812986617,-0.0043796501368145,-0.0097209266040467,0.0006236994314686,0.059779736302234,-0.0079212357266405
Flashing Checkerboard,-0.0197686869827273,-0.0173104868508921,-0.0162068167712496,-0.0113730725444908,-0.0092764793730822,-0.0122589947708943,-0.0177486474545114,-0.0120170921669459,-0.0162502436437786
Flexion/Extension,-0.052568522622477,-0.0376893635748424,-0.0289995133575231,-0.0308376168286465,-0.0189155968553296,-0.0316168139919553,-0.0470408412408365,-0.0348293012565017,-0.0336280699805136
Fluency Induction,-0.008833879798643,-0.0077354029749363,-0.0072422144880408,-0.0064264856591564,-0.0048699575122627,0.0383923872580763,-0.0079892308748723,-0.006891280647065,-0.0059835606175555
Gambling,-0.0156861704562446,-0.0027443205587729,-0.0088209793346201,-0.0166116064133771,-0.0062998539080912,0.0036324492182328,-0.0173041964143067,-0.0087846927009239,-0.0151953361348528
Go/No-Go,0.059797306421955,0.0395937967200353,0.001178027696632,0.0087325903851585,-0.0003483017410016,-0.0011989092764432,0.0897912433759878,0.0565998868659927,0.0565118489228438
Grasping,-0.0325641782568675,-0.0232451589653174,-0.0261910521363095,-0.0209236143148735,-0.0182038579635341,-0.0135664468842957,-0.012180725487515,-0.0072383541709295,0.0034262040374955
