Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
BD.Cognition.Social Cognition,2.266737878726014e-21,9.49198601667389,0.06642011101522353,1.2971264577967863e-18,8.805981322994034,0.8151164844654668
PC.Theory of Mind,3.348656873383852e-09,5.913523518456459,0.07398130462068002,4.658441139267152e-16,8.120088433013954,0.8275670469699214
ST.Stories,0.13074699579046895,-1.511162728843108,0.1922691609085632,7.896232724956097e-14,7.472037781844273,0.9287575174697476
ST.Vignettes,1.0,-0.0,0.3472076788830715,1.9900341046501147e-11,6.706752464240495,0.9600402111083187
PC.Self-Reflection,0.18169030097048855,-1.3355686553961843,0.1525938069216758,1.2656660591902137e-10,6.431240632002836,0.9101869315061952
Instruct.Choose,0.052564368711455665,1.9384826240303772,0.08102488295569983,1.3612985601221282e-10,6.42016149082042,0.8356486410520667
Instruct.Answer,0.08552214907628872,-1.7195066980653124,0.1090140070722595,6.198696090866165e-06,4.519496197669816,0.8736317267465183
BD.Cognition.Memory.Explicit,1.1378523362446032e-19,9.074896843048661,0.04048235785798136,2.5809478205762454e-05,4.207602117709245,0.6827218674300816
PC.Autobiographical Recall,0.942585992343166,0.07201999891758151,0.060686767429914544,0.00020257383310206712,3.715784939034939,0.7754379665016544
RT.Button Press,0.0,inf,0.027250076530859597,0.0002054071925533236,3.712271848856572,0.6292674992089281
BD.Cognition.Reasoning,0.024043304031233555,2.25643656212708,0.045433297905841594,0.0010753142729175596,3.2700422367094344,0.7035252071262252
ST.Playing Cards,1.0,-0.0,0.1806064572425829,0.0013442448104938303,3.2063626059920582,0.9228167653098199
RM.Hand,0.0,inf,0.026639748387357574,0.0019672225985269604,3.0951366209446234,0.6125530597507327
SM.Visual,0.0,inf,0.024698208565375183,0.0033982428192074624,2.9292104271337878,0.6303388663830556
ST.Dots,1.0,-0.0,0.13894161539468516,0.007100592925157278,2.692089303534444,0.8996584619008362
RT.Whistle,1.0,-0.0,0.13894161539468516,0.007100592925157278,2.692089303534444,0.8996584619008362
PC.Whistling,1.0,-0.0,0.13894161539468516,0.007100592925157278,2.692089303534444,0.8996584619008362
PC.Semantic Monitor/Discrimination,5.771530256074995e-10,6.196546995449039,0.036050267228894047,0.010000930727501921,2.5757971214788493,0.6304328504132966
PC.Imagined Objects/Scenes,0.7633306917485152,-0.30110990040121155,0.048376615704529884,0.011302626382152873,2.533200556661605,0.7163267798265966
PC.Thirst Induction,1.0,-0.0,0.11394344069128044,0.019695007961167587,2.332108044529622,0.8776284039986212
PC.Visuospatial Attention,0.003010363390531283,2.966677705512484,0.03763762477072838,0.022583814181943232,2.2804027245439427,0.640220675160909
ST.Words,3.2148782192636435e-164,27.310136586420022,0.02963685584939081,0.023442061353383132,2.2661522779783634,0.5772522922290718
BD.Action.Inhibition,0.12695040232214683,1.5262388060995584,0.03971166986316635,0.024035545227166354,2.256560590762535,0.6569090801677793
Instruct.Encode,0.24425724298163498,1.1644116145264363,0.040219860035913546,0.02622417905573328,2.2228757549008393,0.6606201087088203
RT.Saccades,0.661838746984535,0.43737591663322245,0.041997771346167424,0.027142474130615758,2.209462699102848,0.6738902062010385
BD.Perception.Vision.Motion,0.2444324381100516,1.1639792075587159,0.0397235089455614,0.031169529339360208,2.154901674405651,0.6561945659589838
PC.Pointing,0.04993824427343294,-1.96049258109724,0.05798280673815064,0.03285895963056298,2.1338023967949056,0.760874637512083
RM.Ocular,0.6620881463271546,0.43703199273629995,0.04114406517109696,0.03492216293850828,2.1092597971125073,0.6669011502907928
BD.Interoception.Sexuality,0.28796447631093436,-1.062597599041192,0.04759009901697179,0.03814291234462381,2.073315658884984,0.7098910168633116
PC.Gambling,0.007762078791713107,-2.662247471710846,0.06390528663255936,0.05065501516756991,1.9543908229834948,0.7824078825823669
PC.Hand-Eye Coordination,1.0,-0.0,0.08537566414727231,0.06534485088691558,1.8428915184932166,0.8366385449764435
ST.Abstract/Geometrical,0.009243536130389007,2.602913169446764,0.035071790954143894,0.08455171383709799,1.724865502378671,0.6109916501438186
PC.Divided Auditory Attention,0.011386420232143148,-2.530610532975291,0.055579253620335126,0.09980943741508766,1.6457781742110007,0.7496802125356686
PC.Anti-Saccades,0.011386420232143148,-2.530610532975291,0.055579253620335126,0.09980943741508766,1.6457781742110007,0.7496802125356686
RM.Arm,0.05779203532870596,-1.8972720996148371,0.04797431480218689,0.1051585183428117,1.6203434586391463,0.7106075247030953
ST.Sounds (Environmental),0.14707282593014961,-1.4499486978389826,0.0437103027628489,0.11413108398132112,1.5798942599661363,0.6829224320548068
PC.Sexual Arousal/Gratification,2.1499040942069655e-11,-6.695462612898825,0.06950630221523593,0.13046396167045013,1.5122748290396175,0.7992880326667364
ST.Pseudowords,0.6634403678857831,0.435168165647733,0.03649490200866964,0.13142641277447678,1.5085007581869645,0.6227519866164785
PC.Reasoning/Problem Solving,0.7661966126516102,-0.29735353654769064,0.03794161201607785,0.13510823878151237,1.4942578447226698,0.6361862280457207
ST.Symbols,0.24616351168549722,1.159718312956731,0.034822458273256585,0.1586594396307592,1.4095945417523377,0.6051496068860155
