feature,r
PC.Theory of Mind,0.1283374587582264
BD.Cognition.Social Cognition,0.12509053134444173
PC.Self-Reflection,0.1136566563607208
ST.Stories,0.09924666736936819
Instruct.Choose,0.08524232489380602
ST.Vignettes,0.08508886822831545
Instruct.Answer,0.07730424401919943
BD.Cognition.Memory.Explicit,0.06153044009656526
RT.Button Press,0.056027406880037926
SM.Visual,0.05250770097082787
BD.Cognition.Reasoning,0.047444218082157916
PC.Autobiographical Recall,0.04559110282528287
BD.Perception.Vision.Motion,0.044055698222112596
RT.Saccades,0.04374990759130218
RM.Ocular,0.0418441476520946
ST.Words,0.03884613881802075
PC.Fluency Induction,0.038392387258076324
PC.Cued Speech,0.038392387258076324
PC.Imagined Objects/Scenes,0.03789785369883904
RM.Hand,0.03771361295891374
ST.Dots,0.03679768652864848
PC.Saccades,0.03404199250450627
PC.Anti-Saccades,0.03308109217994505
Instruct.Recall,0.03155210958493807
PC.Whistling,0.031436368544049034
RT.Whistle,0.031436368544049034
Instruct.Encode,0.030940759286885517
PC.Semantic Monitor/Discrimination,0.030769066703138958
ST.Music,0.030132044640528346
PC.Cued Explicit Recognition/Recall,0.02882371012510921
PC.Sexual Arousal/Gratification,0.0282826469984839
ST.Pseudowords,0.02742402007270968
PC.Visuospatial Attention,0.027396649145742257
PC.Reasoning/Problem Solving,0.025371045178985842
BD.Action.Inhibition,0.025106316351804228
PC.Delay Discounting,0.024883492869187663
BD.Action.Preparation,0.024420664987339163
PC.n-back,0.02287122572631716
PC.Music Comprehension,0.02226369652344223
ST.Symbols,0.022081732097038252
Instruct.Rate,0.021757649232951926
PC.Pointing,0.02117513153944384
ST.Acupuncture,0.021159981854653225
BD.Action.Motor Learning,0.020386844370388194
BD.Interoception.Sexuality,0.020386415078271148
PC.Acupuncture,0.02015616240406697
BD.Cognition.Language,0.017508017694378382
PC.Divided Auditory Attention,0.017215670801828478
Instruct.Discriminate,0.016662906536437105
BD.Cognition.Attention,0.015307089513689821
PC.Thirst Induction,0.014924212662294694
ST.Playing Cards,0.014842288786053946
ST.Sounds (Environmental),0.014151196276644294
PC.Stroop-Color Word,0.014108922547021932
Instruct.Track,0.013162753150289416
Instruct.Inhibit,0.011724237745432114
ST.Faces and Scenes,0.011348792353927753
BD.Cognition.Soma,0.01116005380982935
PC.Stroop-Emotional,0.011091404959057331
BD.Cognition.Space,0.010977346661452541
PC.Wisconsin Card Sorting Test,0.010923187539316497
ST.Abstract/Geometrical,0.009548597772857267
RT.Point,0.009417027698105072
PC.Orthographic Discrimination,0.009163142755878166
BD.Cognition.Language.Orthography,0.008759664914891975
ST.Uniform Screen,0.008349129551434652
BD.Action.Imagination,0.008215415663737697
PC.Fixation,0.007883523539543058
BD.Perception.Vision,0.007414099428553056
BD.Cognition.Memory.Working,0.007340424597623065
BD.Emotion,0.007327709737462269
PC.Reading (Overt),0.006629242688185667
BD.Cognition.Time,0.006145764724619884
PC.Deception,0.005979733673234639
Contrast.Stimulus Type,0.005840223821185588
PC.Drawing,0.005604408361806275
ST.Cartoons,0.005575864594609983
RT.Draw,0.005032980260762472
ST.Interactive Computer Program,0.004528457614763227
ST.Interactive Computer Game,0.004528457614763227
BD.Pharmacology.Alcohol,0.004480245458364169
PC.Hand-Eye Coordination,0.0040549781113642085
ST.Shapes,0.003935792866982013
PC.Gambling,0.0036324492182328067
PC.Tower of London,0.003521198026833652
PC.Visual Pursuit/Tracking,0.003364847457662993
PC.Figurative Language,0.003098638062867708
RM.Arm,0.0027467251402106332
ST.Tones,0.001925839476396646
PC.Delayed Match to Sample,0.0019070722653769816
BD.Not Defined.,0.0017925564015703614
RT.Not Defined.,0.0017925564015703614
ST.Not Defined.,0.0017925564015703614
Instruct.Not Defined.,0.0017925564015703614
RM.Not Defined.,0.0017925564015703614
SM.Not Defined.,0.0017925564015703614
PC.Paired Associate Recall,0.0017369473026731252
PC.Finger Tapping/Button Press,0.001203548701595766
ST.Letters and abstract objects,0.001130846965114437
Instruct.Read,0.000890391324939663
PC.Affective Pictures,0.00083235422268792
PC.Passive Viewing,0.0005508123584562209
PC.Syntactic Discrimination,0.00046074966874730134
PC.Episodic Recall,0.00034808856193316404
BD.Interoception.Thirst,0.00015152339547132635
PC.Estimation,5.1988574524278064e-05
RT.Grasp,-8.217066352176017e-05
ST.Infusion,-0.0008890142542805002
RT.Smile,-0.0009712980984953503
PC.Emotion Induction,-0.0010538153219850212
PC.Go/No-Go,-0.0011989092764432918
PC.Multi-Tasking,-0.0012979179743613093
Instruct.Generate,-0.0013235713039938582
ST.Heat,-0.001852627560090488
BD.Interoception.Hunger,-0.0023078142937626974
BD.Pharmacology.Caffeine,-0.0031623581628810863
RM.Wrist,-0.0031623581628811076
ST.Arrow,-0.0031623581628811197
Instruct.Maintain,-0.0031623581628811206
Instruct.Add,-0.003162358162881121
PC.Oddball Discrimination,-0.0035155281276371356
ST.Letters,-0.003665784570681151
BD.Interoception.Sleep,-0.003724208840509539
PC.Trauma Recall,-0.0037370139680880494
PC.Visual Object Identification,-0.003861811101639363
SM.Auditory,-0.003871858576286618
PC.Micturition,-0.004165585872583878
ST.Spinner,-0.004472542441654166
RM.Unknown,-0.004472542441654166
RT.Unknown,-0.004472542441654166
RT.Breath-Hold,-0.0044725424416541815
BD.Interoception.Thermoregulation,-0.004472542441654187
PC.Pitch Monitor/Discrimination,-0.004573975946763186
PC.Stroop-Other,-0.004714989172857127
Contrast.External Variable,-0.0048718743164254275
ST.Blurred disk,-0.005043903829420624
PC.Encoding,-0.005076309715120651
PC.Sequence Recall/Learning,-0.00513792914116233
ST.Instruction,-0.005478081895519671
Instruct.Predict,-0.005478081895519674
RM.Shoulder,-0.0054780818955196785
PC.Visual Motion,-0.005478081895519679
ST.Braille,-0.005478081895519682
ST.Pictures,-0.005584565140303335
ST.Scenes,-0.005638345026443985
PC.Word Generation (Overt),-0.00566784568830477
BD.Emotion.Disgust,-0.005741596931952844
BD.Perception.Vision.Color,-0.0058116948285917795
RM.Pelvis,-0.005844251642046081
BD.Interoception,-0.005946888990513376
PC.Stroop-Counting,-0.006325958130085653
ST.Air Puff,-0.006325958130085668
ST.Abstract Patterns,-0.006325958130085711
PC.Physical Size,-0.006325958130085714
PC.Luminance,-0.006325958130085715
Instruct.Repeat,-0.006548861995957964
SM.Interoceptive,-0.006629726676007936
Instruct.Detect,-0.006826440118856681
PC.Driving,-0.006987295557683201
ST.Film Clip,-0.007073099175754281
RM.Other,-0.007073099175754281
RT.Blink,-0.007073099175754304
BD.Action.Rest,-0.007109552870463444
ST.Noise,-0.007219419259286833
PC.Magnitude Comparison (Non-symbolic),-0.007748699203276721
BD.Emotion.Happiness.Humor,-0.007748699203276722
PC.Word Stem Completion (Covert),-0.007748699203276723
ST.Animations,-0.007748699203276723
RT.Micturate,-0.007748699203276723
Instruct.Count,-0.007914508491072782
PC.Task Switching,-0.007940117882204091
BD.Interoception.Bladder,-0.008040799148239365
PC.Word Stem Completion (Overt),-0.008226839849283948
Instruct.Report,-0.008340646338712605
RT.Drink,-0.008355984645159449
PC.Magnitude Comparison (Symbolic),-0.008370099728917163
PC.Digit/Numerical,-0.008370099728917163
PC.Meditation,-0.008370099728917179
ST.Video,-0.008538923532099929
Instruct.Experience,-0.008637061424236503
PC.Reading (Covert),-0.008939029655008954
Instruct.Update,-0.008948598961182316
PC.Writing,-0.008948598961182445
ST.Objects,-0.009000129592321795
PC.Hunger/Satiety,-0.009143589863487678
PC.Word Generation (Covert),-0.009383950592181667
PC.Flanker,-0.009720926604046746
ST.Reversed Speech,-0.010006148439122429
RM.Leg,-0.01000614843912251
ST.Odor,-0.010068686829892102
ST.Asian Characters,-0.010223144094641442
ST.Mathematical Equation,-0.010335022897386503
BD.Emotion.Happiness,-0.010339258616637172
PC.Phonological Discrimination,-0.010452869097995067
ST.Tools,-0.010495224531717617
RM.Torso,-0.010495224531717636
PC.Face Monitor/Discrimination,-0.010519310708833753
SM.Olfactory,-0.010681239389141265
ST.Syllables,-0.010740087200995322
PC.Object Manipulation/Discrimination,-0.010789071317467156
PC.Tone Monitor/Discrimination,-0.01094867508462279
PC.Video Games,-0.010958821550418815
BD.Interoception.Respiration Regulation,-0.010962622735963486
PC.Hypercapnia,-0.010962622735963486
Instruct.None,-0.0110911265916037
ST.Numbers,-0.011121556913750353
Instruct.Imagine,-0.011204735753826052
PC.Imagined Movement,-0.01134712237583209
RT.Write,-0.011411007206144628
BD.Emotion.Sadness,-0.011986312679674517
PC.Recitation/Repetition (Covert),-0.012073005798862129
Instruct.Sing,-0.01225899477089431
PC.Flashing Checkerboard,-0.012258994770894314
BD.Cognition.Music,-0.012608695842346833
PC.Affective Words,-0.012728425305916127
ST.Inhalation,-0.013052407756823186
PC.Music Production,-0.013052407756823259
BD.Perception.Olfaction,-0.013129344546295914
ST.Digits,-0.013157992098360943
PC.Transcranial Magnetic Stimulation,-0.0134205300873572
PC.Counting/Calculation,-0.01353384760701527
PC.Grasping,-0.013566446884295749
PC.Isometric Force,-0.013638333541429721
Contrast.Experience Dependent Change,-0.01364984843884378
PC.Olfactory Monitor/Discrimination,-0.013704189767635178
ST.TMS,-0.013761961681854049
ST.Faces,-0.014053937693351266
PC.Passive Listening,-0.014332121416825694
Contrast.Session,-0.014514208296943986
RM.Foot,-0.014516466943583738
PC.Lexical Decision,-0.014604417142624608
PC.Rest,-0.01508431817152682
BD.Emotion.Fear,-0.015282704429079964
BD.Emotion.Anxiety,-0.015645495202268187
BD.Cognition.Memory,-0.015690882912498972
RT.Manipulate,-0.0158276046394921
BD.Cognition.Language.Semantics,-0.015998166444087563
ST.Pain,-0.016528589875841146
BD.Cognition.Language.Phonology,-0.016614526301721815
PC.Naming (Covert),-0.016672814434637986
BD.Cognition.Language.Syntax,-0.01681916117453249
PC.Chewing/Swallowing,-0.016992152946231392
Instruct.Fixate,-0.017208135644225003
BD.Action.Observation,-0.017902473048489582
ST.Fixation Point,-0.018311104304170833
PC.Naming (Overt),-0.018406594232562024
Instruct.Name,-0.018517932549413203
ST.False Font,-0.018758907508583642
PC.Film Viewing,-0.019834768639260363
BD.Perception.Audition,-0.020373482441193632
BD.Emotion.Anger,-0.020794189819378184
PC.Mental Rotation,-0.02115967786674761
BD.Perception.Somesthesis.Pain,-0.02196571135693806
Contrast.Instruction,-0.022543833960007333
BD.Cognition,-0.022637917901350658
ST.Electricity,-0.022710447949898155
PC.Pain Monitor/Discrimination,-0.02323412383861354
PC.Classical Conditioning,-0.024183871126289856
RT.Speech,-0.024377045595110954
PC.Recitation/Repetition (Overt),-0.02525483767043987
BD.Perception.Vision.Shape,-0.025423171969237053
RT.Swallow,-0.025837634277079708
BD.Action.Execution,-0.027413144966653955
ST.Clicks,-0.027468018089267732
Instruct.Attend,-0.027979718561865728
Contrast.Group,-0.028245088785128526
PC.Reward,-0.02936317688013358
BD.Action.Execution.Speech,-0.0302745494397101
ST.Tactile Stimulation,-0.030824986209041057
PC.Flexion/Extension,-0.03161681399195537
PC.Taste,-0.031767197868821
BD.Perception.Gustation,-0.03273537409273546
RT.Flexion/Extension,-0.03296801801253718
PC.Tactile Monitor/Discrimination,-0.03313507932434232
BD.Cognition.Language.Speech,-0.03317567282587301
SM.Gustatory,-0.03378747329185379
ST.Food,-0.03437716444566899
PC.Vibrotactile Monitor/Discrimination,-0.03469080678734373
ST.Vibration,-0.03483915094078716
Instruct.Move,-0.035627530401588524
RM.Oral/Facial,-0.038062895153196975
RT.Finger Tapping,-0.038203327984817965
BD.Perception.Somesthesis,-0.04448076529261896
Contrast.Response Type,-0.044724273984920335
SM.Tactile,-0.04898291931510862
Contrast.Response Modality,-0.0497896539453779
RM.None,-0.05289509807183672
RT.None,-0.05310931287014489
ST.None,-0.05715019875725671
SM.None,-0.060666336749629464
Contrast.Stimulus Modality,-0.06737343895185419
Instruct.Passive/Rest,-0.07466716978160352
