Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
RT.Button Press,3.4771102330743986e-08,5.515539808775005,1.2854465678305844,6.001997818051754e-17,8.365186370015762,0.0668811725863046
PC.Stroop-Color Word,5.40282576455553e-08,5.4375167993551425,3.2355042758246233,8.131612127235968e-13,7.158918310571612,0.0034639857898257982
SM.Visual,0.005716590556862022,2.7636095132219376,1.1091240597880323,3.853526199307596e-11,6.609602772747102,0.0789038086297779
Instruct.Discriminate,4.0745024021404674e-09,5.881140040768298,1.3641617011637237,7.888332396347276e-11,6.502714687278947,0.053786493344237664
BD.Cognition.Attention,1.524637694649833e-05,4.325098430326821,1.4220454241588936,3.252783491417433e-10,6.286225033379043,0.018549585329042884
RM.Hand,0.0001491097334755942,3.7925474727866075,1.1782131784410879,2.852912468929141e-09,5.939845252497484,0.06797142112604304
PC.Go/No-Go,0.004071676463273777,2.8725546519658094,1.5077320256419084,1.678638642061321e-08,5.64222772928697,0.00398912358079326
BD.Action.Inhibition,0.0015604778872782,3.163194963331301,1.6093830498024324,2.9069764790651646e-06,4.677285322549007,0.004555144202795802
PC.Flanker,8.973642171539176e-05,-3.9167884703493074,4.082898252826311,1.1408624812278384e-05,4.388593188633977,0.0013565855679367044
PC.Theory of Mind,6.077615436139716e-06,4.523671066061659,2.2423449270173643,1.537774072084889e-05,4.3232068802724655,0.005408456746313362
BD.Emotion,1.1073982957299222e-05,4.3950645740501315,1.4084005262414925,2.8887118414281435e-05,4.182066705031256,0.023761754497369156
BD.Cognition.Social Cognition,0.00011361452461822186,3.8595101795622555,1.7527198325662965,9.699484249314879e-05,3.8979889468629874,0.0067726248531717855
ST.Letters,0.001339829023411232,3.2073092048026113,1.4066127775868988,0.0003763823790325106,3.556112902907655,0.010766630628502388
BD.Cognition,0.00016433877278487774,3.7683369532353086,1.417225082493247,0.0003865606498166601,3.5490929180263384,0.01609738762850513
ST.Stories,0.0008875877021076173,-3.3239290622138706,4.536553614251456,0.0005251434984136473,3.4675922298382,0.0007815719321446033
PC.n-back,0.0038532821907274473,2.8899295099377613,1.5631495158640272,0.0018585739611567153,3.111947741949224,0.004866714982354078
PC.Autobiographical Recall,0.003717670805543638,-2.9011742543367935,2.0356330320359097,0.005810780028092038,2.758272139387584,0.0021292825074452335
PC.Reward,0.0008399825937017713,3.339272044862726,1.4376585379261062,0.012959130907790235,2.4848904459353576,0.011924234698845716
BD.Cognition.Memory.Explicit,0.008833352415017037,2.618437296670399,1.326795103736548,0.0132184652469381,2.4778285332758467,0.009747495926190652
ST.Pictures,0.0006714945133796668,3.4009608200692467,1.2885542165143467,0.015457024491251348,2.4214900428251696,0.024673295500516067
BD.Cognition.Memory.Working,0.13976076489719924,1.4766825015517209,1.1317253431297516,0.02252255821077738,2.2814377186663255,0.007952286544695767
Instruct.Recall,0.043576728626536165,2.0181395601104803,1.1827141638644394,0.024204094638913338,2.2538740179300722,0.013084416517653602
Contrast.External Variable,0.001318400158013544,3.211944121702108,1.3849752866768983,0.0275545199675015,2.203571123210309,0.013515436684491098
ST.Digits,0.18918062471283337,1.3130068952863896,1.1224814282442184,0.03212918203411728,2.1427997422238754,0.005345705141806789
BD.Cognition.Soma,0.005403678962773384,-2.781929424476681,2.273690355591422,0.035126084417916134,2.1069018939905853,0.001650814224219508
ST.Heat,0.2640618545045088,-1.1168420766994749,1.1166470648280884,0.05391241709722888,1.927539606429992,0.0018963124053823104
PC.Wisconsin Card Sorting Test,0.052836673282143365,-1.9362533988008537,1.6362760173540558,0.07757246040051471,1.7649482683181725,0.0011477473316512828
BD.Emotion.Disgust,0.01583899828787383,-2.4126044529028263,1.840920307232475,0.08742009938666653,1.7091665697165723,0.0018803034889275964
BD.Emotion.Fear,0.006413421633540639,-2.725859889511308,1.844589567525934,0.194221293268416,1.298192213071211,0.003155218352490372
