Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
RT.Button Press,0.0,inf,0.08798981481609738,6.001997818051754e-17,8.365186370015762,0.6572210745549909
PC.Stroop-Color Word,0.7560103830515134,0.3107240886131267,0.1993756959529764,8.131612127235968e-13,7.158918310571612,0.7782915216993225
SM.Visual,0.0,inf,0.07795045475650725,3.853526199307596e-11,6.609602772747102,0.6624036440084092
Instruct.Discriminate,0.0,inf,0.09443450249026969,7.888332396347276e-11,6.502714687278947,0.6147375474648201
BD.Cognition.Attention,2.459406410033557e-138,25.036338155380268,0.11254496286891048,3.252783491417433e-10,6.286225033379043,0.632870750308944
RM.Hand,0.0,inf,0.08638511835669282,2.852912468929141e-09,5.939845252497484,0.616089793861685
PC.Go/No-Go,0.0002697047693382376,3.642784362643214,0.1438879913839526,1.678638642061321e-08,5.64222772928697,0.6949850299401198
BD.Action.Inhibition,0.0013364805474658245,3.208028928131543,0.133242130452378,2.9069764790651646e-06,4.677285322549007,0.6689358274293337
PC.Flanker,4.820593206818309e-50,-14.874571818380872,0.21170343137254902,1.1408624812278384e-05,4.388593188633977,0.7872648335745296
PC.Theory of Mind,0.04844916981519092,1.9734073594696433,0.13359886051909686,1.537774072084889e-05,4.3232068802724655,0.6683119447186574
BD.Emotion,1.5096203767470655e-169,27.755162236022798,0.10242633021479927,2.8887118414281435e-05,4.182066705031256,0.5874959551748216
BD.Cognition.Social Cognition,4.285805394361186e-06,4.597018032750519,0.12057283994392748,9.699484249314879e-05,3.8979889468629874,0.6339165690602757
ST.Letters,7.169167091554245e-29,11.149894061951652,0.10883850515518213,0.0003763823790325106,3.556112902907655,0.5982491224046901
BD.Cognition,2.1421876419617074e-68,17.477072410517923,0.1045170058814425,0.0003865606498166601,3.5490929180263384,0.5856791814559607
ST.Stories,1.0,-0.0,0.22379360710072468,0.0005251434984136473,3.4675922298382,0.7979290869155946
PC.n-back,0.01841820476897163,2.3571016419507034,0.11764215075387635,0.0018585739611567153,3.111947741949224,0.6215674328944496
PC.Autobiographical Recall,0.011655731449624594,-2.522399307653615,0.13322074000280187,0.005810780028092038,2.758272139387584,0.6623240053747736
PC.Reward,7.44004800009076e-27,10.728995547247933,0.10280106516650891,0.012959130907790235,2.4848904459353576,0.5700849611953589
BD.Cognition.Memory.Explicit,6.092119955910702e-20,9.142683999686493,0.10374442940409304,0.0132184652469381,2.4778285332758467,0.5731776341267241
ST.Pictures,1.4142266927123854e-171,27.922713253824366,0.09679516336176006,0.015457024491251348,2.4214900428251696,0.5510802447253057
PC.Tower of London,1.0,-0.0,0.1786269882887607,0.017808916424999745,2.3695672420035434,0.7464344252269003
BD.Cognition.Memory.Working,7.162708961592507e-17,8.344316233309966,0.10306945424000127,0.02252255821077738,2.2814377186663255,0.5692181275618323
Instruct.Recall,4.387659717224707e-50,14.880868583361535,0.09973063849776409,0.024204094638913338,2.2538740179300722,0.557675689755686
Contrast.External Variable,5.660312063814912e-37,12.703417142413604,0.10034959177474434,0.0275545199675015,2.203571123210309,0.5592052158854091
ST.Digits,1.332794061955686e-05,4.354650470424033,0.10537621542467572,0.03212918203411728,2.1427997422238754,0.5762544609062399
BD.Cognition.Soma,3.839656775891173e-05,-4.116922162426861,0.12990662769076736,0.035126084417916134,2.1069018939905853,0.6523590383209324
ST.Faces and Scenes,1.0,-0.0,0.29541290407014786,0.04418089023936972,2.012370552740218,0.8462731199468381
PC.Self-Reflection,1.0,-0.0,0.15642258652094718,0.05242445969652734,1.939631747699235,0.7103265173040197
ST.Heat,0.14408234374185153,-1.4607562587200293,0.11387722194865259,0.05391241709722888,1.927539606429992,0.6045157980863394
PC.Episodic Recall,1.0,-0.0,0.17034137072467567,0.05510810246473107,1.9180229398590525,0.7338205596691989
PC.Wisconsin Card Sorting Test,8.9979810052882e-06,-4.439949929482575,0.12416223791749344,0.07757246040051471,1.7649482683181725,0.6358404112650872
BD.Emotion.Disgust,0.001161991524308369,-3.248049258340696,0.11746111429846369,0.08742009938666653,1.7091665697165723,0.6154305368057581
ST.Syllables,7.38429634060401e-07,-4.95097401655288,0.12367636728031571,0.10036329083394675,1.6430949438543745,0.6341662055067712
PC.Visual Motion,1.0,-0.0,0.21208551483420593,0.1441348858014348,1.460564896131838,0.7858465336350545
BD.Emotion.Fear,0.05787085141492196,-1.8966749529758968,0.10632698532005952,0.194221293268416,1.298192213071211,0.5751228528921148
Contrast.Experience Dependent Change,0.31829627844637753,-0.9979651078923899,0.10413276940328273,0.20414067844952172,1.2698426684650421,0.5664764740529817
Instruct.Detect,2.7877782226606994e-07,5.13725684551635,0.09839353200034404,0.20982192461007376,1.2540552489478456,0.5433194480371781
PC.Oddball Discrimination,2.1200129327667804e-10,-6.352385446440017,0.11848775354367592,0.2159720126044079,1.2373100112057334,0.6175383490610742
ST.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
SM.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
RT.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
BD.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
RM.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
Instruct.Not Defined.,1.0,-0.0,0.14539499541464693,0.2299907771181586,1.2003826161387887,0.6877815822670752
ST.Asian Characters,0.008838623835629354,-2.618233742598055,0.10662863827119931,0.23302509753982642,1.1926024713113126,0.5758631993006993
PC.Delay Discounting,4.684688234539717e-10,-6.22931840304668,0.11675155524649011,0.24054120124336925,1.1736351362668918,0.6117997424339987
BD.Interoception.Thirst,1.0,-0.0,0.12871038251366118,0.2631957628075466,1.118869625693637,0.647448416404857
RM.Arm,1.7673384676543348e-09,-6.017863752202249,0.1135167306703035,0.29318206385112877,1.0511666356702611,0.6006323277565538
PC.Estimation,1.0,-0.0,0.13631003430531732,0.2941016231543852,1.049166219275467,0.6669288242233583
Instruct.Inhibit,1.0,-0.0,0.13631003430531732,0.2941016231543852,1.049166219275467,0.6669288242233583
ST.Uniform Screen,1.0,-0.0,0.13631003430531732,0.2941016231543852,1.049166219275467,0.6669288242233583
ST.Shapes,2.5262334623275024e-59,16.242451549721224,0.09433362396374739,0.3152799250934775,1.0042047665440137,0.5251259832451071
PC.Task Switching,0.009338455064767558,-2.5994085733858134,0.10359453232309807,0.3230241521362593,0.988262405558823,0.5630927813004565
BD.Cognition.Reasoning,0.7244911150881697,-0.35246292927974165,0.09998579209966935,0.3299007625388444,0.9743137842519939,0.5480230680507496
PC.Face Monitor/Discrimination,3.597790032794876e-05,4.131898685727266,0.0969881803360923,0.3303968145922488,0.9733149094839526,0.5353099286091801
PC.Counting/Calculation,0.22643079332949823,-1.2096042323699647,0.10047777986735,0.35418030104549547,0.9265113507348812,0.5498590719009635
PC.Recitation/Repetition (Covert),1.0,-0.0,0.12038895447986356,0.357591035220284,0.9199650274479645,0.6229807404178812
PC.Paired Associate Recall,0.009574719119721417,-2.5908213169056453,0.10218982442483998,0.3734220246409953,0.8900816884913739,0.5569103325698387
PC.Thirst Induction,1.0,-0.0,0.14543074103168369,0.39614798172999965,0.8485208214186328,0.6876125315088225
PC.Trauma Recall,1.0,-0.0,0.14543074103168369,0.39614798172999965,0.8485208214186328,0.6876125315088225
ST.Film Clip,1.0,-0.0,0.14543074103168369,0.39614798172999965,0.8485208214186328,0.6876125315088225
Instruct.Count,0.004527668965605296,-2.8388482057598896,0.10181929492214573,0.40599300858553355,0.8309656960893496,0.555118154900337
ST.Mathematical Equation,1.0,-0.0,0.1168234809011508,0.4072507922106515,0.8287413321858726,0.6114230707524466
Instruct.Answer,1.0,-0.0,0.1168234809011508,0.4072507922106515,0.8287413321858726,0.6114230707524466
BD.Emotion.Anxiety,2.9107212350646218e-12,-6.9819686347940655,0.10947342154601492,0.41699085000921576,0.8116528611918425,0.5855536731865085
Instruct.Choose,0.0007134088312466502,-3.3843735040484986,0.1026076862771079,0.41732219128005743,0.8110757146332968,0.5583564813257915
PC.Fixation,1.8251275994592033e-29,-11.270986818695496,0.11204956434169622,0.4183242206436194,0.8093319718339829,0.5949747958266578
PC.Word Stem Completion (Overt),1.0,-0.0,0.11684736812538621,0.4988159435599714,0.676353955730421,0.6112980769230769
PC.Stroop-Other,6.285044485295697e-22,-9.624764962149559,0.10789482328209171,0.5017868289357814,0.671680954025208,0.5792678286018723
BD.Cognition.Space,0.06176539187818639,-1.8679761750860244,0.09810377203424867,0.5132570178712691,0.6537746235366103,0.5381549553208773
BD.Emotion.Happiness.Humor,1.0,-0.0,0.12877002313299288,0.5186213791498446,0.6454719668922044,0.6471485467333277
PC.Word Stem Completion (Covert),1.0,-0.0,0.12877002313299288,0.5186213791498446,0.6454719668922044,0.6471485467333277
RT.Point,4.81157950338189e-08,-5.4581364098607175,0.10307499771997203,0.5383113065528,0.6153686251966712,0.559711947305036
PC.Deception,4.81157950338189e-08,-5.4581364098607175,0.10307499771997203,0.5383113065528,0.6153686251966712,0.559711947305036
Instruct.Repeat,0.2289920943384957,-1.2029592391994948,0.09685448679889226,0.5507081886109155,0.5966992572224608,0.5322044796913514
PC.Emotion Induction,0.4392280018199666,-0.7734975099799941,0.09646435235626355,0.5556172262652052,0.5893638425656232,0.5303802850271493
