feature,r
RT.Button Press,0.10128881736788965
PC.Stroop-Color Word,0.08482402697533112
SM.Visual,0.07845091131046472
BD.Emotion,0.07697082458043784
BD.Cognition.Social Cognition,0.07320999992146286
PC.Theory of Mind,0.06913790796992038
Instruct.Discriminate,0.06583480685397428
BD.Cognition.Attention,0.06372582793882346
RM.Hand,0.0621828325021979
PC.Go/No-Go,0.059797306421955077
ST.Faces and Scenes,0.05588596685407293
BD.Action.Inhibition,0.052483621031435834
BD.Cognition,0.050503951858953094
PC.Reward,0.0471730132375402
BD.Cognition.Memory.Explicit,0.0463064207988657
PC.Flanker,0.04581933318192356
PC.Paired Associate Recall,0.04258492556419944
Instruct.Recall,0.032903408852357076
PC.Self-Reflection,0.03279633020242154
Instruct.Repeat,0.032185136802864674
ST.Stories,0.03113865932894142
PC.Autobiographical Recall,0.031068328020739427
ST.Heat,0.03102464895717959
ST.Letters,0.029698065532022155
ST.Digits,0.027830616070620085
PC.Delayed Match to Sample,0.027612091976363683
BD.Perception.Somesthesis.Pain,0.02759531895533634
Instruct.Inhibit,0.027577732423659396
PC.Deception,0.026497091863919832
Contrast.External Variable,0.02557121164215759
BD.Cognition.Memory.Working,0.025419743224714825
ST.Words,0.023822005979530686
ST.Pictures,0.022031033089678707
ST.Syllables,0.021313339279146006
Instruct.Count,0.021035417029753003
PC.Trauma Recall,0.020634406840935322
PC.Emotion Induction,0.02059638489824647
BD.Emotion.Sadness,0.020489544877416967
ST.Shapes,0.02039306578084195
PC.Wisconsin Card Sorting Test,0.020038626288070283
ST.Asian Characters,0.019625527669068298
PC.Tower of London,0.019103675977946346
PC.Pain Monitor/Discrimination,0.018913071222548074
ST.Pain,0.018105238363979727
RM.Arm,0.016476051908313766
PC.Divided Auditory Attention,0.01590441280109014
PC.Visual Motion,0.0158410521363488
PC.Episodic Recall,0.015673662876395777
PC.n-back,0.015564214325517585
Instruct.Answer,0.015514234511834582
ST.Acupuncture,0.015282159506846471
Contrast.Experience Dependent Change,0.01460923977070286
PC.Oddball Discrimination,0.014517960436254756
PC.Acupuncture,0.01401438345114061
PC.Stroop-Other,0.013134608802530916
BD.Emotion.Disgust,0.012881028380596935
BD.Cognition.Reasoning,0.012805486129464715
BD.Interoception.Thermoregulation,0.012618542276950195
PC.Multi-Tasking,0.012503359834610763
PC.Anti-Saccades,0.012479534962824433
Instruct.Choose,0.012260710611858286
ST.Symbols,0.012074688077854738
RT.Not Defined.,0.011137122390434318
BD.Not Defined.,0.011137122390434318
RM.Not Defined.,0.011137122390434318
SM.Not Defined.,0.011137122390434318
ST.Not Defined.,0.011137122390434318
Instruct.Not Defined.,0.011137122390434318
BD.Emotion.Anxiety,0.010460083390200912
ST.Infusion,0.010345190802745671
PC.Delay Discounting,0.00979946670229772
Contrast.Stimulus Type,0.009376448537204589
ST.Faces,0.009087161823500778
ST.Vignettes,0.009041426006535585
ST.Scenes,0.008214488726875009
PC.Stroop-Emotional,0.008201882804940221
PC.Face Monitor/Discrimination,0.00806426816583191
PC.Micturition,0.007753505248919016
BD.Interoception.Thirst,0.007587824524792642
Instruct.Encode,0.0074645521383699875
PC.Counting/Calculation,0.007239791408878144
PC.Recitation/Repetition (Covert),0.007171851450828776
PC.Semantic Monitor/Discrimination,0.007083894980126309
Instruct.Track,0.0070601597644554094
PC.Cued Explicit Recognition/Recall,0.006527026770166289
BD.Interoception.Bladder,0.006412160683484914
ST.Playing Cards,0.0055364640839514695
RT.Breath-Hold,0.005321456782792564
PC.Affective Pictures,0.005191722469249991
ST.Film Clip,0.004777129251845992
BD.Interoception.Sexuality,0.004431569939275695
PC.Film Viewing,0.004372534439863803
PC.Task Switching,0.0036883422003156424
PC.Recitation/Repetition (Overt),0.0035319338872317565
Instruct.Detect,0.0032654519463476816
RT.Point,0.0030854070179079274
PC.Music Production,0.0023252145100589256
PC.Hand-Eye Coordination,0.0021094240722613323
PC.Estimation,0.002085121205079731
Instruct.Rate,0.001891042092646515
BD.Emotion.Fear,0.001777841844325896
BD.Emotion.Anger,0.0017398260282793345
Instruct.Generate,0.0017260772737687472
BD.Cognition.Language.Phonology,0.0015244479626552235
ST.Interactive Computer Game,0.0013346009019340093
ST.Interactive Computer Program,0.0013346009019340093
PC.Word Stem Completion (Overt),0.0012959469932014888
ST.Video,0.0012889789570695938
ST.Objects,0.0009320635186094934
PC.Word Stem Completion (Covert),0.0006921373507114818
PC.Word Generation (Overt),0.0005319689191435055
PC.Orthographic Discrimination,0.00047590080181478587
PC.Classical Conditioning,0.00032170036621468375
PC.Passive Viewing,0.0002997201655722604
PC.Lexical Decision,0.0001517784445054922
PC.Driving,9.720877151091935e-05
ST.Mathematical Equation,7.593466750433105e-05
PC.Transcranial Magnetic Stimulation,-2.5275036715400974e-05
Instruct.Update,-0.0001310700170317427
PC.Reading (Covert),-0.00037850001218608893
SM.Interoceptive,-0.00043659645823549423
ST.TMS,-0.0008768054293448598
RT.Unknown,-0.0010313000003564418
RM.Unknown,-0.0010313000003564418
Instruct.Sing,-0.0011639160096202311
Instruct.Maintain,-0.001821787492083367
BD.Interoception,-0.0019475882555214533
RM.Pelvis,-0.0021078702889019297
ST.Reversed Speech,-0.002268852520824106
ST.Uniform Screen,-0.0022735292762578866
BD.Emotion.Happiness.Humor,-0.002431237690090797
Instruct.None,-0.002431505352607741
BD.Cognition.Music,-0.0026867553837943434
Contrast.Session,-0.0027131270350267286
PC.Reasoning/Problem Solving,-0.003042708745876781
ST.Dots,-0.003097885116921355
BD.Cognition.Soma,-0.003147432339158292
BD.Cognition.Memory,-0.003863240302167427
BD.Action.Preparation,-0.004288803735007644
ST.Instruction,-0.004347528537735448
PC.Encoding,-0.00438853340368883
