Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
ST.Fixation Point,0.054526119284275754,1.9226332968027384,1.194922551769656,0.0001353352177461959,3.816541688826447,0.010869489602562192
ST.Syllables,0.0641732001730887,-1.8509746496600288,1.5468125070085599,0.00013578988444370475,3.8157136868273973,0.0008981119304472949
BD.Action.Execution.Speech,0.030711293269577222,2.160793514703752,1.4620324500768052,0.0002676008110523082,3.6447990488675996,0.002896202170957996
Instruct.Generate,0.0003578698887132248,3.5693486552996325,1.676202567373075,0.00032648822710337115,3.5933223853031437,0.00849198321302424
PC.Stroop-Other,0.001218307998953061,-3.2345588743894496,3.4103264068754418,0.0003994754019980157,3.540430124314166,0.0012424203055576603
ST.Heat,0.04060692151540646,-2.0475213630408065,1.4823063222622437,0.0016107294522392857,3.1539567676672284,0.0023288400532283657
Instruct.Fixate,0.19053133429269076,1.3090089050251246,1.1069111943292764,0.0019059111584988904,3.10451522897705,0.008380251246854042
RT.Button Press,0.015466274487836662,2.4212725951448366,1.1308022748250735,0.0023146792481241146,3.046570845980879,0.05443074349734344
BD.Action.Rest,0.01388332081078969,-2.460268238361731,2.5870139409852464,0.0029463421334789365,2.973281380269567,0.0006774062816327844
Instruct.Recall,0.011833301838867882,2.5170768411148585,1.2926398149816785,0.004605838070635829,2.8333815036440817,0.013229999715444106
PC.Word Generation (Overt),0.0020105161497415702,-3.0886744533899146,2.1188876088069635,0.005372719342147784,2.7837937104875863,0.003087738446465296
PC.Stroop-Color Word,0.008094655382098637,-2.6480959219496114,2.0149421789409616,0.005415213285477017,2.7812373307187936,0.0019957422671080527
Instruct.Repeat,0.009725573009745747,2.5854366964853597,1.6508028250738909,0.005468507627297021,2.7780566915916776,0.0036460242079441344
RT.Speech,0.021817094098520506,2.293537236912489,1.2868959325715132,0.005644297798775753,2.7677601491281307,0.010328925850330715
Instruct.Discriminate,0.001713646978316219,3.13583652209548,1.212657183407442,0.008247074283708208,2.6417835476495126,0.04423368955798297
Contrast.Stimulus Type,0.20625219497152858,1.263938240301178,1.0407943233999963,0.009540673329481249,2.5920470114027525,0.06633159241637032
Contrast.Instruction,0.31797322143360773,0.9986315277816099,1.026556281235802,0.010113585965836412,2.5719213667052045,0.04417709753170336
BD.Cognition.Language.Speech,0.05062064940730304,1.954681716735005,1.2471210575730531,0.018972466046206084,2.3460715293674492,0.008419492611836717
ST.Letters,0.021534302394668137,2.298483210312388,1.3139729575576542,0.020585837475682794,2.3154953732155388,0.00930463682158593
PC.Go/No-Go,0.30654715866816473,1.0224939837614468,1.080890035261852,0.023826719890155734,2.259911889009677,0.0026457121240746734
ST.Words,0.006694792165036323,2.711656539102294,1.2023738158260242,0.02411027900630039,2.25536737168685,0.033605752221534224
PC.Cued Explicit Recognition/Recall,0.03477121581457088,2.1110127518453465,1.3962337474544206,0.025676811750373407,2.2310651808974997,0.004609764544247837
PC.Reward,0.0028511640062862664,2.9833450085459967,1.453471901284777,0.02990658179457107,2.1713254239078412,0.01115293449302641
PC.Delayed Match to Sample,0.22724601196877958,1.2074834576702285,1.139611263409566,0.030194251914468558,2.167532794367312,0.0028413416812469597
BD.Cognition.Language.Semantics,0.004625809511010215,2.8319982964997816,1.3772287234302887,0.03979670162374532,2.0558528543537062,0.013092276288675927
PC.Phonological Discrimination,0.0034695552585716216,-2.922749498422893,1.9268793491476317,0.041703291801687845,2.036468911377283,0.00386091112482038
PC.Tone Monitor/Discrimination,0.19306127261669137,-1.30157628047262,1.2267244050987685,0.04273528901533632,2.026287914360733,0.0013267626137155569
BD.Cognition.Language.Phonology,0.005107179689777586,-2.800194670564645,1.7978440317149995,0.04355119085975825,2.018384899119722,0.004114060600546091
Contrast.Experience Dependent Change,0.014558052009187583,-2.443190462310717,1.6674660294150567,0.047110228047127695,1.9853078783575295,0.0033790888537469257
RM.Oral/Facial,0.07148817575282085,1.8023638697994304,1.1790706651059997,0.04898803804274421,1.9686957639611566,0.01244348942439412
BD.Cognition.Memory.Explicit,0.026772524079010207,2.2148185117652233,1.309238126273428,0.05142995498234889,1.9478747230660074,0.008898475099763868
BD.Cognition.Attention,0.18558083523754598,1.3237658073781442,1.0952612995701476,0.05624835495809883,1.9091064957617834,0.013217405747053754
ST.False Font,0.033365371392279575,-2.1276589423536065,1.7798655913978496,0.05695114104679469,1.903685614645664,0.0015400095501745667
PC.Paired Associate Recall,0.020181999208274237,-2.3229470112733135,1.744089398605933,0.0640849709845869,1.851588254210082,0.0024422857088691467
SM.Visual,0.33180647424990084,0.9704816358758844,1.0204576607792035,0.06858201198553346,1.8211634672104657,0.06716152892202708
ST.Symbols,0.13785540987973155,1.483824785439816,1.2204792626728111,0.07098014244991686,1.8056044796607742,0.003626548805373491
BD.Cognition.Language.Orthography,0.03247758929454725,-2.138482668641942,1.540616856097935,0.08873829290871393,1.7020910953973174,0.0031044918643981616
BD.Action.Inhibition,0.21270441208309843,1.2461634020967265,1.155042565493042,0.09877396613273987,1.6508267019368668,0.003024464139997055
BD.Emotion.Anxiety,0.01839709917570831,-2.3575273676516666,2.4270894428152494,0.10760442247373019,1.6090545120716575,0.0010776382617848342
PC.Oddball Discrimination,0.22737432328144458,-1.2071501527571629,1.224678159218704,0.13700975104342916,1.4870191583281285,0.000571647678269772
ST.Digits,0.3072188451115231,1.0210751297101988,1.0708642314752665,0.14479297067905875,1.458172612746185,0.004718109241869541
PC.Taste,0.003902541976597118,-2.88593382944451,2.287210456235554,0.15832978948493223,1.4107111921684532,0.002942437086305623
PC.Word Generation (Covert),0.12008108706272114,-1.5544333343565337,1.3160977964561564,0.19419537647169668,1.298267656502031,0.0023224291539187428
BD.Cognition,0.05039708685973676,1.9565781427902778,1.212586155276971,0.19467530445789033,1.296871789575288,0.012741980052949565
Instruct.Track,0.3419883240291415,-0.9502439254680863,1.0566484381649504,0.19771422171981834,1.288091190057028,0.0006736606142271746
BD.Emotion,0.04353902829705503,2.018501786477602,1.1840786682312545,0.22490793421506244,1.2135805599546485,0.01848164510545801
BD.Cognition.Soma,0.0403806504695059,-2.0498338161038556,1.911550157825853,0.24937269810988327,1.1518743785762606,0.001283986105926854
PC.Orthographic Discrimination,0.052635235652646384,-1.9379015433327764,1.6390303877128902,0.2618211444902701,1.1220971289294746,0.0018100115835729114
BD.Cognition.Memory.Working,0.4139736223068289,0.8169209189214527,1.0177422929535576,0.29380466540808914,1.0498117641862696,0.00661601597239574
PC.Semantic Monitor/Discrimination,0.042421284310939944,2.029363456898435,1.2994032985632449,0.3402898239266656,0.9535927561315711,0.008136343378982155
ST.Pseudowords,0.17057938430952058,-1.3703445121777582,1.221875692035137,0.3570934889943008,0.9209175234389205,0.002754322753232845
ST.Noise,0.13989084847635058,-1.4761976192776942,1.3604068214505856,0.4053600844969254,0.8320865652655984,0.001440370983904472
PC.Wisconsin Card Sorting Test,0.20269891796317652,-1.2738998320068897,1.2737587724698352,0.4826129514529257,0.7021061753802146,0.0008265795534095361
ST.Pictures,0.3492032419644855,0.936135859716906,1.0332878952749676,0.4905894221043541,0.689371645476534,0.018304317862927962
RM.Hand,0.2944145151421711,1.0484865082363293,1.0289324110081006,0.5187371339243356,0.6452932997264986,0.054915768435880356
BD.Cognition.Reasoning,0.2533533081945578,-1.1422423230115129,1.1336723512088214,0.6187776001581892,0.4975835506574874,0.002826534457662002
PC.n-back,0.3349354346123006,-0.9642204083621015,1.0655514626993778,0.6814973267398293,0.41042075090722324,0.0030691461189294154
BD.Emotion.Disgust,0.18822522616543558,-1.3158475195846842,1.2897576749259778,0.7833797613659227,0.27491731853493395,0.0012187337210572942
PC.Affective Pictures,0.25350655828236657,-1.1418736129109979,1.1645794491152779,0.7975490296725622,0.2565204009024219,0.0014982013359042016
PC.Autobiographical Recall,0.27612928188193175,-1.0890557949432302,1.1409394816652882,0.8303665820394639,0.2142314368773901,0.001104089168057002
PC.Reasoning/Problem Solving,0.19706219315776485,-1.289966778047818,1.2291889443355315,0.8408241147905986,0.20083944992070626,0.0020291271515639735
PC.Classical Conditioning,0.08242909049812797,-1.7367625578992079,1.6147974115504682,0.8536777941014296,0.18442788733988463,0.001581026358015591
PC.Imagined Objects/Scenes,0.33061472864198915,-0.9728764139380034,1.0728236917151217,0.8562485208603705,0.18115167991026138,0.001233594271527077
ST.Electricity,0.29932687085906573,-1.0378779703563528,1.109334509874006,0.8615470755080376,0.1744051394705202,0.0012503175656122783
BD.Perception.Gustation,0.060959087829286385,-1.8737920845115832,1.5612856064893417,0.8763364661727499,0.15561504379844604,0.0026128970899776233
RT.Swallow,0.20853698993761283,-1.2575985171044226,1.2392963335329854,0.8988295859530698,0.12714000878945253,0.001453232172722492
PC.Task Switching,0.38760249418457704,-0.8639734163040497,1.0180356099511054,0.9367422993567044,0.07936500929819851,0.0013908068788892778
