Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.n-back,8.393995717392855e-07,4.925976800672456,2.6692602297923806,1.9646363626815606e-09,6.000704175815489,0.007984890507166184
ST.Letters,2.0047818850565946e-06,4.752941681393324,1.9749411725715045,2.311560600959503e-08,5.586902014670119,0.014524529628174236
Instruct.Read,0.0008425404320732133,3.338427403337628,1.7722430406852252,2.4770263553751e-08,5.574878534602688,0.0065169021007450215
BD.Cognition.Language.Phonology,2.671949898003234e-07,5.145228772993905,3.2426568717477813,7.1142688059321e-08,5.388260998799991,0.007706453833354592
PC.Reading (Covert),4.5486299488417536e-05,4.077685177746944,2.697911171159579,9.99052157324356e-08,5.326896203561323,0.004561642141946889
ST.Asian Characters,0.0002236080048662048,3.6907338555640536,2.59937676358729,2.7023432904188026e-07,5.143105108979976,0.0035037379081612153
ST.False Font,4.8197184459919384e-05,-4.064201458219292,3.5669225589225593,7.613881942658276e-07,4.945012907555781,0.003205271345614149
BD.Cognition.Language.Speech,8.639249064912313e-05,3.925937770316942,1.7663187752479883,8.580095717000199e-07,4.9216879250031464,0.01238458068674697
PC.Phonological Discrimination,2.2891106323807975e-06,4.726066187411696,3.217953391169109,3.274564082679327e-06,4.652800890189358,0.006696531954919189
SM.Visual,0.0417481665371795,2.0360217972633885,1.107294379470124,1.1973388136171067e-05,4.378071849211437,0.07568740112140537
BD.Cognition.Memory.Working,0.0011634139717167091,3.24770114890921,1.6008462282398452,1.3310230626135532e-05,4.354941751784682,0.010807948176645902
ST.Pseudowords,0.0002781609239960181,3.6348328482705075,2.2956452395811664,4.9777622251185665e-05,4.0566686510824574,0.005374369145456097
PC.Delayed Match to Sample,0.012254639054983363,2.504725700043423,1.63501252337108,9.852724689325188e-05,3.8941903836481764,0.004233725793785461
BD.Cognition.Language.Orthography,0.00022369946817268893,3.690629840036787,2.451805221255323,0.00010641948916341949,3.8754690891467702,0.005131174215045161
Instruct.Fixate,0.03684247369337923,2.087505397150401,1.2880421170377037,0.00011756801835860025,3.8511425882097163,0.010127662904926345
PC.Stroop-Color Word,0.0008138416219624078,-3.348043751520602,2.776142557651992,0.00012166752170431155,3.8427416519019073,0.002855739210916777
Instruct.Generate,0.00022567951998264668,3.688387782299672,1.8761364648353696,0.0001482958124683017,3.79390603601126,0.009871473040716868
Contrast.Instruction,0.08254975391536734,1.7360796394693077,1.1021037131882203,0.00034560060421998063,3.578478264047955,0.049257435090042864
PC.Orthographic Discrimination,0.00040293657869616695,-3.5381529519172754,3.010959527057754,0.0006156651293731447,3.4246176859600777,0.0034532989799414666
PC.Word Generation (Covert),0.0026034519776566567,3.0110509106647934,2.1194302176696542,0.0009105813503844432,3.3167896819193228,0.0038842605000796926
RT.Button Press,0.01451788991617975,2.444187234583678,1.162613413737831,0.0018896045363466876,3.1070562285505297,0.05812029851761521
PC.Visual Object Identification,0.002863921645324452,2.9819784423381552,2.2198401031592523,0.002185984394544194,3.0637267978525946,0.0035433413286656973
BD.Cognition.Language.Semantics,0.0007183223108401249,3.382488707437264,1.5829537983384139,0.004015756932587202,2.876921333169495,0.015628318126680637
ST.Fixation Point,0.12297370375134109,1.5424111912397438,1.1662368864182397,0.004354004562125306,2.8513060039235887,0.011017703505262384
Instruct.Discriminate,0.0019077802860889559,3.104225246527738,1.2588714427853733,0.004912652760793354,2.812706114425419,0.0476904496784445
BD.Action.Observation,0.021135291670629774,-2.3055589067555555,1.8664129668780833,0.00822108888387277,2.64285230073763,0.0023171522503101062
PC.Reading (Overt),0.17378084441939456,-1.360155110497236,1.2658636841602142,0.010938857415656632,2.544645992148208,0.0016164721421721693
RM.Hand,0.06694441407279283,1.8320470302069751,1.1039443207729123,0.023600604838447618,2.2635695110657106,0.06119166930342082
PC.Semantic Monitor/Discrimination,0.0031073338323057698,2.9569153784850037,1.6195962473740253,0.02556670314404923,2.2327307837377246,0.010532391152683696
BD.Cognition.Attention,0.1281385563217099,1.5214834702093119,1.1503642594389927,0.04639284228086532,1.991801493946239,0.014417792594027872
PC.Tone Monitor/Discrimination,0.14874498854227602,-1.4439786233059824,1.3409483304220147,0.04769684464204113,1.9800594879033504,0.0015062365345931152
Contrast.Stimulus Type,0.2710349247282442,1.1006823634807383,1.0361772414280253,0.0518289837714244,1.9445514801880301,0.0685842622907527
ST.Syllables,0.2632541652782583,-1.1187327589741174,1.1624530355700693,0.05310394620887473,1.9340746826170634,0.0007009759538887137
PC.Counting/Calculation,0.04037343241150104,2.049907764124475,1.5836746334014093,0.0549852274179457,1.9189929393667349,0.0033892379728528957
ST.Digits,0.14968327713080753,1.4406510968616777,1.207156042753937,0.061299731088481975,1.8713272834643098,0.005523723181235609
PC.Task Switching,0.040476306122437244,-2.0488548939123072,1.7214056677355059,0.08385507128882677,1.7287431701220601,0.0024424293091924584
PC.Tactile Monitor/Discrimination,0.01594944545489041,-2.410070333812432,2.017602844083291,0.08385507128882677,1.7287431701220601,0.002862690888651272
PC.Wisconsin Card Sorting Test,0.049455223747450705,-1.9646460019040215,1.9144980337728432,0.09676926649140045,1.6607221311113576,0.0012902899321860393
Instruct.Repeat,0.06684237275254334,1.8327324251253172,1.4661675779719625,0.09805318503223974,1.654365927535252,0.0033631239184283546
ST.Objects,0.21436455960431244,-1.241653158069872,1.2298386668789472,0.10425185976298675,1.6245810400258365,0.0013087243445271616
Instruct.Recall,0.0959562336792037,1.6647821135164667,1.1956165001975059,0.10864553670729864,1.6043109134159081,0.012708933871098737
BD.Cognition.Soma,0.019668834472184815,-2.3326059862077333,2.3942648441455123,0.11479071537402889,1.5770209033122125,0.0016702509543802529
BD.Cognition.Reasoning,0.055047804613429174,1.918498717260195,1.4909509103776621,0.12529866735649384,1.5329074201814312,0.0038606905062226237
Instruct.Count,0.06983608680449138,-1.8129723450016577,1.5892229222922294,0.16065881406498106,1.4028592515593283,0.0021609274639855683
BD.Cognition.Music,0.2723667141881605,-1.0976285652552293,1.1465108225108227,0.18950661866372284,1.312040059088342,0.0011251586913410571
PC.Visuospatial Attention,0.15776706236397486,1.4126214374205464,1.2210597324947101,0.1977473286572687,1.2879960773665051,0.0047932769362062965
PC.Word Generation (Overt),0.06917534222683974,-1.817272868207104,1.5923761423761424,0.27805259554634265,1.0847044066082028,0.0024099784553489843
Instruct.Encode,0.2202362918629409,-1.2259000450399418,1.1848783106657124,0.2883744602906356,1.0616943606889158,0.0029000242097877186
ST.Noise,0.10123714603072698,-1.6388853178374432,1.5335495078170238,0.3083518322986039,1.0186864818780088,0.0016863133483148527
PC.Film Viewing,0.4087853972219324,-0.8260329561175637,1.0091601889955801,0.4044948392329989,0.8336205544289742,0.002386424139170162
ST.Words,0.16372444565742494,1.392653998235432,1.092266323534264,0.6296546365657804,0.4822130087941282,0.031705716245809236
PC.Emotion Induction,0.3060453429748202,-1.0235553518382774,1.1009020243588146,0.6623430105425132,0.4366805861283684,0.0027986246722995533
PC.Cued Explicit Recognition/Recall,0.3600529937253629,0.915264113618543,1.0492908162687766,0.663153665085239,0.43556321438429135,0.003597919133528455
BD.Emotion.Fear,0.2757845574011656,-1.0898378960728718,1.142593359563747,0.6731625121676418,0.4218116354614199,0.001877863515579714
ST.Faces,0.34650169285638466,0.9413965267154977,1.0565528906761135,0.6966067989081477,0.3899049967289679,0.0062837190027279135
PC.Encoding,0.3036442197134035,-1.02864990137049,1.1024142524142526,0.8854030910314521,0.14412331903274678,0.002593913109092567
BD.Perception.Vision.Shape,0.3279012890082529,0.9783499179865124,1.0751492667815834,0.9125884071846548,0.10977425749072925,0.003940832582108883
PC.Face Monitor/Discrimination,0.2686263723865384,1.1062314065944026,1.1133611229113567,0.9755407055166846,0.030659982461121678,0.005831728631974487
ST.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Sounds (Environmental),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,1.0963901308163604,1.0,0.0,0.0010370808926706695
ST.Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,3.5199893673577884,1.0,0.0,0.0002497181623141217
PC.Word Stem Completion (Overt),1.0,-0.0,1.8751345227980742,1.0,0.0,0.0003103973419418522
PC.Trauma Recall,1.0,-0.0,8.189363017934447,1.0,0.0,0.00048414745754778697
ST.Odor,1.0,-0.0,0.45189052689052694,1.0,-0.0,0.00036867174638942975
ST.Numbers,1.0,-0.0,2.5888954056695996,1.0,0.0,0.0007652653361239213
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,1.0672308188265636,1.0,0.0,0.0006940305308996203
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Transcranial Magnetic Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.44785579004329007,1.0,-0.0,0.0008684395019763429
PC.Tower of London,1.0,-0.0,3.316353618832958,1.0,0.0,0.0005881791426406999
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vignettes,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.7217244386309135,1.0,-0.0,0.000554679731039461
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.31571895191092675,1.0,-0.0,0.0004591592016743529
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,6.07998163452709,1.0,0.0,0.0007907741806613855
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,2.1967816854678173,1.0,0.0,0.0008311787008411643
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.TMS,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,0.6250448409326914,1.0,-0.0,0.0008351166580816499
PC.Theory of Mind,1.0,-0.0,0.269857960913778,1.0,-0.0,0.0006253869781155274
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
