Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
PC.n-back,1.1371843386999095e-06,4.866279903715285,0.07958623714345311,1.9646363626815606e-09,6.000704175815489,0.7449596774193549
ST.Letters,9.18001803348552e-31,11.53125079568028,0.06306367988363802,2.311560600959503e-08,5.586902014670119,0.688325835230553
Instruct.Read,1.2430302138928627e-08,5.693717046648126,0.07330834486714626,2.4770263553751e-08,5.574878534602688,0.7237192774652058
BD.Cognition.Language.Phonology,0.0014905189595948917,3.1765231439498884,0.08026048205625995,7.1142688059321e-08,5.388260998799991,0.7438466728304056
PC.Reading (Covert),0.07762862701785621,1.7646142017331403,0.08716689976689976,9.99052157324356e-08,5.326896203561323,0.7621421274729507
ST.Asian Characters,0.3671727602063585,0.9017818554827212,0.0910281414786801,2.7023432904188026e-07,5.143105108979976,0.7709202611032893
ST.False Font,0.7730282475219435,-0.28841609681926883,0.09995965862853247,7.613881942658276e-07,4.945012907555781,0.7897922972549839
BD.Cognition.Language.Speech,3.9782603211495716e-24,10.132144780109114,0.061244423714015755,8.580095717000199e-07,4.9216879250031464,0.6745976726429115
PC.Phonological Discrimination,0.041636688555982654,2.037133271229096,0.07757618369309811,3.274564082679327e-06,4.652800890189358,0.7324178518881805
SM.Visual,0.0,inf,0.037097571937851154,1.1973388136171067e-05,4.378071849211437,0.6597934271830194
BD.Cognition.Memory.Working,2.024483064429344e-19,9.011937172843268,0.05955444029288935,1.3310230626135532e-05,4.354941751784682,0.6616560112271946
ST.Pseudowords,0.04253910586886166,2.028207195221683,0.07132439234521168,4.9777622251185665e-05,4.0566686510824574,0.7081034810728553
PC.Trauma Recall,1.0,-0.0,0.22147158942131448,8.60817108510133e-05,3.9268050108650057,0.9030503665169072
PC.Delayed Match to Sample,0.021000649143333893,2.307972804352247,0.0687560891001417,9.852724689325188e-05,3.8941903836481764,0.6973230459577323
BD.Cognition.Language.Orthography,0.14448568096500536,1.4592886391591915,0.0717421803702207,0.00010641948916341949,3.8754690891467702,0.7087526105942663
Instruct.Fixate,7.628192349122552e-23,9.839243938866206,0.05629658841859593,0.00011756801835860025,3.8511425882097163,0.6410730486110314
PC.Stroop-Color Word,0.5578787521558252,-0.5859951826126066,0.08432744321327955,0.00012166752170431155,3.8427416519019073,0.7496775473757318
Instruct.Generate,4.940443659448758e-10,6.220984693393653,0.05981764597531773,0.0001482958124683017,3.79390603601126,0.6574287913779832
Contrast.Instruction,0.0,inf,0.043267117011616105,0.00034560060421998063,3.578478264047955,0.5961490521017581
PC.Orthographic Discrimination,0.5613851490182806,-0.580785321658496,0.0778380571669021,0.0006156651293731447,3.4246176859600777,0.7284486919586833
ST.Mathematical Equation,5.960276853426707e-05,-4.014377976307052,0.11662355837113118,0.0008823509770779063,3.325578980715121,0.8166282744950982
PC.Word Generation (Covert),0.5508032977241553,0.5965568346275226,0.06942075062034739,0.0009105813503844432,3.3167896819193228,0.697012007819045
RT.Button Press,0.0,inf,0.04240398320615128,0.0018896045363466876,3.1070562285505297,0.5856628365631966
PC.Visual Object Identification,0.9872210958523183,0.016016666003476655,0.06925896327867559,0.002185984394544194,3.0637267978525946,0.6951901366818851
Instruct.Update,1.0,-0.0,0.1464800261951539,0.00398191123195161,2.879591191590539,0.8533586677098468
BD.Cognition.Language.Semantics,7.429448480784825e-28,10.939884513654977,0.05155488083761971,0.004015756932587202,2.876921333169495,0.603972389131718
ST.Fixation Point,2.9527279429790974e-25,10.383336154613993,0.051744985147272785,0.004354004562125306,2.8513060039235887,0.6046791065875036
Instruct.Discriminate,0.0,inf,0.04424749672281129,0.004912652760793354,2.812706114425419,0.5748789353461118
BD.Action.Observation,0.3819854894429653,-0.8742438153497277,0.06884483695308848,0.00822108888387277,2.64285230073763,0.6916865479904569
PC.Reading (Overt),0.38291315088581257,-0.8725412941325144,0.06753053650863869,0.010938857415656632,2.544645992148208,0.6855609134746612
PC.Estimation,1.0,-0.0,0.11239756051076806,0.02357899959093427,2.263920585540181,0.8088172954641798
