feature,r
ST.Letters,0.09845676725388355
ST.Asian Characters,0.09783872460225529
BD.Cognition.Language.Speech,0.09718139413055528
BD.Cognition.Memory.Working,0.09608499731870886
BD.Cognition.Language.Phonology,0.09404737699816987
PC.Delayed Match to Sample,0.08932345467178401
Contrast.Instruction,0.0861179481223883
Instruct.Generate,0.08492098160413916
PC.Word Generation (Covert),0.08353117802669367
PC.n-back,0.07382201742529396
PC.Stroop-Color Word,0.07300704800306893
BD.Cognition.Language.Semantics,0.06977623305403566
Instruct.Fixate,0.06735472296223304
SM.Visual,0.06692993684727332
PC.Phonological Discrimination,0.06591999333175909
Instruct.Read,0.06414432488680841
PC.Reading (Covert),0.05932483405309392
ST.Pseudowords,0.05730008620012482
ST.Fixation Point,0.05520973816837161
Instruct.Recall,0.05264446316835284
ST.Mathematical Equation,0.0513853566946102
RT.Button Press,0.04991487408902782
ST.False Font,0.04951414119850695
PC.Counting/Calculation,0.048992036794442494
PC.Word Stem Completion (Covert),0.04628148670131931
ST.Syllables,0.0452808009847894
BD.Cognition.Language.Orthography,0.044744503631018596
PC.Semantic Monitor/Discrimination,0.04041820954336719
PC.Trauma Recall,0.04015780227129266
Instruct.Discriminate,0.03927676704448221
PC.Orthographic Discrimination,0.039014908811518006
PC.Task Switching,0.03841226795240214
PC.Wisconsin Card Sorting Test,0.038381724525561746
BD.Cognition.Attention,0.03641164078256154
BD.Action.Observation,0.03601367949280994
ST.Digits,0.03336147149385383
RM.Hand,0.0328486223530499
PC.Reading (Overt),0.0320128803002401
Instruct.Repeat,0.03086922430864536
ST.Uniform Screen,0.030205526985231622
Instruct.Update,0.029648761529356388
PC.Multi-Tasking,0.027127049670580293
PC.Word Stem Completion (Overt),0.026803870761117825
ST.Numbers,0.024998725363950928
BD.Cognition.Reasoning,0.024949641401362636
PC.Tone Monitor/Discrimination,0.024659843749100883
PC.Visual Object Identification,0.0245108791448799
PC.Estimation,0.024488309128885118
ST.Words,0.024439534853170092
Instruct.None,0.021084336558704956
PC.Film Viewing,0.02041224451065481
ST.Objects,0.0200892288068595
Instruct.Name,0.020081109783930306
PC.Naming (Covert),0.019466878342257795
ST.Noise,0.01920292883790148
PC.Word Generation (Overt),0.019177030176219564
Contrast.Stimulus Type,0.018693071912953513
PC.Stroop-Other,0.018673472108530067
Instruct.Inhibit,0.018191083663923458
Instruct.Count,0.018044509446235184
Contrast.Response Modality,0.017891541695743137
BD.Cognition.Language,0.017520762229388413
BD.Cognition.Music,0.015380292793492482
RM.Other,0.014236381594383446
RT.Smile,0.013138781630981164
PC.Tower of London,0.012395765836441818
Instruct.Track,0.011915071891824053
RT.Speech,0.01149175319609808
ST.Animations,0.0112894881535375
BD.Action.Execution.Speech,0.011270158915292164
PC.Stroop-Counting,0.010864724034187256
ST.Faces and Scenes,0.010788799330151814
PC.Cued Explicit Recognition/Recall,0.010674424630470462
ST.Abstract Patterns,0.009628647297647602
RM.Foot,0.009354697954514294
Contrast.Response Type,0.008323515226491184
PC.Luminance,0.007843203122645944
PC.Encoding,0.006047373151523784
PC.Driving,0.006018257603070438
PC.Magnitude Comparison (Non-symbolic),0.006018257603070312
ST.Video,0.005748657659217699
ST.Letters and abstract objects,0.005739461547202607
PC.Music Comprehension,0.005680656102269735
Instruct.Encode,0.005472283682559812
Instruct.Detect,0.005304884062083974
