Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Wisconsin Card Sorting Test,5.3767558177986174e-06,4.5495233875700185,5.772648893711009,2.644834973783806e-10,6.31828408047568,0.0038691632565772105
BD.Cognition.Reasoning,6.673405693380374e-06,4.5038476464337185,3.2111125480940217,9.002992110347203e-08,5.3457771525402205,0.00826926097276743
PC.Counting/Calculation,5.291292825637672e-05,4.0423731969361825,3.0609876748680116,9.293131353392198e-07,4.906044786359965,0.006514891862695758
ST.Digits,0.001255113821982623,3.2260501058132824,1.9378837488372214,1.8013156978640748e-05,4.2881942051201065,0.008818723812570302
Contrast.Instruction,0.01877818635055084,2.3499053313490195,1.20237320368914,1.9623663717860225e-05,4.269130273270756,0.05344390021618685
SM.Visual,0.04713072288612963,1.9851235893530512,1.1338888293295075,5.469063571686878e-05,4.034620424074153,0.07707978629241799
Instruct.Track,0.008366705273063824,-2.6369017822473237,2.6603940372071846,0.00011494483487644946,3.8566643283756092,0.001751866663596131
PC.Phonological Discrimination,0.00012970376663534733,3.8270204049659666,3.2342881799567693,0.0003283422612394642,3.591847276492709,0.006693579672844331
Instruct.Fixate,0.029955494995010823,2.170678348271865,1.3934719603739116,0.00038590850435320245,3.549537494834129,0.01089649779270953
ST.Fixation Point,0.02986279380874013,2.1719054700228178,1.3675163490487987,0.0006772381907627457,3.398631815732003,0.012848320519860788
BD.Cognition,0.0018844723841333622,3.1078601201054346,1.6371206592836731,0.003431514521338654,2.9261807949419136,0.01776844595870531
PC.Saccades,0.015398153732820385,2.4228766588750235,2.115477241230575,0.005597357525104989,2.7704809447328644,0.0030597118225941648
Instruct.Recall,0.012787663908198521,2.4896286209394267,1.4603818292387047,0.008044694899150303,2.6501881805064587,0.015438075767823748
BD.Cognition.Language.Phonology,0.002039256724231664,3.084454685862711,2.489603308892649,0.008666303773812823,2.624944713705938,0.005884279125488963
Instruct.Read,0.09859364736017329,1.651710175411331,1.3494236350395112,0.01072375353137513,2.5515740430151306,0.00493487046333484
ST.Asian Characters,0.033843259001305026,-2.1219342595110766,1.9050001027559138,0.015576579445401046,2.4186883425654613,0.002553682559626668
Instruct.Count,0.011885712585034791,-2.5155194293204266,2.3293813137658943,0.01671005378991664,2.3930260684770324,0.003149963223301872
PC.Tone Monitor/Discrimination,0.06983961996091503,-1.8129494390541576,1.684693968423597,0.020681156633995303,2.313755153461397,0.0018819656051670456
PC.Task Switching,0.014593428754224091,-2.442314462675307,2.2427789579633495,0.023293435324877987,2.268587288781275,0.0031647162321398184
PC.Reasoning/Problem Solving,0.005986914399735421,2.7484972123787004,2.4758485944788777,0.024109940913934678,2.255372762532543,0.004221425611590169
PC.n-back,0.01994099241624414,2.3274562972572435,1.7885398494040317,0.02706373386051276,2.210597329450654,0.005320913486608876
PC.Visual Pursuit/Tracking,0.02368071880265843,-2.2622701287458007,2.2957407561510084,0.03717736663473081,2.083810953100586,0.0021596326616671016
RT.Button Press,0.06777784510759255,1.8264809704809286,1.1406932188450218,0.04175879573562954,2.035915951733598,0.05671146862570931
BD.Perception.Vision.Motion,0.07850656526264921,1.7594178323676548,1.4917729547292837,0.04447434681976469,2.0095923949856065,0.003701282555035588
RT.Saccades,0.08169483152957979,1.7409358058948845,1.5381988407345886,0.04846090865550348,1.9733042531228067,0.0028759190643719745
RM.Ocular,0.09160588109413015,1.6869868470948324,1.500430565627266,0.06018434366381715,1.879440698069245,0.0028935221179443326
ST.Letters,0.043898924962881614,2.0150546334536883,1.4090809832503965,0.06583967451158788,1.8395136334541422,0.010306077267552222
BD.Cognition.Language.Speech,0.07718161216782549,1.7672784193799211,1.3284444533616901,0.06999511902329099,1.8119422577356485,0.009263287621006016
BD.Cognition.Memory.Explicit,0.036083349863486824,2.0959869358332486,1.4503965922736695,0.0752986550804839,1.7786408943304706,0.010181884296264094
