feature,r
Contrast.Instruction,0.09341412319053374
Instruct.Fixate,0.09014352009830938
BD.Cognition.Memory.Working,0.08835697059779184
ST.Fixation Point,0.08526999531924324
PC.n-back,0.07766989266549978
ST.Letters,0.07690327855425277
SM.Visual,0.07640038031575666
PC.Counting/Calculation,0.07554713405986728
PC.Wisconsin Card Sorting Test,0.0724229342502942
BD.Cognition.Reasoning,0.06999156921033353
ST.Digits,0.06879768082276373
Instruct.Recall,0.06827883725843517
BD.Perception.Vision.Motion,0.06142142096868608
Instruct.Track,0.058676598893383794
Instruct.Count,0.05502793749191916
BD.Cognition.Attention,0.054317643247471396
PC.Delayed Match to Sample,0.0516896730760821
RT.Saccades,0.049495391143669035
RM.Ocular,0.04728718484755222
ST.Shapes,0.046705809850847345
RT.Button Press,0.04578794900806076
PC.Mental Rotation,0.04497942672019913
PC.Saccades,0.04394374285356918
BD.Cognition.Space,0.043719636837915105
PC.Task Switching,0.04200621055365958
PC.Visual Pursuit/Tracking,0.041431341331797523
PC.Stroop-Counting,0.03720899024979546
ST.Asian Characters,0.03701607329293596
PC.Orthographic Discrimination,0.03701261886093966
PC.Tone Monitor/Discrimination,0.03663907117676737
RM.Hand,0.035762895096855325
Instruct.Read,0.03514199865279246
PC.Fixation,0.03301544560930869
PC.Word Generation (Covert),0.03180017484409308
PC.Visuospatial Attention,0.03110498720700102
BD.Perception.Vision.Color,0.030993253105451243
Instruct.Generate,0.030613342525925184
ST.Abstract/Geometrical,0.030435958415667805
PC.Stroop-Emotional,0.028309893988407733
PC.Reasoning/Problem Solving,0.027899236849560975
PC.Phonological Discrimination,0.027790307842378674
BD.Cognition.Language.Orthography,0.02772649718430634
Instruct.Discriminate,0.026811730701235784
Instruct.None,0.026645225246618318
PC.Pointing,0.026469684725668068
BD.Cognition.Language.Phonology,0.026297124199696806
PC.Magnitude Comparison (Non-symbolic),0.026087265140380206
PC.Cued Explicit Recognition/Recall,0.025069409755021258
ST.Objects,0.02437543374711252
BD.Action.Preparation,0.023136057301670298
PC.Digit/Numerical,0.022750954426997854
PC.Magnitude Comparison (Symbolic),0.022750954426997854
ST.False Font,0.022558653325313583
ST.Braille,0.02157953426811818
ST.Syllables,0.021062051763173155
PC.Isometric Force,0.021003182221025856
PC.Stroop-Color Word,0.020883290340358827
Contrast.Response Modality,0.019456773933311463
BD.Cognition.Language.Speech,0.01893211659314213
Instruct.Detect,0.01888438736846352
BD.Cognition.Memory.Explicit,0.01885335622386623
PC.Paired Associate Recall,0.01798611358602584
PC.Anti-Saccades,0.017968988043936773
PC.Visual Object Identification,0.017291880888846704
ST.Symbols,0.017265347924177433
PC.Physical Size,0.017222448221312518
ST.Abstract Patterns,0.016252227734492943
PC.Sequence Recall/Learning,0.014524261883735061
RT.Point,0.014189098165564896
Contrast.Response Type,0.014061135228473817
BD.Action.Observation,0.01395722103658573
BD.Perception.Vision,0.013276229506744832
PC.Reading (Covert),0.012012235526487435
ST.Numbers,0.011967312442111654
ST.Dots,0.011013037105667336
PC.Luminance,0.011013037105667305
BD.Perception.Vision.Shape,0.010799478911783005
PC.Figurative Language,0.010253188613407151
PC.Go/No-Go,0.008732590385158522
ST.Instruction,0.008584741021862777
PC.Delay Discounting,0.00837043375376274
PC.Reading (Overt),0.008211751429869931
Contrast.Stimulus Type,0.007073526060479403
PC.Naming (Covert),0.006835180501655112
Instruct.Repeat,0.006493499932857884
Instruct.Answer,0.006376933148534288
PC.Oddball Discrimination,0.00589290460893812
PC.Word Generation (Overt),0.005746897264750735
BD.Interoception.Sexuality,0.0052788729281248266
ST.Noise,0.004971330500754689
BD.Cognition,0.004781049614638092
ST.Tools,0.0037258990156551893
ST.Pseudowords,0.0036846144098350983
PC.Flanker,0.003579081298661789
BD.Action.Inhibition,0.0034791306136482945
Instruct.Encode,0.002647533676069037
PC.Writing,0.0025405114432112083
Instruct.Name,0.0015487046955324668
ST.Sounds (Environmental),0.00020956664406070088
PC.Imagined Movement,0.00016439372154656548
RT.Grasp,-0.00010692370890358573
PC.Film Viewing,-0.00017329490925937656
RM.Arm,-0.00027519599311938675
PC.Recitation/Repetition (Overt),-0.0005062958938000986
Instruct.Rate,-0.0007548154309811836
BD.Cognition.Language.Semantics,-0.0008048528702510649
Instruct.Inhibit,-0.0008397000507132315
PC.Multi-Tasking,-0.001769787615548715
ST.Video,-0.0017749374456551424
ST.Reversed Speech,-0.002407773613491077
Instruct.Imagine,-0.0024213467142261105
BD.Action.Motor Learning,-0.0026968127078392987
PC.Music Comprehension,-0.0031267576239319976
RT.Write,-0.0031550830464069446
BD.Action.Imagination,-0.003287983069885626
BD.Cognition.Language.Syntax,-0.0032970698275799994
Instruct.Maintain,-0.0037098476748756073
Instruct.Add,-0.003709847674875608
ST.Arrow,-0.0037098476748756086
RM.Wrist,-0.0037098476748756233
ST.Interactive Computer Game,-0.0037098476748756272
ST.Interactive Computer Program,-0.0037098476748756272
BD.Pharmacology.Caffeine,-0.003709847674875653
ST.Pain,-0.004142430442506366
Contrast.Experience Dependent Change,-0.004233968011561106
PC.Object Manipulation/Discrimination,-0.004478509967706107
BD.Cognition.Language,-0.0045794285597738965
PC.Sexual Arousal/Gratification,-0.004794523719507094
RT.Manipulate,-0.00482762740679258
PC.Imagined Objects/Scenes,-0.0048843138862973015
BD.Interoception.Thermoregulation,-0.005246860198414767
RT.Breath-Hold,-0.005246860198414767
RM.Unknown,-0.00524686019841477
RT.Unknown,-0.00524686019841477
ST.Letters and abstract objects,-0.00524686019841477
ST.Spinner,-0.00524686019841477
ST.Faces and Scenes,-0.00524686019841477
ST.Mathematical Equation,-0.005407789550676037
PC.Tower of London,-0.0054567788212458055
PC.Word Stem Completion (Overt),-0.0054859006993865905
PC.Driving,-0.005762609261429494
BD.Pharmacology.Alcohol,-0.0064264856591564
ST.Vignettes,-0.006426485659156407
Instruct.Predict,-0.006426485659156437
PC.Fluency Induction,-0.006426485659156445
PC.Cued Speech,-0.006426485659156445
ST.Playing Cards,-0.0064264856591564464
PC.Visual Motion,-0.0064264856591564916
RM.Shoulder,-0.006426485659156511
PC.Lexical Decision,-0.006572863741618171
PC.Word Stem Completion (Covert),-0.007030265954038811
BD.Cognition.Time,-0.00703369535490099
RT.Speech,-0.00717187400915238
BD.Cognition.Memory,-0.00732406122680792
RT.Whistle,-0.007421152143904369
PC.Whistling,-0.007421152143904369
ST.Air Puff,-0.007421152143904371
ST.Blurred disk,-0.007421152143904376
PC.Thirst Induction,-0.007776934426727177
ST.Tones,-0.007801602040890624
ST.Cartoons,-0.007981008473495843
ST.Film Clip,-0.008297643460925982
PC.Trauma Recall,-0.008297643460925994
RM.Other,-0.008297643460925996
RT.Blink,-0.008297643460926048
ST.Scenes,-0.008352066186440328
ST.Animations,-0.00909020807952898
BD.Emotion.Happiness.Humor,-0.009090208079529016
RT.Micturate,-0.00909020807952906
ST.Heat,-0.009213748230190081
BD.Interoception.Sleep,-0.009481950193838897
RT.Smile,-0.009720720505337324
PC.Meditation,-0.009819189800281729
PC.Hand-Eye Coordination,-0.009819189800281791
BD.Action.Rest,-0.009958257371577772
PC.Estimation,-0.01032209811163193
Instruct.Update,-0.01049784285638625
ST.Inhalation,-0.010790272175108064
BD.Cognition.Music,-0.010943853895883997
BD.Interoception,-0.011128972215422198
Instruct.Experience,-0.011135373063279455
ST.Uniform Screen,-0.011141564610723678
PC.Affective Words,-0.011257759811435047
PC.Flashing Checkerboard,-0.011373072544490891
SM.Not Defined.,-0.0117384826794946
RM.Not Defined.,-0.0117384826794946
ST.Not Defined.,-0.0117384826794946
BD.Not Defined.,-0.0117384826794946
RT.Not Defined.,-0.0117384826794946
