Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
ST.Stories,2.0144079770911816e-07,-5.198003074599355,20.607220666044192,1.9821673176230272e-19,9.014252977837712,0.0036112615038816384
BD.Cognition.Social Cognition,1.3058221171036166e-11,6.767991737631875,4.644325700128014,4.0928800048720644e-19,8.93442855901225,0.018254241745186296
PC.Theory of Mind,7.613484287460892e-10,6.152783216524111,5.5294425324489795,6.747758264708405e-15,7.789119841977596,0.013565909052241311
PC.Deception,4.4940186525566084e-05,4.08049349767476,5.64108275215735,3.2159123503650334e-09,5.920179086577389,0.0036717854397008837
Instruct.Choose,0.0003797775563441075,3.5537517235241713,4.115844344984371,0.0001961572141473408,3.723914715488713,0.004945858146620506
ST.Words,0.000548254412604976,3.4560004466218444,1.4991890715176168,0.00026481324944550464,3.647491324942145,0.04607012442656089
BD.Cognition.Language.Syntax,0.00022962334738485524,3.6839765808969083,5.051575494010834,0.0025205608491597558,3.0208621494133228,0.006007059505484048
PC.Word Generation (Overt),0.0027545112189705234,2.993883474172243,3.005219680464778,0.004740090305030372,2.824185764829454,0.004815015338508851
Instruct.Generate,0.003542953440127783,2.916224607638438,1.9654762964941968,0.004771165491080959,2.822090878246427,0.01094811378982017
Instruct.Recall,0.015294708256929912,2.4253245119666285,1.5042887339086264,0.011217407635919453,2.5358521689412674,0.01692787236046715
PC.Reading (Covert),0.01858199939114724,2.3538121407394517,2.1438509822423897,0.012643614271244925,2.493652825422144,0.003837444549241529
PC.Semantic Monitor/Discrimination,0.005431352175332194,2.7802711797705864,1.8493659572090946,0.02717829686297426,2.2089474412272216,0.012732011712403214
ST.Asian Characters,0.06967864268803448,-1.8139940442816471,1.7520309068296684,0.06707845231293548,1.831148022905306,0.0025001041180719038
BD.Emotion,0.021852046288315607,2.2929298096684523,1.395847936881051,0.06861212453598256,1.8209653475527479,0.023954496387274725
SM.Visual,0.2568196782720713,1.1339400921073577,1.0548948740881454,0.0776695136503273,1.7643711409092255,0.07633498637578157
RT.Button Press,0.10109409658774171,1.6395724435799448,1.1343893719477434,0.08871601638169291,1.7022099597660976,0.0600355658914944
BD.Cognition,0.05443549330669761,1.923354907182087,1.3673037408749702,0.16629020711528947,1.3842229207289052,0.015797129706553326
BD.Cognition.Language.Semantics,0.03751692441817234,2.0800938627347687,1.4444751855124287,0.1665138169166711,1.3834927888395248,0.015097604421098245
BD.Cognition.Language.Orthography,0.05791008408986131,1.8963779602675752,1.762735779987487,0.18221890011461206,1.3339540988432805,0.0039054579604096743
PC.Delayed Match to Sample,0.24967168533398476,1.1511471937079572,1.175499199809273,0.2003440891659227,1.280571860344447,0.003222388757538156
BD.Cognition.Language.Speech,0.15448487927258958,1.4238673346321589,1.2439860121794555,0.20748508873182844,1.2605109820299027,0.009233825677909356
PC.Reasoning/Problem Solving,0.04246597941193153,-2.028924514636246,1.9924108378772012,0.20929165338424888,1.2555155868775012,0.003616249434135619
ST.Digits,0.21840545001089207,1.2307792186485558,1.1933487023956402,0.225646320596859,1.2116501715021593,0.0057808248516009525
Instruct.Read,0.3643213631479383,0.9071615693132552,1.0424959062854262,0.2514817612491356,1.1467577356721714,0.004058319438984759
RT.Speech,0.18749302787022293,1.3180317253857536,1.191970835771187,0.2726248231954889,1.0970379035350513,0.010518800723242079
RT.Saccades,0.22086120148723853,-1.2242413317915424,1.23784792330357,0.29846648607914494,1.0397275740006808,0.00246363234747074
PC.Passive Listening,0.04914687243913474,-1.9673152983272195,1.9199273912463535,0.32614834925760355,0.9819015557517856,0.003917273459179506
RM.Ocular,0.2371072926212453,-1.1822480485430895,1.207454335901027,0.3332008939963742,0.9676866367873617,0.0024787118581330444
BD.Action.Execution.Speech,0.35817642196009936,-0.9188454382893313,1.0303610333022097,0.4062608482497718,0.8304916829852628,0.0022441410774121616
BD.Cognition.Reasoning,0.15042287920631503,1.4380393861884555,1.378189917155822,0.42891220717806544,0.7910544686963158,0.0037780235796978294
PC.Counting/Calculation,0.18510824614286503,-1.3251896836884591,1.3137572373616517,0.45966698758449986,0.7393953128965051,0.0029764951375345016
RM.Hand,0.2884719840803648,1.0614796328901532,1.0510969597184234,0.48601999956932707,0.6966529669442317,0.06167964478385488
RM.Oral/Facial,0.30303692625894074,1.0299426537950467,1.0847200183487096,0.5411066925042222,0.6111403146162528,0.012586612740999736
ST.Pseudowords,0.22086120148723853,-1.2242413317915424,1.23784792330357,0.594175298251246,0.5327952847320773,0.003067919527039035
PC.Cued Explicit Recognition/Recall,0.28186635780817215,1.0761361779772594,1.131588135191818,0.6095887216287509,0.5106606178799638,0.004107691923541124
PC.Face Monitor/Discrimination,0.17525730596928812,1.3555031490596363,1.2638774357094862,0.6924087241111538,0.39558836184029766,0.007008420763228238
