Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
ST.Stories,0.7562317410031157,-0.3104329492843033,0.18827125816901671,1.9821673176230272e-19,9.014252977837712,0.948479498719447
BD.Cognition.Social Cognition,8.702704021550023e-22,9.591246657514017,0.05311375366856906,4.0928800048720644e-19,8.93442855901225,0.8394433490685669
ST.Vignettes,1.0,-0.0,0.3432155322862129,1.2626956269894894e-15,7.99818207533198,0.9712070170978199
PC.Theory of Mind,7.718107047378734e-09,5.77450187499159,0.05746629926309183,6.747758264708405e-15,7.789119841977596,0.843440214119232
PC.Deception,0.5208877336419503,0.641977590134569,0.07692434360528155,3.2159123503650334e-09,5.920179086577389,0.8749855917271814
PC.Syntactic Discrimination,0.4381102281353286,-0.7753883312259743,0.1050124326823356,2.340770064135266e-08,5.584720019411251,0.9069220929886664
Instruct.Answer,0.2041770039259871,-1.2697407170731116,0.08126850845297447,5.707836846661662e-05,4.024574725052531,0.878920664206642
Instruct.Choose,0.531951883202138,0.6250292159521857,0.04613105096948015,0.0001961572141473408,3.723914715488713,0.79032089161493
ST.Words,1.6186343313183284e-164,27.33521799242841,0.022255848134579724,0.00026481324944550464,3.647491324942145,0.6405785597742205
PC.Delay Discounting,0.47542880313880365,-0.7136739743734334,0.05742038954774121,0.000482947007664237,3.490040689878065,0.8293055479788337
RT.Whistle,1.0,-0.0,0.13494894619714623,0.0010204048531952123,3.2848394876577265,0.9262762216563598
PC.Whistling,1.0,-0.0,0.13494894619714623,0.0010204048531952123,3.2848394876577265,0.9262762216563598
ST.Dots,1.0,-0.0,0.13494894619714623,0.0010204048531952123,3.2848394876577265,0.9262762216563598
BD.Cognition.Language.Syntax,0.8505105618276845,0.18846702590419617,0.04131662622374697,0.0025205608491597558,3.0208621494133228,0.7643157308490709
PC.Figurative Language,0.2325453166169144,-1.1938278462184517,0.05530999880539959,0.0035702955370650164,2.9138253793033764,0.8218142548596112
PC.Word Generation (Overt),0.5350779776184029,0.6202731368604641,0.037057655522288756,0.004740090305030372,2.824185764829454,0.737870478167562
Instruct.Generate,1.0884295145524331e-06,4.874937424170404,0.02854819222568067,0.004771165491080959,2.822090878246427,0.6690834727644543
Instruct.Recall,1.493119564043045e-21,9.535397840555609,0.02484035576632531,0.011217407635919453,2.5358521689412674,0.6269177011158439
PC.Reading (Covert),0.5360489248818247,0.6187987817409125,0.03420885780885781,0.012643614271244925,2.493652825422144,0.7154733026247649
ST.Mathematical Equation,0.0777163054945776,-1.7640931029202291,0.05752458422361335,0.013723158404563115,2.464429430693812,0.8278034211240837
PC.Hand-Eye Coordination,1.8596297976011967e-05,-4.281110504842128,0.0813814263264237,0.020262124044648017,2.3214582653731135,0.8777011494252874
PC.Semantic Monitor/Discrimination,1.1902686248835278e-07,5.2949839527622355,0.02588006100765159,0.02717829686297426,2.2089474412272216,0.6322873952576217
ST.Asian Characters,0.8048932065446122,-0.24701940472088446,0.03175848706638425,0.06707845231293548,1.831148022905306,0.6905185538455895
BD.Emotion,3.3710500184946296e-38,12.922257176262283,0.022456271211985887,0.06861212453598256,1.8209653475527479,0.5846519540444175
RM.Leg,0.0036348346203290906,-2.9082277946466313,0.059956766671033675,0.07076622520885326,1.806974692585605,0.8339342292144651
PC.Autobiographical Recall,0.4917137079991388,-0.6875857125221936,0.033386516818953035,0.07346917235033401,1.789905078155372,0.7047579084784484
SM.Visual,0.0,inf,0.018330075318030416,0.0776695136503273,1.7643711409092255,0.5898109057366872
BD.Cognition.Language,0.2522944471831412,-1.1447941308128788,0.035750005682722255,0.08353190355337092,1.730550854522312,0.7234144015259895
RT.Button Press,0.0,inf,0.019726573592213106,0.08871601638169291,1.7022099597660976,0.5695173694678654
RM.Torso,0.005867085097006638,-2.7551186717525695,0.05541261673337145,0.09298233521306554,1.6798714216695703,0.820292347377472
PC.Stroop-Emotional,0.005867085097006638,-2.7551186717525695,0.05541261673337145,0.09298233521306554,1.6798714216695703,0.820292347377472
BD.Cognition,4.710678454454197e-15,7.834405063550012,0.022599297709332923,0.16629020711528947,1.3842229207289052,0.5752870549711607
BD.Cognition.Language.Semantics,2.8176841694421033e-12,6.986529879879307,0.022794686772166596,0.1665138169166711,1.3834927888395248,0.5779264627007922
BD.Cognition.Language.Orthography,0.8525967559937,0.1858061825461803,0.026793781527103662,0.18221890011461206,1.3339540988432805,0.6325778436771871
PC.Delayed Match to Sample,0.5388891883181097,0.61449361914332,0.025814709297748387,0.2003440891659227,1.280571860344447,0.6190941364275333
ST.Music,0.2576881875822381,-1.1318721530850349,0.030179108954376494,0.20530806217412226,1.266572859182404,0.671665631378117
BD.Cognition.Language.Speech,8.934556290980898e-06,4.441472027390231,0.023207037183213135,0.20748508873182844,1.2605109820299027,0.581320442586876
PC.Reasoning/Problem Solving,0.8059342783790732,-0.24567441601478412,0.027110677789939384,0.20929165338424888,1.2555155868775012,0.6359626802374895
ST.Digits,0.02042460113289171,2.3184550878157952,0.023996891817588725,0.225646320596859,1.2116501715021593,0.5922386287749498
RM.Arm,0.10564643026080335,-1.6180750242358977,0.032662790558566315,0.22700119660218215,1.2081197690499195,0.6958154015200074
Instruct.Read,0.14227573719648617,1.467368873245718,0.024289420642981563,0.2514817612491356,1.1467577356721714,0.5957101072473189
PC.Music Production,0.018230843240341,-2.3608959842704076,0.03937767081655636,0.252788317239662,1.1436029993403287,0.7469147894221352
RT.Speech,1.229596764390186e-07,5.28904048420795,0.022494985985292225,0.2726248231954889,1.0970379035350513,0.5675023516420595
BD.Cognition.Music,0.25977995887315086,-1.1269113623224665,0.027992924077261425,0.29157138539806693,1.0546806916042786,0.645602049530316
RT.Saccades,0.8062678207253322,-0.24524359778757407,0.025611030996104057,0.29846648607914494,1.0397275740006808,0.6139257120357002
PC.Saccades,0.49634075369132713,-0.6802585680318262,0.026167077495243038,0.3182771028487288,0.9980046520031857,0.6213977317330138
PC.Passive Listening,0.8063523211535062,-0.24513446048080442,0.025230471441225682,0.32614834925760355,0.9819015557517856,0.6078928548208828
RM.Ocular,0.806372785562772,-0.24510802992364292,0.02513827334422562,0.3332008939963742,0.9676866367873617,0.6064021275560673
BD.Action.Execution.Speech,0.8065641778992942,-0.2448608477816547,0.02427543424699486,0.4062608482497718,0.8304916829852628,0.5918664912753379
BD.Cognition.Reasoning,0.8530485345223752,0.18523013400013963,0.02359895341284837,0.42891220717806544,0.7910544686963158,0.5804761718597287
PC.Orthographic Discrimination,0.2622418455484973,-1.1211081133660725,0.025402958077058647,0.440088232647352,0.7720442282308557,0.6087447563730235
BD.Cognition.Soma,0.11204435146175444,-1.5890710562400028,0.02690432131874419,0.4447815580660185,0.7641437918278453,0.6299788179590481
PC.Counting/Calculation,0.8066852755912759,-0.2447044585117766,0.02372906705206934,0.45966698758449986,0.7393953128965051,0.5820774439140067
Contrast.Group,0.49770148840900075,-0.6781107292106969,0.02401651610771146,0.48393692170354985,0.6999846003451987,0.5864508815136235
PC.Imagined Objects/Scenes,0.26281669341134967,-1.1197584882467408,0.02479579700213458,0.48421654158709104,0.6995369309317822,0.5989517153748412
RM.Hand,0.0,inf,0.01975847900533024,0.48601999956932707,0.6966529669442317,0.5289991414427415
ST.Acupuncture,0.0289666920911267,-2.1839395259044068,0.02920845073267287,0.5012177972270924,0.6725748643780494,0.6583974414383266
RT.Manipulate,0.11323022970092203,-1.5838395800563037,0.02583343803660426,0.5045441297820429,0.667356993124169,0.6144368337859198
PC.Acupuncture,0.029780341647661253,-2.172999676299406,0.028497510115157172,0.5270659801938256,0.6324911643955289,0.6498293515358362
RM.Oral/Facial,5.4113888603031905e-11,6.5591540205534145,0.02115413898317499,0.5411066925042222,0.6111403146162528,0.5354441913439636
BD.Action.Motor Learning,0.03054217361226943,-2.1629870765975188,0.027837444892599192,0.5524618932306975,0.5940750864339597,0.6414792351107742
PC.Music Comprehension,0.11451421944614917,-1.5782237345804502,0.024672879052611143,0.5785411275903816,0.5555169384243155,0.5960343063970415
ST.Pseudowords,0.806942963496164,-0.2443716923674929,0.022565819375758932,0.594175298251246,0.5327952847320773,0.5595304303386494
PC.Fixation,0.03192823658072371,-2.145307908776788,0.02664959061254871,0.6018685749758217,0.5217152932722567,0.6254004764643063
PC.Word Generation (Covert),0.4984357498902148,-0.6769530399083159,0.022852477943203747,0.6032076406378909,0.5197933129149667,0.5646313646389052
PC.Cued Explicit Recognition/Recall,0.5401802812258101,0.6125403936888382,0.021996886093876768,0.6095887216287509,0.5106606178799638,0.548667000671563
PC.Face Monitor/Discrimination,0.058776814705167546,1.8898590413824916,0.021217237271131176,0.6924087241111538,0.39558836184029766,0.5319581230744225
PC.Pointing,0.034250418289912765,-2.117111118467884,0.024694054254636538,0.6951090511409913,0.39193119743899757,0.5955232057603506
ST.Abstract/Geometrical,0.29894527468576393,1.0386978644367384,0.02136961078137549,0.6978857338193285,0.388176079454998,0.5348048471959961
SM.Auditory,1.633700100918238e-21,9.526057494142824,0.020542789833995323,0.7069427377405095,0.3759652401453769,0.519439267672328
Instruct.None,0.03475406848817811,-2.111212295225369,0.024275199038605977,0.7172751063805254,0.362102940453137,0.588490099009901
BD.Emotion.Disgust,0.11742928485000956,-1.5656555193866684,0.022034965257856823,0.7896912759559159,0.26671152973414014,0.5467761183235093
PC.Drawing,0.03652615289565275,-2.0910213195609275,0.022815252431244014,0.801549305071731,0.2513425183483749,0.5619272834762046
RT.Draw,0.036916957053072394,-2.0866812523267146,0.022496054189135868,0.8215595579990829,0.22553955434954043,0.5556530000730834
PC.Oddball Discrimination,0.03728971763746065,-2.082577875363295,0.022192491064610725,0.8411633228945483,0.20040567323124403,0.5495156859910366
PC.Stroop-Color Word,0.11803529680644727,-1.5630735470356405,0.02148631216419318,0.8423151649637381,0.19893298741393498,0.5349569896279515
BD.Emotion.Anger,0.03798582418747688,-2.0750076671402398,0.021627906976744188,0.879186294775138,0.1520008125520754,0.5376344086021505
ST.Pain,0.03974756567943801,-2.056362732504439,0.020211982607106577,0.9844052925213843,0.019546311917404965,0.5048530780481318
BD.Cognition.Memory.Explicit,0.0061760313497550455,2.7382861438871937,0.020055928236128128,0.9880864275216036,0.014932003679587419,0.5011112493999254
PC.Film Viewing,0.5002268879315115,-0.6741328003069685,0.020009404809888484,0.9985046111545786,-0.001874193077965023,0.49976499026388244
ST.Tones,0.5408679579021168,0.6115009979248869,0.019982480898553305,0.9917727981586849,-0.010311451104620093,0.4990126112034412
ST.Faces,0.05896880899014556,1.8884258108460288,0.0199543634551236,0.9818126122359325,-0.022796484530039712,0.498154595371488
Instruct.Discriminate,1.3633033966604105e-135,24.783119302416225,0.020012295961429158,0.981686798691947,-0.022954209685476176,0.4990689536444316
RT.Point,0.0404817447627525,-2.0487992948313747,0.01962724076082,0.9675467096284682,-0.04068538926553353,0.4898999677315263
Instruct.Encode,0.5004342852018658,-0.673806589093973,0.019680663075311904,0.942330056110733,-0.0723416041195272,0.49093039761004836
RM.Foot,0.04113855950740795,-2.0421307891411318,0.019106723534767812,0.9222556738078529,-0.0975927599212558,0.4757963380988212
ST.Symbols,0.8076005185740531,-0.2435226789205268,0.01960292769717372,0.9194877012544791,-0.10107905917393765,0.4886282400910799
BD.Perception.Vision.Motion,0.5005465129198241,-0.6736300981511112,0.01950289257674001,0.9111533992573783,-0.11158382303525978,0.4860137001978191
PC.Reading (Overt),0.12047468474804965,-1.552784258005945,0.01927916635945833,0.9107631832451322,-0.11207595395982636,0.4802728026005481
BD.Cognition.Memory,0.04153925382553803,-2.0381067944229616,0.01879038487333546,0.8934963647930015,-0.13388139205611263,0.4668307692307692
Instruct.Maintain,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
Instruct.Add,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
RM.Wrist,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
PC.Multi-Tasking,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
ST.Interactive Computer Program,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
ST.Interactive Computer Game,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
ST.Arrow,1.0,-0.0,0.010010468463752944,0.886342911227739,-0.14293323384494414,0.0
ST.Faces and Scenes,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
RM.Unknown,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
ST.Spinner,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
RT.Unknown,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
ST.Letters and abstract objects,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
RT.Breath-Hold,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
BD.Interoception.Thermoregulation,1.0,-0.0,0.010011778563015312,0.8397984091721249,-0.20215134458772546,0.0
Instruct.Count,0.12108836348575634,-1.5502214902336557,0.018724876403456082,0.8393962393839315,-0.20266582132426714,0.46439036427007185
ST.Video,0.5008090160339734,-0.6732173638436315,0.019087499436065702,0.836271198740572,-0.20666537704033158,0.4741204465241069
BD.Perception.Vision,0.8077121635664306,-0.2433785440330412,0.019102765367689442,0.8182206346280625,-0.22983416605626916,0.4741706679711134
Contrast.External Variable,6.048629607558857e-05,4.010905587731248,0.019530748060124628,0.8148242825184926,-0.23420699794383382,0.48424951928514876
ST.Braille,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
RM.Shoulder,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
BD.Pharmacology.Alcohol,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
PC.Cued Speech,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
Instruct.Predict,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
ST.Playing Cards,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
ST.Instruction,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
PC.Fluency Induction,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
PC.Visual Motion,1.0,-0.0,0.010013089005235603,0.8044438912814685,-0.24760002512830517,0.0
PC.Task Switching,0.12148255281137821,-1.5485806817553347,0.018369223270858256,0.791611653986813,-0.26421837350075167,0.4536573599469336
Contrast.Session,0.04290212678879196,-2.0246615751169466,0.01772133909901131,0.7888029150089051,-0.2678654162475727,0.43407034024515984
PC.Luminance,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
PC.Physical Size,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
PC.Stroop-Counting,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
ST.Blurred disk,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
ST.Air Puff,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
ST.Abstract Patterns,1.0,-0.0,0.010014399790548502,0.7749374074393814,-0.2859225951424447,0.0
BD.Perception.Olfaction,0.04319328512433826,-2.0218361178394453,0.017494365553436617,0.7649797977268036,-0.2989479008530906,0.4265765765765766
Contrast.Experience Dependent Change,0.26877487711463716,-1.1058882824433278,0.018473851757640526,0.7603695141228262,-0.3049955860028455,0.4561564314084937
ST.Film Clip,1.0,-0.0,0.010015710919088767,0.7492017451022263,-0.31969210520274977,0.0
PC.Thirst Induction,1.0,-0.0,0.010015710919088767,0.7492017451022263,-0.31969210520274977,0.0
PC.Trauma Recall,1.0,-0.0,0.010015710919088767,0.7492017451022263,-0.31969210520274977,0.0
RT.Blink,1.0,-0.0,0.010015710919088767,0.7492017451022263,-0.31969210520274977,0.0
RM.Other,1.0,-0.0,0.010015710919088767,0.7492017451022263,-0.31969210520274977,0.0
ST.Odor,0.04346796914445592,-2.0191852467498266,0.01728070477568187,0.7420114947223179,-0.3291907756405518,0.4193334071531392
PC.Olfactory Monitor/Discrimination,0.04346796914445592,-2.0191852467498266,0.01728070477568187,0.7420114947223179,-0.3291907756405518,0.4193334071531392
PC.Naming (Covert),0.043599562586115206,-2.017920299148425,0.01717851012054102,0.7308357776783105,-0.3440139731547657,0.4158018997419426
ST.Cartoons,1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
PC.Word Stem Completion (Covert),1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
ST.Animations,1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
RT.Micturate,1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
BD.Emotion.Happiness.Humor,1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
PC.Driving,1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
PC.Magnitude Comparison (Non-symbolic),1.3761010613180658e-18,-8.799350625391137,0.010017022390991228,0.7261675330520062,-0.3502280823899566,0.0
SM.Olfactory,0.04372753385187271,-2.0166932589166646,0.017079231862384026,0.7198594920908563,-0.3586465852853879,0.4123284687431932
PC.Magnitude Comparison (Symbolic),1.8066528740328058e-07,-5.218205158075937,0.01001833420639078,0.7051970984455667,-0.37831433387318997,0.0
PC.Digit/Numerical,1.8066528740328058e-07,-5.218205158075937,0.01001833420639078,0.7051970984455667,-0.37831433387318997,0.0
ST.Scenes,1.8066528740328058e-07,-5.218205158075937,0.01001833420639078,0.7051970984455667,-0.37831433387318997,0.0
PC.Meditation,1.8066528740328058e-07,-5.218205158075937,0.01001833420639078,0.7051970984455667,-0.37831433387318997,0.0
Instruct.Fixate,0.006200814895933853,2.7369689312784455,0.019125737818320523,0.70378752461028,-0.3802127108628096,0.47174945493264825
BD.Interoception.Sexuality,0.044091146289078016,-2.0132232696205667,0.016797713289984396,0.6880830469183418,-0.40145787446644493,0.4022426529202317
PC.Writing,1.8662600592817807e-05,-4.280318534941457,0.010019646365422397,0.6858733692555227,-0.4044615195446408,0.0
Instruct.Update,1.8662600592817807e-05,-4.280318534941457,0.010019646365422397,0.6858733692555227,-0.4044615195446408,0.0
PC.Sexual Arousal/Gratification,0.00013257709986431266,-3.8216214384946183,0.010020958868221116,0.6679055249780426,-0.42902432161390186,0.0
Instruct.Experience,0.00013257709986431266,-3.8216214384946183,0.010020958868221116,0.6679055249780426,-0.42902432161390186,0.0
RM.Not Defined.,0.0003928941179273117,-3.544811389876628,0.01002227171492205,0.6510809932733881,-0.4522609650999468,0.0
Instruct.Not Defined.,0.0003928941179273117,-3.544811389876628,0.01002227171492205,0.6510809932733881,-0.4522609650999468,0.0
