feature,r
BD.Cognition.Social Cognition,0.15837174253529587
PC.Theory of Mind,0.1506502223424881
ST.Vignettes,0.14920425165075418
ST.Stories,0.09633314286203225
Instruct.Choose,0.08739135047745787
PC.Deception,0.07137436723295795
PC.Delay Discounting,0.06832076722996235
ST.Words,0.06400488847798946
SM.Visual,0.0559440543897364
RT.Button Press,0.05481772248731615
Instruct.Answer,0.046839761502225054
PC.Syntactic Discrimination,0.04605629051002198
PC.Semantic Monitor/Discrimination,0.04257417013040799
Instruct.Read,0.03731031553746916
PC.Reading (Covert),0.03694000486368137
Instruct.Generate,0.03600797948413611
RM.Hand,0.03331752624380245
ST.Asian Characters,0.03237911101175882
PC.Hand-Eye Coordination,0.031763331514826285
PC.Figurative Language,0.029841733444704286
ST.Mathematical Equation,0.02810174693867761
BD.Cognition.Reasoning,0.026477697100825592
BD.Emotion,0.026436149919884706
ST.Dots,0.025308281425690266
BD.Cognition.Language.Semantics,0.02521752774176712
BD.Cognition.Language.Syntax,0.02480632695313459
ST.Digits,0.02439267634321057
Instruct.Discriminate,0.02426131378635661
RM.Arm,0.024213813766052087
PC.Word Generation (Overt),0.023428794028308598
BD.Cognition.Language,0.02123855489388424
BD.Cognition,0.02080702335551399
BD.Cognition.Memory.Explicit,0.02078564545237048
PC.Autobiographical Recall,0.019464457096369136
PC.Episodic Recall,0.01882580340995319
ST.Pseudowords,0.017729575157154523
PC.Reasoning/Problem Solving,0.017479538389245253
BD.Cognition.Soma,0.017294520267949143
PC.Whistling,0.016193056717391078
RT.Whistle,0.016193056717391078
PC.Word Generation (Covert),0.016018384228562912
ST.Cartoons,0.01556408528675757
PC.Cued Explicit Recognition/Recall,0.015213548897668357
Instruct.Recall,0.014932930505318279
ST.Film Clip,0.014563505351406804
BD.Cognition.Language.Orthography,0.014466842955442358
BD.Action.Motor Learning,0.014060514694057162
PC.Imagined Objects/Scenes,0.013729016730881793
BD.Cognition.Language.Speech,0.012617887083901519
ST.Faces and Scenes,0.012293914196382198
PC.Reading (Overt),0.011636385504048143
Contrast.External Variable,0.011139827518708623
