Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Go/No-Go,0.00042586695727375723,3.5235125318598133,1.6706128603532322,3.339618088618976e-11,6.630760463650276,0.004109337132579932
ST.Syllables,0.0038165599265967964,-2.892938522145319,1.9437739283302795,5.065075911461399e-10,6.21707503473978,0.0011341576359248909
BD.Action.Inhibition,6.729409124439645e-05,3.9856554920265794,1.8295756200273008,4.378337289818482e-09,5.869226208606472,0.004814328192666661
BD.Perception.Somesthesis.Pain,0.0011305630581808224,3.255842855077421,1.6007137814730565,8.855748367666896e-07,4.915497051095016,0.0047798215583525865
RT.Button Press,0.0005081767889320021,3.476408927954899,1.1735044059039932,1.1575836836218295e-06,4.862763085761144,0.0567645494910151
ST.Heat,0.0029999360671838504,2.967744476309459,1.7044436333480741,1.4220483156777669e-06,4.821889342273123,0.0026910342312223366
PC.Pain Monitor/Discrimination,0.0008797856720383912,3.3263905386548194,1.58787536187197,8.062709218474427e-06,4.463511969400855,0.00563164922343635
ST.Letters,0.0001367254935958906,3.8140180172017324,1.510883957158528,1.3918717748883148e-05,4.345139505930896,0.010751745772007385
PC.Reward,3.663600494974162e-06,4.629607186579425,1.6587220317221727,3.9714347156898036e-05,4.10913523433462,0.012790602489632324
ST.Pain,0.003376785197594545,-2.931178657364815,2.242616176669828,9.674870057540478e-05,3.8986043653666598,0.0012572120150559887
BD.Cognition,6.546508371518822e-05,3.992192902480715,1.4549252920785825,0.0001224050177329162,3.841258717325731,0.015363843934538123
BD.Cognition.Attention,0.016719070691890492,2.392828132780573,1.209540713711999,0.0002965228438969087,3.6183189343380917,0.014668437309645264
Contrast.Stimulus Type,0.13028301766324601,1.5129867770784395,1.0489336493884518,0.0006097808081001356,3.427226237432051,0.06717975320900652
Instruct.Discriminate,0.0001522832716306377,3.7873161741547694,1.2268394127114821,0.0006334584510072879,3.416868604391234,0.044971535796301865
RM.Hand,0.01622811530448187,2.403744401869241,1.1054116814119546,0.0007921323329671112,3.3555294105001683,0.05928832009470275
PC.Oddball Discrimination,0.054058005857892555,-1.926371480503708,1.629497258644499,0.0028047385945649257,2.988365564282438,0.0007643547753772341
ST.Digits,0.07915254318993092,1.7556245166521471,1.2121034035848959,0.005609641774113832,2.7697669308545145,0.005366710000594981
PC.Visuospatial Attention,0.021023670514301984,2.3075591188016755,1.3590742492822916,0.006016921984234501,2.746857777960772,0.005162246754339375
PC.Paired Associate Recall,0.003598681936053838,-2.911352134629759,1.8842483655235942,0.008427786192328101,2.6344332943386948,0.0026515556780674233
PC.Delayed Match to Sample,0.19180164508558972,1.3052678864464593,1.1487207424152786,0.009049996544896872,2.610159690833012,0.002878167536309308
ST.Shapes,0.20127199894174785,1.2779359840352782,1.074752194888873,0.010049460693212149,2.5741227694646893,0.013279740499410834
RT.Swallow,0.0022348514856973534,-3.0571061090354306,2.0939015760949053,0.01473176962023177,2.4389067393851587,0.0024674648848519417
Instruct.Recall,0.03324271230569975,2.129139599983131,1.200516567821266,0.016705345035410595,2.3931294705896153,0.012347679321552995
