Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
PC.Go/No-Go,7.849605100475684e-05,3.9489460122614255,0.1490472880740379,3.339618088618976e-11,6.630760463650276,0.7177369381783504
ST.Syllables,0.005706429119512335,-2.7641900552345176,0.2097383210396909,5.065075911461399e-10,6.21707503473978,0.794640988067825
BD.Action.Inhibition,0.00019503033469619885,3.725368200604875,0.1400492084997566,4.378337289818482e-09,5.869226208606472,0.6985122444065206
BD.Perception.Somesthesis.Pain,0.00021862677698524587,3.6964598954041192,0.12860733003858407,8.855748367666896e-07,4.915497051095016,0.6703109109399971
RT.Button Press,0.0,inf,0.08610881787871694,1.1575836836218295e-06,4.862763085761144,0.5919222548193608
ST.Heat,0.8057245992847129,0.24594527025978408,0.1442873832903668,1.4220483156777669e-06,4.821889342273123,0.7031056565643048
PC.Pain Monitor/Discrimination,7.784166643471507e-06,4.471035796841948,0.12144327674718353,8.062709218474427e-06,4.463511969400855,0.6507750793734163
ST.Letters,1.7880184443898958e-29,11.272795202760765,0.10932727769837022,1.3918717748883148e-05,4.345139505930896,0.61763282848699
PC.Reward,2.1648699265582774e-33,12.040935352282322,0.10710999496285586,3.9714347156898036e-05,4.10913523433462,0.6094846623084155
ST.Pain,2.0045433203791577e-05,-4.264384131255214,0.16583849763239505,9.674870057540478e-05,3.8986043653666598,0.7383628128570155
BD.Cognition,2.021298264165635e-62,16.674130918055813,0.10226398454831553,0.0001224050177329162,3.841258717325731,0.5932853380545595
BD.Cognition.Attention,2.1674748703092903e-80,18.9874127882406,0.10003697345076942,0.0002965228438969087,3.6183189343380917,0.5846894805001318
Contrast.Stimulus Type,0.0,inf,0.0819678439121202,0.0006097808081001356,3.427226237432051,0.5764335775003318
Instruct.Discriminate,0.0,inf,0.08960376039299828,0.0006334584510072879,3.416868604391234,0.5625404849126389
RM.Hand,0.0,inf,0.08526402868973165,0.0007921323329671112,3.3555294105001683,0.5653989363053118
ST.Interactive Computer Game,1.0,-0.0,0.543836691965454,0.0012657468681842136,3.2236348504761327,0.9193936477382099
