feature,r
PC.Go/No-Go,0.08979124337598783
ST.Syllables,0.08313631225746879
BD.Perception.Somesthesis.Pain,0.0798201237625772
BD.Action.Inhibition,0.07380100610639237
ST.Heat,0.06885290000922635
PC.Pain Monitor/Discrimination,0.0676074642730402
Contrast.Stimulus Type,0.05787983398659163
ST.Interactive Computer Program,0.05669214610800314
ST.Interactive Computer Game,0.05669214610800314
ST.Pain,0.05485583597893344
RT.Button Press,0.05375338708295304
PC.Reward,0.04921440507982726
BD.Cognition,0.047344986381493474
BD.Emotion,0.04360203974519157
ST.Letters,0.04337869514784651
BD.Cognition.Attention,0.04231448066096134
PC.Delayed Match to Sample,0.038876199516033626
PC.Taste,0.037435336918459655
RT.Swallow,0.03531056788526058
PC.Multi-Tasking,0.035210576987301366
Instruct.Discriminate,0.03368886615792083
PC.Oddball Discrimination,0.033081515286715636
PC.Sexual Arousal/Gratification,0.032536056610562906
ST.Digits,0.032519102640275126
Instruct.Attend,0.032151135897261554
ST.Shapes,0.02843754323711155
ST.Video,0.02709136702158058
SM.Tactile,0.026898028748661054
ST.False Font,0.026744275896207224
RM.Hand,0.026679778533134153
Contrast.Stimulus Modality,0.025861108787818794
PC.Paired Associate Recall,0.02582110452249231
Instruct.Sing,0.025560363448335163
Instruct.Recall,0.02522211885227362
PC.Music Production,0.023450946654515574
Instruct.Not Defined.,0.023128803560361285
ST.Not Defined.,0.023128803560361285
BD.Not Defined.,0.023128803560361285
RM.Not Defined.,0.023128803560361285
RT.Not Defined.,0.023128803560361285
SM.Not Defined.,0.023128803560361285
BD.Action.Rest,0.022837752164927564
BD.Perception.Gustation,0.022756347246003675
SM.Gustatory,0.02263430095613194
PC.Visuospatial Attention,0.02241062432041774
Instruct.None,0.021772169503604298
ST.Food,0.02164678874825152
ST.Acupuncture,0.02148063169211747
RT.Smile,0.020820725284194142
Instruct.Inhibit,0.02051081180316149
PC.Deception,0.02027474922052384
PC.Acupuncture,0.02026403537136987
BD.Emotion.Anxiety,0.020250719555127805
PC.Word Stem Completion (Covert),0.01968585956962339
BD.Cognition.Time,0.019643436368623098
PC.Stroop-Other,0.017783926609427
PC.Estimation,0.017706091206370258
PC.Cued Explicit Recognition/Recall,0.017449521619686725
PC.Film Viewing,0.0172316056369657
PC.Tone Monitor/Discrimination,0.01675920200292981
SM.Visual,0.016730160503883353
Contrast.Experience Dependent Change,0.016120542525145862
BD.Cognition.Music,0.016010101852924875
PC.Micturition,0.01568181287282669
ST.Symbols,0.015577663783035193
BD.Interoception.Sexuality,0.015469731664188706
BD.Cognition.Language.Phonology,0.01519009213655251
PC.Delay Discounting,0.014578423752982862
ST.Electricity,0.013869206446087691
Instruct.Read,0.013412736890664063
BD.Emotion.Disgust,0.012668993915444817
PC.Recitation/Repetition (Overt),0.012340516088505444
ST.Music,0.012270874939870106
Instruct.Generate,0.011798358341415675
Instruct.Detect,0.011410401672786456
PC.Stroop-Color Word,0.011119963209232033
RT.Drink,0.010915426247742365
BD.Cognition.Memory.Working,0.010416071052270309
PC.Trauma Recall,0.009858643954355576
PC.Hunger/Satiety,0.009852369908552195
ST.Fixation Point,0.009695108016955292
PC.Tower of London,0.009295135215706823
RM.Pelvis,0.00901346906088448
Instruct.Report,0.008755920090496387
RT.None,0.008722771861350127
ST.Tactile Stimulation,0.008659929896171854
PC.Counting/Calculation,0.008494880565717051
BD.Interoception.Thirst,0.00812711246603847
PC.Wisconsin Card Sorting Test,0.007938916281442861
RM.None,0.007451675541601546
BD.Interoception.Bladder,0.007264034550903976
BD.Emotion.Sadness,0.00722330025261124
PC.Visual Motion,0.006953615144303323
BD.Cognition.Memory.Explicit,0.006716906521728731
PC.Recitation/Repetition (Covert),0.006377212735399861
Instruct.Fixate,0.006280604488253969
Instruct.Count,0.006279402427687278
PC.Word Stem Completion (Overt),0.006049200257793586
PC.Lexical Decision,0.0059357173869282655
PC.Driving,0.00583425288901201
BD.Cognition.Reasoning,0.0048479664934714325
RT.Micturate,0.004500394467915981
Contrast.Response Modality,0.0038561046964032974
PC.Reading (Overt),0.003834893998764038
Instruct.Encode,0.0037127628115841043
ST.Mathematical Equation,0.0034319979759735446
PC.Phonological Discrimination,0.0034059581163799735
Instruct.Repeat,0.003322651616497028
PC.Word Generation (Covert),0.0027269182041184154
PC.Thirst Induction,0.002497083651988277
PC.Reading (Covert),0.0023336313007653606
