feature,r
RT.Button Press,0.08926516873385167
BD.Cognition.Attention,0.07387439998578772
Instruct.Discriminate,0.07082639805997573
RM.Hand,0.07016332438641477
PC.Delayed Match to Sample,0.06702191646629829
SM.Visual,0.06155372553033999
PC.Film Viewing,0.061205287862316715
ST.Video,0.060880697399988436
PC.Flanker,0.059779736302234
BD.Action.Inhibition,0.05702891098457973
PC.Go/No-Go,0.05659988686599271
PC.Multi-Tasking,0.05624165404724861
BD.Cognition.Memory.Working,0.049149734830985226
PC.Stroop-Color Word,0.04793163760067414
PC.Counting/Calculation,0.046301430630959324
ST.Asian Characters,0.04436925578139926
Instruct.Inhibit,0.04365605239534499
BD.Action.Observation,0.04200861572614676
ST.Pseudowords,0.04183118354647466
ST.Digits,0.04007296338682182
PC.Tone Monitor/Discrimination,0.038888948517799705
ST.Letters,0.03790930142456136
PC.Orthographic Discrimination,0.03759566996216173
Contrast.Response Modality,0.0356452067097662
BD.Cognition.Music,0.03547753702846134
PC.Wisconsin Card Sorting Test,0.03479394222322415
ST.Abstract Patterns,0.033854702917777243
Contrast.Instruction,0.03348825644572816
BD.Emotion.Anger,0.032958519100845504
PC.Cued Explicit Recognition/Recall,0.03274640530094148
Contrast.Stimulus Type,0.030882239068817544
ST.Sounds (Environmental),0.030003333663456786
ST.Shapes,0.02910034255045295
RT.Smile,0.027920195545284895
Contrast.Response Type,0.026636731686423578
Instruct.Read,0.025896641006504854
PC.Reading (Covert),0.025437843519788193
BD.Cognition.Reasoning,0.025201497415235172
PC.Pitch Monitor/Discrimination,0.025021067938918142
PC.Oddball Discrimination,0.024217675663675983
PC.n-back,0.02281139201151268
PC.Driving,0.022749818124349817
Instruct.None,0.02191022297701247
BD.Cognition.Space,0.02035472675171778
RM.Other,0.019483518001531815
PC.Estimation,0.018917217662916687
ST.Braille,0.018722374671362688
PC.Visuospatial Attention,0.017863324090654303
ST.Not Defined.,0.01735516345343104
SM.Not Defined.,0.01735516345343104
Instruct.Not Defined.,0.01735516345343104
RT.Not Defined.,0.01735516345343104
RM.Not Defined.,0.01735516345343104
BD.Not Defined.,0.01735516345343104
Instruct.Count,0.017309011309142273
ST.Dots,0.01704899985821709
BD.Perception.Audition,0.016883825829400706
ST.Animations,0.01616249217724712
Instruct.Fixate,0.01606584941978937
PC.Task Switching,0.015936370323684584
ST.Syllables,0.015912802613864338
ST.Symbols,0.014947340067292363
PC.Phonological Discrimination,0.014588677443655617
BD.Interoception.Sexuality,0.01431870834333076
PC.Word Stem Completion (Covert),0.014186294393116547
PC.Music Comprehension,0.013712548680626577
Instruct.Encode,0.013182138175153232
PC.Anti-Saccades,0.012742715469805953
PC.Reading (Overt),0.012735790987854592
Instruct.Recall,0.012493499173572741
ST.False Font,0.012005127558145213
ST.Cartoons,0.01177094154584536
BD.Action.Preparation,0.011571601846119408
Instruct.Track,0.010828580971463197
PC.Visual Object Identification,0.010372099155977262
PC.Trauma Recall,0.010223521568963227
PC.Episodic Recall,0.010129485080948013
Instruct.Detect,0.009960086944556544
PC.Reasoning/Problem Solving,0.009744795754373686
BD.Action.Motor Learning,0.009195191280177577
PC.Face Monitor/Discrimination,0.008785902777265492
ST.Fixation Point,0.008368880642180597
BD.Cognition.Language.Phonology,0.007929934157633666
Instruct.Rate,0.006867643505238088
PC.Stroop-Counting,0.006696686773528265
RT.Drink,0.006099007921752968
Instruct.Sing,0.005908093289415357
PC.Sexual Arousal/Gratification,0.00590155511168862
PC.Stroop-Other,0.005784865507281262
ST.Faces and Scenes,0.005400037660945712
ST.Heat,0.00535600689332171
BD.Perception.Vision,0.005024603929134304
PC.Thirst Induction,0.004932095036066885
ST.Tones,0.004686730591541946
PC.Mental Rotation,0.004450025623905585
BD.Cognition.Memory.Explicit,0.0036878455919922737
PC.Music Production,0.0036186996659391233
ST.Uniform Screen,0.0033439184215192604
Instruct.Maintain,0.0032804764808356786
ST.Mathematical Equation,0.00318680138932462
RM.Foot,0.0027696155450423355
ST.Noise,0.002519253310457213
PC.Semantic Monitor/Discrimination,0.0024906792646003646
PC.Word Stem Completion (Overt),0.0021453802349142717
PC.Fixation,0.0018230769889249422
ST.Music,0.0015694229046688277
ST.Scenes,0.0013638404699640224
PC.Affective Pictures,0.0011687086696575233
PC.Divided Auditory Attention,0.000871530638504002
BD.Cognition.Language.Speech,0.0008393828424557831
BD.Perception.Vision.Color,0.0007251657472114598
PC.Delay Discounting,0.0006031651249164994
PC.Deception,-0.000429229333158318
ST.Pain,-0.0005425340905025522
PC.Stroop-Emotional,-0.001036071990123771
RT.Point,-0.001401790901042461
BD.Perception.Vision.Shape,-0.0017809162337295056
ST.Letters and abstract objects,-0.0018241400745428863
PC.Isometric Force,-0.001923149263661736
ST.Interactive Computer Program,-0.0023651312800509455
ST.Interactive Computer Game,-0.0023651312800509455
Instruct.Generate,-0.0024152299266301685
Instruct.Report,-0.002602963849431081
