feature,r
PC.Theory of Mind,0.11642206205887612
BD.Cognition.Social Cognition,0.09997282063706625
ST.Vignettes,0.09963894460060364
BD.Cognition.Attention,0.08169339127415062
Instruct.Choose,0.0758689098632852
Instruct.Inhibit,0.06407664308783537
BD.Action.Inhibition,0.06401053188217772
ST.Stories,0.06325630516504652
PC.Go/No-Go,0.056511848922843805
PC.Film Viewing,0.054815037513385095
ST.Interactive Computer Program,0.05430438013269596
ST.Interactive Computer Game,0.05430438013269596
RT.Button Press,0.053827746823492784
ST.Video,0.053084762502575315
BD.Cognition.Music,0.04454785259363545
PC.Tone Monitor/Discrimination,0.04361176069262711
Instruct.Add,0.04339560509183776
ST.Cartoons,0.04331698675540139
PC.Oddball Discrimination,0.04262655574466737
PC.Deception,0.04081092942097921
BD.Action.Observation,0.040809189544972424
ST.Syllables,0.03624256167543263
SM.Visual,0.03571203721697873
PC.Video Games,0.03520822326608515
PC.Music Comprehension,0.034122901257469807
RM.Hand,0.032470352601517594
PC.Estimation,0.03168860340751355
Contrast.Stimulus Type,0.03128878005556873
BD.Perception.Vision.Motion,0.029670497364627912
PC.Divided Auditory Attention,0.029561584047997917
ST.Music,0.029452967156062097
PC.Delay Discounting,0.028457098007510038
PC.Visual Object Identification,0.028093906398829218
RT.Saccades,0.02730487608995955
BD.Cognition.Time,0.026397467196542047
ST.Animations,0.026207410044608734
ST.Shapes,0.025421082948207413
RM.Ocular,0.025239986380717443
PC.Digit/Numerical,0.025071064051103705
PC.Magnitude Comparison (Symbolic),0.025071064051103705
Instruct.Track,0.024641685753935706
PC.Magnitude Comparison (Non-symbolic),0.024528734593738246
PC.Reading (Overt),0.024442490410627245
ST.Objects,0.024434681857049462
PC.Acupuncture,0.024019605112562504
PC.Recitation/Repetition (Covert),0.02320917067650701
PC.Anti-Saccades,0.02216022817485645
ST.Acupuncture,0.022007029424274543
Instruct.None,0.021586664111450556
BD.Perception.Audition,0.020914014866478047
PC.Hand-Eye Coordination,0.02046808331714647
PC.Imagined Objects/Scenes,0.01993665236473733
RM.Arm,0.01987046232520796
Contrast.Response Type,0.0197670269999143
Instruct.Discriminate,0.019329307473699476
PC.Delayed Match to Sample,0.019306951953843188
Instruct.Report,0.017438152177357318
