feature,r
LDA50_abstract_weight__8_mpfc_social_medial,0.13713898451878212
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.10147888620680308
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.07943767265903949
LDA50_abstract_weight__0_network_state_resting,0.07360616099465003
LDA50_abstract_weight__30_decision_making_risk,0.07235429089621497
LDA50_abstract_weight__28_social_empathy_moral,0.07170296957220863
LDA50_abstract_weight__26_emotional_amygdala_negative,0.06230235983609857
LDA50_abstract_weight__20_control_conflict_task,0.06214150598814788
LDA50_abstract_weight__15_task_performance_cognitive,0.042472672757278146
LDA50_abstract_weight__16_response_inhibition_control,0.03680949300566531
LDA50_abstract_weight__24_age_adults_older,0.03277840991227977
LDA50_abstract_weight__33_memory_retrieval_encoding,0.03036020434845634
LDA50_abstract_weight__9_memory_working_wm,0.027646216634126232
LDA50_abstract_weight__7_reward_feedback_striatum,0.027307128126427948
LDA50_abstract_weight__13_fear_threat_smokers,0.023000987502385925
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.022305111970866813
LDA50_abstract_weight__23_asd_autism_group,0.015316971888386056
LDA50_abstract_weight__41_imagery_mental_events,0.014246939944813792
LDA50_abstract_weight__32_pain_somatosensory_stimulation,0.01159669601408551
LDA50_abstract_weight__1_anxiety_trait_personality,0.011514086631658656
LDA50_abstract_weight__12_women_men_sex,0.008335704348538562
LDA50_abstract_weight__5_gyrus_frontal_inferior,-0.0007942855676225974
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.0028153252310420926
LDA50_abstract_weight__18_number_ips_numerical,-0.003129389014870248
LDA50_abstract_weight__10_food_taste_weight,-0.0032026611604394684
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.004305599619775222
LDA50_abstract_weight__47_attention_attentional_target,-0.009624100216259208
LDA50_abstract_weight__27_disorder_adhd_group,-0.009668731973339114
LDA50_abstract_weight__14_disease_ad_pd,-0.01149900663808284
LDA50_abstract_weight__4_stimulus_time_repetition,-0.013985979649154611
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.01823274308538699
LDA50_abstract_weight__31_model_models_prediction,-0.01865411002938765
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.02048564959191617
LDA50_abstract_weight__37_language_reading_word,-0.020558912572609046
LDA50_abstract_weight__11_learning_training_practice,-0.02353645910869068
LDA50_abstract_weight__38_semantic_category_representations,-0.02734829698039917
LDA50_abstract_weight__40_face_faces_facial,-0.033149812964282974
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.033929016541983034
LDA50_abstract_weight__49_depression_mdd_state,-0.0349232975512984
LDA50_abstract_weight__44_eye_sleep_gaze,-0.03796192322652573
LDA50_abstract_weight__19_action_actions_observation,-0.04458197947787253
LDA50_abstract_weight__22_method_group_approach,-0.04788046630059478
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.05063390527023511
LDA50_abstract_weight__34_frequency_hz_ms,-0.051825367093345835
LDA50_abstract_weight__6_auditory_speech_temporal,-0.058295258693046983
LDA50_abstract_weight__45_motion_perception_visual,-0.0623727263950567
LDA50_abstract_weight__21_matter_volume_structural,-0.06644129883116526
LDA50_abstract_weight__42_visual_cortex_sensory,-0.07546379837827005
LDA50_abstract_weight__25_spatial_body_human,-0.07606117460459369
LDA50_abstract_weight__17_motor_cortex_hand,-0.08288811664537954
