Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__30_decision_making_risk,2.3824592476628936e-07,-5.166713581162865,1.3307073224158528,4.7700670104960695e-08,5.459675094913299,0.012080603367634758
LDA50_abstract_weight__20_control_conflict_task,2.3354224177873917e-06,-4.721995159806996,1.2423605746431576,6.960193069932889e-07,4.962471085266467,0.016917843340566542
LDA50_abstract_weight__7_reward_feedback_striatum,1.8242628663234228e-07,-5.216407828168653,1.2968762892133114,1.2996359729251714e-06,4.839809574799206,0.015229369357902985
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.00018467454211645862,3.7391077791961873,1.1056825346879342,0.0001702602501050393,3.759489753781694,0.046499518786018636
LDA50_abstract_weight__16_response_inhibition_control,0.0013983705417023318,-3.194987175539611,1.1774349640571544,0.00025895633509992726,3.6532356871817626,0.011992051804620431
LDA50_abstract_weight__47_attention_attentional_target,0.0025134036889061795,3.021723075725422,1.0918324394393815,0.0008103381785632198,3.3492391523671485,0.036707752426849746
LDA50_abstract_weight__28_social_empathy_moral,0.0007411451859699048,-3.3738879904493073,1.2011408832028723,0.0008282968843089105,3.343161468771245,0.01111457696449259
LDA50_abstract_weight__9_memory_working_wm,0.011734862924926981,-2.5200186117737298,1.1140515527788428,0.0009268281580684341,3.311845199015994,0.015139147253350877
LDA50_abstract_weight__37_language_reading_word,0.0734517478763046,-1.7900134582251341,1.062371707122125,0.0010932068104187742,3.265371276207968,0.018737323545279086
LDA50_abstract_weight__26_emotional_amygdala_negative,0.0023448180629005444,3.042679651490362,1.0866105354625788,0.0029567978623382977,2.9721940010441976,0.042157718247251244
LDA50_abstract_weight__35_schizophrenia_risk_genetic,0.16867925440913278,-1.376460028016237,1.0652608331950224,0.0035818470035793065,2.9128167744882902,0.009436239121657352
LDA50_abstract_weight__33_memory_retrieval_encoding,0.03482635874590756,2.110371622890515,1.0693767398565068,0.01226910479971172,2.504308369939142,0.02533297809879303
LDA50_abstract_weight__38_semantic_category_representations,0.049750996019956806,1.9620986850528956,1.071205504235347,0.012441533246768515,2.4993671651704794,0.01950999658095996
LDA50_abstract_weight__27_disorder_adhd_group,0.4252665267102902,-0.7973177284003723,1.0089204441615292,0.03450475167480925,2.1141231352828225,0.01102193705335601
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.049941218443505964,1.9604671112065013,1.0417064886405003,0.06174305752879284,1.8681364249656978,0.05729457855744588
LDA50_abstract_weight__36_placebo_treatment_dopamine,0.42403554404293464,-0.7994396210332125,1.0105808623547023,0.10996451913250846,1.5983526365970766,0.007171770475072236
LDA50_abstract_weight__18_number_ips_numerical,0.13976876489943402,-1.4766526717857107,1.0851123177184265,0.166130902191591,1.3847435344616055,0.005611645162456826
LDA50_abstract_weight__22_method_group_approach,0.465526918391291,0.729776324663133,1.0015596387118897,0.2094078661552509,1.2551953142008405,0.07549368860076104
LDA50_abstract_weight__13_fear_threat_smokers,0.040887127968601944,-2.0446727897090526,1.1357207658378359,0.22046363454346288,1.2252962135207663,0.00674539429685281
LDA50_abstract_weight__8_mpfc_social_medial,0.040986584126014414,-2.043665697874251,1.0988241633962885,0.2312630499020077,1.1971116238819646,0.012239828171062684
LDA50_abstract_weight__12_women_men_sex,0.10951587478865055,-1.600372938462164,1.1041560092764662,0.46103951942001475,0.7371362124377244,0.005292467079938823
LDA50_abstract_weight__29_stress_ptsd_trauma,0.031739408786559675,-2.147677188081021,1.1701966384556846,0.5963047694097592,0.529721888715237,0.0058666725233658
LDA50_abstract_weight__0_network_state_resting,0.370666375745897,0.895225837198157,1.0110242419153368,0.6091690076119745,0.5112600034917106,0.028066083438368434
LDA50_abstract_weight__1_anxiety_trait_personality,0.01585351019451553,-2.412270604099813,1.1609682213642796,0.7412400583666033,0.3302116318828985,0.008619183357804495
LDA50_abstract_weight__31_model_models_prediction,0.2539522399326686,-1.1408022119697727,1.033966800559729,0.8054277106671904,0.24632880880423652,0.012725742246485386
