feature,r
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.08759267042806546
LDA100_abstract_weight__53_decision_making_risk,0.06582277886161314
LDA100_abstract_weight__89_inhibition_response_control,0.06402832586312063
LDA100_abstract_weight__92_social_empathy_moral,0.06359495868595284
LDA100_abstract_weight__25_feedback_error_learning,0.051696492779602976
LDA100_abstract_weight__23_semantic_words_word,0.050121058401031496
LDA100_abstract_weight__12_language_comprehension_sentences,0.04988818845550683
LDA100_abstract_weight__45_memory_working_wm,0.04946264544992323
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.04868044247637648
LDA100_abstract_weight__63_insula_anterior_autonomic,0.042508870342512564
LDA100_abstract_weight__80_pictures_images_aversive,0.041078341189543496
LDA100_abstract_weight__69_pain_painful_stimulation,0.04023755537358095
LDA100_abstract_weight__39_mechanisms_provide_network,0.038512348740097554
LDA100_abstract_weight__36_task_difficulty_demands,0.03579284208547984
LDA100_abstract_weight__30_emotional_negative_positive,0.03513451081389921
LDA100_abstract_weight__42_context_influence_modulation,0.03495203297766333
LDA100_abstract_weight__76_memory_recognition_items,0.034543928249646486
LDA100_abstract_weight__14_conflict_interference_control,0.03271654979778799
LDA100_abstract_weight__26_fear_anxiety_ptsd,0.032630303861311376
LDA100_abstract_weight__61_caudate_ofc_thalamus,0.03238699144857482
LDA100_abstract_weight__94_network_control_frontoparietal,0.031467983630321016
LDA100_abstract_weight__33_reward_striatum_ventral,0.03017227847522394
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.029186304681959662
LDA100_abstract_weight__56_response_stimulus_trials,0.02866220919715804
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.02543031981965265
LDA100_abstract_weight__65_task_switching_rule,0.024668243548243433
LDA100_abstract_weight__41_memory_retrieval_episodic,0.023353955640658154
LDA100_abstract_weight__47_magnetic_resonance_high,0.021524399150447356
LDA100_abstract_weight__11_task_cognitive_performance,0.021090157267815404
LDA100_abstract_weight__49_attention_attentional_task,0.01636050350579932
LDA100_abstract_weight__22_sd_taste_reliability,0.01598753581702343
LDA100_abstract_weight__1_gyrus_frontal_middle,0.015317475015635924
LDA100_abstract_weight__95_adults_age_older,0.014373581232977533
LDA100_abstract_weight__21_reading_words_word,0.013669512125162764
LDA100_abstract_weight__44_target_detection_targets,0.013111807932444887
LDA100_abstract_weight__93_time_reaction_times,0.011634438706004906
LDA100_abstract_weight__24_music_musical_musicians,0.010832439508864377
LDA100_abstract_weight__86_women_men_sex,0.010351498611364288
LDA100_abstract_weight__73_parietal_frontal_inferior,0.008854581502427974
LDA100_abstract_weight__18_number_numerical_numbers,0.007091918414554567
LDA100_abstract_weight__71_reasoning_mind_mental,0.006615857370430773
LDA100_abstract_weight__31_speech_auditory_production,0.004149070794812304
LDA100_abstract_weight__19_judgments_judgment_ppc,0.004020484519153883
LDA100_abstract_weight__91_amygdala_emotional_faces,0.002652420733248251
LDA100_abstract_weight__28_phase_problem_problems,0.002474638371858716
LDA100_abstract_weight__87_dorsal_ventral_stream,7.470342254980035e-05
LDA100_abstract_weight__55_representations_representation_abstract,-0.0016831319376757986
LDA100_abstract_weight__54_adhd_food_weight,-0.0018367112913710668
LDA100_abstract_weight__29_integration_human_order,-0.0020331737244445027
LDA100_abstract_weight__16_deaf_hearing_sign,-0.0023617896551862794
LDA100_abstract_weight__50_perceptual_perception_interaction,-0.0025926707224515895
LDA100_abstract_weight__84_children_adolescents_age,-0.0029885870124123502
LDA100_abstract_weight__58_personality_trait_traits,-0.005183157086480255
LDA100_abstract_weight__79_spatial_cues_cue,-0.006101086599624164
LDA100_abstract_weight__64_ms_spatial_virtual,-0.008682580918379095
LDA100_abstract_weight__96_patterns_cortex_common,-0.008990411072769874
LDA100_abstract_weight__9_imagery_mental_events,-0.009760342786326271
LDA100_abstract_weight__81_auditory_sounds_sound,-0.010998278508742469
LDA100_abstract_weight__34_hemisphere_hemispheric_lateralization,-0.012866253234797924
LDA100_abstract_weight__74_placebo_ocd_dopamine,-0.013873653016406947
LDA100_abstract_weight__8_sleep_body_bodies,-0.014927199412258068
LDA100_abstract_weight__51_light_mechanisms_underlying,-0.016363961245212454
LDA100_abstract_weight__4_term_long_repetition,-0.016436987877016432
LDA100_abstract_weight__13_action_actions_smokers,-0.017197116419125007
LDA100_abstract_weight__59_cerebellar_cerebellum_timing,-0.017548541549676704
LDA100_abstract_weight__17_human_humans_animal,-0.017955231097447642
LDA100_abstract_weight__27_epilepsy_lobe_temporal,-0.018597154120492683
LDA100_abstract_weight__15_mirror_observation_imitation,-0.018621602267733708
LDA100_abstract_weight__98_treatment_baseline_therapy,-0.019373483791200578
LDA100_abstract_weight__75_stress_alcohol_users,-0.019570344588932784
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,-0.020780136478782046
LDA100_abstract_weight__48_learning_training_sequence,-0.02096076672993765
LDA100_abstract_weight__66_allele_genetic_gene,-0.02132841750405533
LDA100_abstract_weight__20_pd_basal_ganglia,-0.022393674512992328
LDA100_abstract_weight__3_individual_variability_level,-0.025669668249273112
LDA100_abstract_weight__57_face_faces_fusiform,-0.026453532392282524
LDA100_abstract_weight__70_pattern_patterns_classification,-0.027272032722604547
LDA100_abstract_weight__0_group_control_age,-0.027876548100559964
LDA100_abstract_weight__62_scenes_scene_ppa,-0.029094100313145854
LDA100_abstract_weight__40_ad_disease_mci,-0.029559978404633428
LDA100_abstract_weight__5_depression_mdd_disorder,-0.03146363586209726
LDA100_abstract_weight__46_stimulation_tms_acupuncture,-0.03170746133844202
LDA100_abstract_weight__6_eye_gaze_saccade,-0.03283357589165389
LDA100_abstract_weight__67_network_state_resting,-0.03314966536948099
LDA100_abstract_weight__32_object_objects_visual,-0.03322216024830293
LDA100_abstract_weight__88_cbf_cerebral_perfusion,-0.03506991931898886
LDA100_abstract_weight__37_temporal_superior_posterior,-0.03578900638532935
LDA100_abstract_weight__38_stroke_lesion_lesions,-0.03768549858857117
LDA100_abstract_weight__82_somatosensory_stimulation_tactile,-0.03894790559129863
LDA100_abstract_weight__99_sulcus_intraparietal_ips,-0.040497183919504263
LDA100_abstract_weight__85_visual_cortex_early,-0.042192572471050065
LDA100_abstract_weight__52_white_matter_structural,-0.04569835537846493
LDA100_abstract_weight__2_model_approach_method,-0.047424604570033495
LDA100_abstract_weight__90_reho_resting_state,-0.04802007756827127
LDA100_abstract_weight__97_visual_motion_auditory,-0.049028929362579014
LDA100_abstract_weight__78_frequency_hz_power,-0.05138607689281195
LDA100_abstract_weight__7_ms_source_meg,-0.05949543424921506
LDA100_abstract_weight__77_maps_images_standard,-0.06189005468149507
LDA100_abstract_weight__68_motor_movement_cortex,-0.0656461736880296
LDA100_abstract_weight__60_matter_volume_gray,-0.06716106185738344
