Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA100_abstract_weight__21_reading_words_word,2.5867232130059044e-11,-6.668363018472853,0.160698632110397,2.370727412520699e-30,11.449292415064535,0.6810001816953194
LDA100_abstract_weight__23_semantic_words_word,0.0009018229971281833,-3.31948917923813,0.13669061111841757,1.6122940539043048e-15,7.968025650009238,0.621498267959531
LDA100_abstract_weight__45_memory_working_wm,0.9826268451385451,-0.021775741422655433,0.13014608068847353,4.3897489548729653e-13,7.242966646382025,0.6039568742410677
LDA100_abstract_weight__12_language_comprehension_sentences,5.241378864443341e-10,-6.211701902471603,0.13188882540924632,1.9471316561917345e-09,6.002157098349387,0.5995676803663545
LDA100_abstract_weight__14_conflict_interference_control,4.468551998615475e-20,-9.176131820817014,0.1323807248941452,8.614290049288171e-08,5.353764626931692,0.5970491606726412
LDA100_abstract_weight__65_task_switching_rule,6.119622572052853e-34,-12.144713968822794,0.13567692134520423,1.2885784247162838e-07,5.280463003864381,0.6047340795788178
LDA100_abstract_weight__76_memory_recognition_items,2.6268284244993743e-31,-11.63847088128805,0.13198028546182217,2.5434118863321354e-06,4.704618432135138,0.5926707812609817
LDA100_abstract_weight__55_representations_representation_abstract,0.8876512760056587,-0.14127680087181066,0.12207974486036739,3.0966172251565637e-06,4.664305059285132,0.5679630041692041
LDA100_abstract_weight__28_phase_problem_problems,8.372329463344004e-80,-18.91630430762747,0.13580402725042556,3.857049991898595e-05,4.115879972408943,0.6000857218665596
LDA100_abstract_weight__32_object_objects_visual,0.8749475291657755,0.15737726615222275,0.11985706191921644,8.695435620744514e-05,3.924377322540371,0.5570130168505806
LDA100_abstract_weight__49_attention_attentional_task,4.506772946715597e-15,7.839963532631816,0.11671525584456299,0.00011578658688840551,3.854879623318571,0.5500206783704246
LDA100_abstract_weight__94_network_control_frontoparietal,3.013726051056202e-05,-4.1724266718455345,0.121571728408777,0.0001828448169479407,3.7416104075768084,0.5597428863178066
LDA100_abstract_weight__36_task_difficulty_demands,2.5740260065218594e-198,30.04452697464632,0.11092366087398012,0.000765727433489435,3.3648951788112678,0.5397230057560817
LDA100_abstract_weight__99_sulcus_intraparietal_ips,6.096641049180874e-22,-9.627893528589784,0.1236745416759634,0.0007960772209114733,3.354155117901679,0.5628497347313567
LDA100_abstract_weight__15_mirror_observation_imitation,5.4928957762467865e-67,-17.291064009036166,0.12725260085660134,0.003277492381935629,2.940437383241296,0.5712042361437739
LDA100_abstract_weight__18_number_numerical_numbers,1.4578146819280725e-99,-21.18008103275338,0.1287277193784278,0.00468328704995464,2.8280474082305767,0.5751692000443803
LDA100_abstract_weight__87_dorsal_ventral_stream,5.1629960188213245e-19,-8.908709581754819,0.12080838968830243,0.00549353104671703,2.776572921232998,0.5510394460591522
LDA100_abstract_weight__95_adults_age_older,7.152868464768572e-25,-10.298553587698585,0.12095695854866106,0.008835706834970675,2.6183463681563786,0.5504929787869733
LDA100_abstract_weight__43_prefrontal_cortex_pfc,7.478949239659675e-285,36.06695782633135,0.10984395794480034,0.00918747782057188,2.604998067280942,0.5313881398133325
LDA100_abstract_weight__56_response_stimulus_trials,9.734430800215747e-211,30.980948419629705,0.11063100450753237,0.012133237277424028,2.5082453930267503,0.5297036197150108
LDA100_abstract_weight__4_term_long_repetition,1.2565881303596567e-10,-6.432334511071101,0.11818510242000124,0.016750341263078984,2.3921424181201023,0.5408154361900942
LDA100_abstract_weight__42_context_influence_modulation,0.0,inf,0.1091112920881405,0.021629407658999945,2.296813560432339,0.5286897564729862
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.00034667489500597514,-3.577666870347579,0.1161064171353098,0.04143969923155411,2.0391034974604283,0.5322735354266125
LDA100_abstract_weight__31_speech_auditory_production,5.1132269799606855e-42,-13.58210949310951,0.11945548113671624,0.057221946325070834,1.9016116303729398,0.541622639204089
LDA100_abstract_weight__68_motor_movement_cortex,3.608207747861728e-150,26.10039648464699,0.11113779366342126,0.06671068390770575,1.833618232105941,0.5216428342054062
LDA100_abstract_weight__9_imagery_mental_events,1.7690950370207902e-39,-13.147064803835022,0.11829518420362187,0.08954419623123934,1.697806989848114,0.5366596484538906
LDA100_abstract_weight__29_integration_human_order,0.0,inf,0.10918015019208366,0.09845983699032576,1.6523666148222054,0.5212385649820358
LDA100_abstract_weight__79_spatial_cues_cue,7.222465680966492e-31,-11.551878105525576,0.11676000779071004,0.1365592347345231,1.488727141870497,0.5303254935763247
LDA100_abstract_weight__96_patterns_cortex_common,0.0,inf,0.09631171495389305,0.17105245909876976,1.3688298778755559,0.5777267959686954
LDA100_abstract_weight__57_face_faces_fusiform,2.085939782939906e-32,-11.852608855479184,0.11622420038150215,0.1808467458717725,1.3381524501286028,0.5276074562414519
LDA100_abstract_weight__25_feedback_error_learning,9.6215068525626e-16,-8.031593037874037,0.11500441504950955,0.1949694793497951,1.2960174317483801,0.5233293448714589
LDA100_abstract_weight__1_gyrus_frontal_middle,0.0,inf,0.10440690901638305,0.25354647108438294,1.1417776106885809,0.5340088594793656
LDA100_abstract_weight__48_learning_training_sequence,3.3431320582200213e-15,-7.877381418134884,0.11390736840121196,0.3291496034217483,0.9758282084589228,0.5174971497219221
LDA100_abstract_weight__64_ms_spatial_virtual,1.9154701349314552e-72,-18.000938071929216,0.11604738641864361,0.3412612231954706,0.9516762000087843,0.5248417690426469
LDA100_abstract_weight__11_task_cognitive_performance,0.0,inf,0.10536436387985817,0.3499436360155078,0.934698624415403,0.5284982004339316
