feature,r
LDA100_abstract_weight__21_reading_words_word,0.13914496864677336
LDA100_abstract_weight__45_memory_working_wm,0.10974765517013559
LDA100_abstract_weight__23_semantic_words_word,0.10264489834447588
LDA100_abstract_weight__12_language_comprehension_sentences,0.09098355106952372
LDA100_abstract_weight__65_task_switching_rule,0.08400337242524517
LDA100_abstract_weight__36_task_difficulty_demands,0.07936963328228855
LDA100_abstract_weight__14_conflict_interference_control,0.07324103675593338
LDA100_abstract_weight__73_parietal_frontal_inferior,0.07107186736476394
LDA100_abstract_weight__11_task_cognitive_performance,0.057306613283309694
LDA100_abstract_weight__95_adults_age_older,0.05572092219862093
LDA100_abstract_weight__94_network_control_frontoparietal,0.04953599997846069
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.04349116641024753
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.0431906730414227
LDA100_abstract_weight__55_representations_representation_abstract,0.04285878391422827
LDA100_abstract_weight__4_term_long_repetition,0.03962587101835213
LDA100_abstract_weight__87_dorsal_ventral_stream,0.038596768252898414
LDA100_abstract_weight__18_number_numerical_numbers,0.03847703920221061
LDA100_abstract_weight__28_phase_problem_problems,0.03756936730572001
LDA100_abstract_weight__49_attention_attentional_task,0.036429932114505875
LDA100_abstract_weight__15_mirror_observation_imitation,0.03632484493694941
LDA100_abstract_weight__1_gyrus_frontal_middle,0.032803412317037914
LDA100_abstract_weight__56_response_stimulus_trials,0.03260096833343692
LDA100_abstract_weight__32_object_objects_visual,0.031083166881589037
LDA100_abstract_weight__76_memory_recognition_items,0.0310211379422007
LDA100_abstract_weight__39_mechanisms_provide_network,0.028972505730826457
LDA100_abstract_weight__34_hemisphere_hemispheric_lateralization,0.023974053270901324
LDA100_abstract_weight__31_speech_auditory_production,0.023815076025996813
LDA100_abstract_weight__16_deaf_hearing_sign,0.021515435860544243
LDA100_abstract_weight__48_learning_training_sequence,0.01974427521760076
LDA100_abstract_weight__13_action_actions_smokers,0.01968703368286834
LDA100_abstract_weight__19_judgments_judgment_ppc,0.018543166414366947
LDA100_abstract_weight__99_sulcus_intraparietal_ips,0.015432293228398727
LDA100_abstract_weight__9_imagery_mental_events,0.015238817741343624
LDA100_abstract_weight__96_patterns_cortex_common,0.011814388936582475
LDA100_abstract_weight__24_music_musical_musicians,0.008554853424794307
LDA100_abstract_weight__29_integration_human_order,0.006975786293547133
LDA100_abstract_weight__41_memory_retrieval_episodic,0.006385841285269004
LDA100_abstract_weight__42_context_influence_modulation,0.006086129903906904
LDA100_abstract_weight__79_spatial_cues_cue,0.006017505797414866
LDA100_abstract_weight__93_time_reaction_times,0.004814210525397724
LDA100_abstract_weight__50_perceptual_perception_interaction,0.00270537308745441
LDA100_abstract_weight__44_target_detection_targets,0.0017552948636408838
LDA100_abstract_weight__53_decision_making_risk,0.000537760414329724
LDA100_abstract_weight__71_reasoning_mind_mental,-0.002678717294824126
LDA100_abstract_weight__64_ms_spatial_virtual,-0.003229831270369858
LDA100_abstract_weight__37_temporal_superior_posterior,-0.005792573416068952
LDA100_abstract_weight__89_inhibition_response_control,-0.006044367328689999
LDA100_abstract_weight__38_stroke_lesion_lesions,-0.006593273735008261
LDA100_abstract_weight__84_children_adolescents_age,-0.006731584829068093
LDA100_abstract_weight__27_epilepsy_lobe_temporal,-0.007802987107085763
LDA100_abstract_weight__35_regulation_emotion_reappraisal,-0.007934669715825361
LDA100_abstract_weight__97_visual_motion_auditory,-0.009424526438859939
LDA100_abstract_weight__25_feedback_error_learning,-0.00997022473201382
LDA100_abstract_weight__22_sd_taste_reliability,-0.010120737347722144
LDA100_abstract_weight__68_motor_movement_cortex,-0.011995159817065002
LDA100_abstract_weight__62_scenes_scene_ppa,-0.01375519920382784
LDA100_abstract_weight__6_eye_gaze_saccade,-0.014691987585598469
LDA100_abstract_weight__59_cerebellar_cerebellum_timing,-0.01579810768831194
LDA100_abstract_weight__81_auditory_sounds_sound,-0.016147610370150823
LDA100_abstract_weight__17_human_humans_animal,-0.01691096255584105
LDA100_abstract_weight__51_light_mechanisms_underlying,-0.01783984738272629
LDA100_abstract_weight__86_women_men_sex,-0.018198383826141414
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,-0.01971096538438864
LDA100_abstract_weight__70_pattern_patterns_classification,-0.02220586883014132
LDA100_abstract_weight__3_individual_variability_level,-0.022212147703403903
LDA100_abstract_weight__74_placebo_ocd_dopamine,-0.022729787274623593
LDA100_abstract_weight__20_pd_basal_ganglia,-0.022793756237474427
LDA100_abstract_weight__57_face_faces_fusiform,-0.024818270296156793
LDA100_abstract_weight__92_social_empathy_moral,-0.025830335082783335
LDA100_abstract_weight__47_magnetic_resonance_high,-0.025897132310216762
LDA100_abstract_weight__63_insula_anterior_autonomic,-0.026227390541027278
LDA100_abstract_weight__30_emotional_negative_positive,-0.02862149235561893
LDA100_abstract_weight__46_stimulation_tms_acupuncture,-0.028717944383263277
LDA100_abstract_weight__80_pictures_images_aversive,-0.028929922457060612
LDA100_abstract_weight__98_treatment_baseline_therapy,-0.031075186201559427
LDA100_abstract_weight__52_white_matter_structural,-0.03117459582342877
LDA100_abstract_weight__85_visual_cortex_early,-0.0312649808491461
LDA100_abstract_weight__0_group_control_age,-0.03138477772433277
LDA100_abstract_weight__54_adhd_food_weight,-0.03200611280606915
LDA100_abstract_weight__8_sleep_body_bodies,-0.03204405189611767
LDA100_abstract_weight__66_allele_genetic_gene,-0.0321239105422506
LDA100_abstract_weight__40_ad_disease_mci,-0.03568539601257441
LDA100_abstract_weight__83_cortex_anterior_cingulate,-0.0357562986505272
LDA100_abstract_weight__33_reward_striatum_ventral,-0.03708378578582091
LDA100_abstract_weight__88_cbf_cerebral_perfusion,-0.037690658015541216
LDA100_abstract_weight__75_stress_alcohol_users,-0.038760141652202575
LDA100_abstract_weight__58_personality_trait_traits,-0.0404718121272496
LDA100_abstract_weight__82_somatosensory_stimulation_tactile,-0.04207042446523834
LDA100_abstract_weight__61_caudate_ofc_thalamus,-0.043953487963988486
LDA100_abstract_weight__91_amygdala_emotional_faces,-0.04557274946089765
LDA100_abstract_weight__2_model_approach_method,-0.04781998054738091
LDA100_abstract_weight__7_ms_source_meg,-0.04817863681175172
LDA100_abstract_weight__77_maps_images_standard,-0.04839253461190694
LDA100_abstract_weight__69_pain_painful_stimulation,-0.048863761271439106
LDA100_abstract_weight__78_frequency_hz_power,-0.0494883864619288
LDA100_abstract_weight__67_network_state_resting,-0.05102901440441838
LDA100_abstract_weight__90_reho_resting_state,-0.052030955907209187
LDA100_abstract_weight__26_fear_anxiety_ptsd,-0.05257023725017668
LDA100_abstract_weight__5_depression_mdd_disorder,-0.06227488249657438
LDA100_abstract_weight__60_matter_volume_gray,-0.07276280081759312
