Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__8_mpfc_social_medial,4.697986444313074e-10,-6.228874260585639,1.5104122773185025,2.83710087213138e-11,6.65478727814491,0.01676015043083901
LDA50_abstract_weight__0_network_state_resting,3.014869561779321e-07,5.122515092333788,1.2533403770174985,3.2787179203134132e-09,5.916997441304166,0.03465968083430246
LDA50_abstract_weight__37_language_reading_word,0.0003820825577915965,3.5521599263154604,1.2038799281126071,2.205068917027944e-07,5.18116282923879,0.021151906538050526
LDA50_abstract_weight__28_social_empathy_moral,1.590590887889931e-06,-4.799503962994172,1.4158051463148598,2.9579090181356203e-07,5.126109318468311,0.01305081880779218
LDA50_abstract_weight__33_memory_retrieval_encoding,0.00016284075802408537,3.7706226316738105,1.1923265740612174,2.9049334542702102e-06,4.677429537337005,0.028137533360171618
LDA50_abstract_weight__38_semantic_category_representations,0.005949157708990738,2.750570562876105,1.150779753329744,0.000791691202548996,3.3556834831033946,0.02087910581917328
LDA50_abstract_weight__41_imagery_mental_events,0.006472788252075645,-2.7228170966455045,1.2148002342286162,0.0009477512259665852,3.305594547153304,0.010446424561202764
LDA50_abstract_weight__18_number_ips_numerical,0.010220270374330154,-2.5682863093858987,1.2612355758925535,0.007178090591527235,2.688467113200549,0.006497510740915387
LDA50_abstract_weight__30_decision_making_risk,0.003024126302018204,-2.965274835070912,1.2404170032858595,0.007235639168415062,2.685799972566264,0.011217835706740563
LDA50_abstract_weight__49_depression_mdd_state,0.36744961518358155,-0.9012609046974193,1.0268164740722991,0.010944633406049972,2.5444616344029622,0.009026245173627613
LDA50_abstract_weight__35_schizophrenia_risk_genetic,0.35294819220485407,-0.92888595544728,1.030452419954401,0.01644899273547302,2.398797850395005,0.00909297939662137
LDA50_abstract_weight__21_matter_volume_structural,0.32365688035022433,-0.9869709493906211,1.0297312729841983,0.019499144314880583,2.3358483952461664,0.015289143234574818
LDA50_abstract_weight__24_age_adults_older,0.017561555914347493,2.374734944297733,1.1159060371378529,0.08141078174846203,1.742558401098947,0.024972204701557126
LDA50_abstract_weight__9_memory_working_wm,0.11991041424992221,-1.5551497267284105,1.0784930256417293,0.08479534575678653,1.7235154938348516,0.014599862013935453
LDA50_abstract_weight__4_stimulus_time_repetition,0.06403828491535579,1.851913222483467,1.084940784465179,0.16397183827760448,1.3918367510937022,0.022631752682123
LDA50_abstract_weight__47_attention_attentional_target,0.08489767554709038,1.7229494015023217,1.0602799970807688,0.165062922167745,1.3882434611696466,0.03551057086148679
LDA50_abstract_weight__1_anxiety_trait_personality,0.30488225122975,-1.0260197999305636,1.0455989693945966,0.17083427790637207,1.3695280339756848,0.007732968111754987
LDA50_abstract_weight__3_cortex_anterior_cingulate,0.37127139277496,0.8940943860092101,1.0121262965169455,0.4150001530588322,0.8151260652788482,0.04240216218493284
LDA50_abstract_weight__26_emotional_amygdala_negative,0.3759696193888953,0.8853467936600522,1.0120160664051658,0.6342576982700407,0.4757426972553101,0.03911342779797333
LDA50_abstract_weight__22_method_group_approach,0.34019913062461604,0.9537718714504003,1.0116218008956162,0.6542203811144303,0.44790691014772427,0.0759604092442132
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.34783503885477884,0.9387968844003327,1.0128223682745405,0.8371023982356318,0.20560125357505554,0.05549281160816573
LDA50_abstract_weight__14_disease_ad_pd,0.3012964552371963,-1.0336571855606909,1.0426020998511263,0.8437467391099747,0.19710325137601722,0.008508271261734368
LDA50_abstract_weight__20_control_conflict_task,0.38489503008089754,-0.8689124303102252,1.017319100021942,0.887176716726591,0.1418775635368441,0.013800341129408084
LDA50_abstract_weight__31_model_models_prediction,0.3836248542908871,-0.8712368296249975,1.0182633171197777,0.9472921371918063,0.06610762885530863,0.01248452180408507
LDA50_abstract_weight__6_auditory_speech_temporal,0.5342549787319482,-0.6215238932054846,0.9897837186949913,0.9151977035045588,-0.10648481408711881,0.011227977245920003
LDA50_abstract_weight__11_learning_training_practice,0.6894291752688223,-0.39962983923910345,0.9629414913966549,0.8300300800804201,-0.2146629893613478,0.012867721605881562
LDA50_abstract_weight__19_action_actions_observation,0.7796663817871284,-0.27975382261063286,0.9367155896428949,0.7054318180172081,-0.37799835228219936,0.009224635493218223
LDA50_abstract_weight__23_asd_autism_group,0.5788015492542817,-0.5551361334981586,0.9681127212310251,0.6394225442953878,-0.4685063314652736,0.004323164382217716
LDA50_abstract_weight__12_women_men_sex,0.6085639608083286,-0.5121243827616437,0.9577626809060068,0.4389527833509421,-0.7739628115589202,0.004573207646975213
LDA50_abstract_weight__7_reward_feedback_striatum,0.6065369853328089,-0.5150229464469168,0.9753811227553971,0.23072743072651408,-1.198487129145003,0.011410193278730607
LDA50_abstract_weight__42_visual_cortex_sensory,0.7539693791761048,0.3134097480208256,0.9654945121792972,0.2205537487477426,-1.2250569900817196,0.027334953584759916
LDA50_abstract_weight__34_frequency_hz_ms,0.6005625453122796,-0.5235917148478509,0.9755970072310607,0.13725155748300458,-1.4861042153864477,0.010907925407533662
LDA50_abstract_weight__13_fear_threat_smokers,0.8819854548454259,-0.14845277266248447,0.8677545510850809,0.07450534829987479,-1.7834975386169534,0.005134142988879554
LDA50_abstract_weight__44_eye_sleep_gaze,0.9729487369772465,-0.03391022817327445,0.7892435936598893,0.06735736805168621,-1.8292820380500725,0.004185796187433723
LDA50_abstract_weight__16_response_inhibition_control,0.9618004586423697,-0.04789432945924761,0.8575565456460958,0.0547430058013492,-1.9209103889033194,0.00870070851309692
LDA50_abstract_weight__45_motion_perception_visual,0.9250613569271551,-0.09406017360800574,0.8602932500056966,0.052059685775248866,-1.9426398725595362,0.006396365769821385
LDA50_abstract_weight__29_stress_ptsd_trauma,0.6068125315883595,-0.5146286631521074,0.95544279384776,0.0416440884644335,-2.0370594135685574,0.004771698280554313
LDA50_abstract_weight__17_motor_cortex_hand,0.9998840538259368,-0.00014531697963247875,0.8127177290294142,0.040144141935881054,-2.0522626688432313,0.01748342412942055
LDA50_abstract_weight__25_spatial_body_human,0.9918426860515815,-0.010223855003122916,0.8548913573421523,0.028172426226780924,-2.19487694243466,0.014515411743494471
LDA50_abstract_weight__40_face_faces_facial,0.9783869261175862,-0.027091284568723548,0.8454429915129603,0.026271242995367056,-2.2221785273604406,0.009367115481779457
LDA50_abstract_weight__10_food_taste_weight,0.9658664467945364,-0.04279312202902647,0.7239860349756382,0.008609073027386982,-2.6271999484051096,0.002329064618228729
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,0.9999392191144225,-7.617754324649152e-05,0.7515479031493729,0.007843157417278037,-2.6587481239107227,0.00986113095406654
LDA50_abstract_weight__27_disorder_adhd_group,0.8345043465182123,-0.20892812697700708,0.9168679404779765,0.00751309401874869,-2.673202244023512,0.009977990281876004
LDA50_abstract_weight__39_stimulation_tms_bpd,0.9792616436061172,-0.025994602465783712,0.7647432488391931,0.0038272576423909873,-2.8920592484174126,0.004047255250115679
