feature,r
LDA200_abstract_weight__145_mind_mental_social,0.144165349670309
LDA200_abstract_weight__194_network_default_dmn,0.1119855393530966
LDA200_abstract_weight__88_network_frontoparietal_identified,0.08431902590217456
LDA200_abstract_weight__28_memory_retrieval_episodic,0.0784804828645424
LDA200_abstract_weight__30_events_future_personal,0.07341759927138009
LDA200_abstract_weight__93_language_sentences_comprehension,0.06410595901775151
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.05214725255170219
LDA200_abstract_weight__100_gestures_abstract_race,0.05047770745406801
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.04985961028539457
LDA200_abstract_weight__123_junction_tpj_temporoparietal,0.04984066708907562
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.04301926495598615
LDA200_abstract_weight__2_problem_problems_arithmetic,0.03886335702862536
LDA200_abstract_weight__45_gyrus_frontal_inferior,0.03857004810565073
LDA200_abstract_weight__135_basal_ganglia_moral,0.038432348088220804
LDA200_abstract_weight__162_words_word_lexical,0.03752376025760373
LDA200_abstract_weight__9_semantic_word_knowledge,0.035106234383891696
LDA200_abstract_weight__141_systems_predicted_models,0.03451006722037792
LDA200_abstract_weight__65_recognition_correct_familiarity,0.03422375541574462
LDA200_abstract_weight__151_common_overlap_overlapping,0.03373351526794913
LDA200_abstract_weight__38_adults_age_older,0.03156071356827215
LDA200_abstract_weight__25_state_resting_fc,0.030689946998286387
LDA200_abstract_weight__116_task_matching_strategy,0.028518698937764566
LDA200_abstract_weight__111_memory_encoding_hippocampal,0.028363480868532524
LDA200_abstract_weight__17_frontal_temporal_parietal,0.026919131638194326
LDA200_abstract_weight__154_social_interactions_interaction,0.02687878229097176
LDA200_abstract_weight__72_items_pairs_item,0.02598383592747581
LDA200_abstract_weight__48_parietal_inferior_lobule,0.024814146340399013
LDA200_abstract_weight__14_bpd_sn_ifc,0.023585237812875887
LDA200_abstract_weight__163_language_chinese_english,0.02329105694896614
LDA200_abstract_weight__193_mirror_video_imitation,0.022778368230974736
LDA200_abstract_weight__174_type_joint_sa,0.021599204357578793
LDA200_abstract_weight__73_ifg_gyrus_frontal,0.021268776282956016
LDA200_abstract_weight__172_verbal_fluency_overt,0.020328163501859415
LDA200_abstract_weight__95_verbs_verb_nouns,0.020234829315070937
LDA200_abstract_weight__113_network_global_local,0.01968293256254509
LDA200_abstract_weight__85_human_organization_subregions,0.01928332470950633
LDA200_abstract_weight__155_temporal_sulcus_superior,0.018818079167116718
LDA200_abstract_weight__35_automatic_situations_situation,0.01782384008148646
LDA200_abstract_weight__181_creative_creativity_generation,0.015836701555663506
LDA200_abstract_weight__75_asd_autism_group,0.015797593720751138
LDA200_abstract_weight__171_cortex_prefrontal_medial,0.01577066357153717
LDA200_abstract_weight__59_individual_variability_subject,0.013418560736982244
LDA200_abstract_weight__186_decision_making_choice,0.013044128912391161
LDA200_abstract_weight__42_negative_positive_vmpfc,0.012971493903335027
LDA200_abstract_weight__132_mtl_temporal_medial,0.012816789119560107
LDA200_abstract_weight__47_parietal_network_fronto,0.012796458421030195
LDA200_abstract_weight__144_integration_process_task,0.012519057234128321
LDA200_abstract_weight__84_research_previous_important,0.011313948029887881
LDA200_abstract_weight__81_pattern_patterns_representations,0.011045670258070635
LDA200_abstract_weight__16_ad_disease_mci,0.01072000955574437
LDA200_abstract_weight__142_scene_scenes_perspective,0.010247855516762898
LDA200_abstract_weight__121_tool_tools_knowledge,0.009737529053900454
LDA200_abstract_weight__143_action_actions_observation,0.009623860844844095
LDA200_abstract_weight__92_executive_control_functions,0.00919279314383708
LDA200_abstract_weight__189_category_categories_categorization,0.009135793244994353
LDA200_abstract_weight__140_epilepsy_temporal_lobe,0.008480792279800663
LDA200_abstract_weight__66_emotional_negative_amygdala,0.008108197183856398
LDA200_abstract_weight__161_women_men_sex,0.0071684831460403
LDA200_abstract_weight__112_context_empathy_contextual,0.007020946192038997
LDA200_abstract_weight__60_mechanisms_underlying_evaluation,0.006829136515302972
LDA200_abstract_weight__89_pfc_prefrontal_cortex,0.006743652904559163
LDA200_abstract_weight__32_children_age_adults,0.006272855790531672
