feature,r
LDA400_abstract_weight__173_network_default_dmn,0.14973572107459393
LDA400_abstract_weight__366_mental_mentalizing_states,0.09649243254385581
LDA400_abstract_weight__272_retrieval_memory_episodic,0.09030192756600683
LDA400_abstract_weight__94_events_future_past,0.08921290000127612
LDA400_abstract_weight__280_pcc_cingulate_precuneus,0.08772980405285014
LDA400_abstract_weight__108_tom_mind_theory,0.07937964293415109
LDA400_abstract_weight__70_mpfc_medial_prefrontal,0.06694681515767516
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.057361020354814024
LDA400_abstract_weight__285_junction_tpj_temporoparietal,0.05603379439646615
LDA400_abstract_weight__33_network_identified_core,0.05359721421322098
LDA400_abstract_weight__236_social_cognition_interactions,0.052691778608650104
LDA400_abstract_weight__67_cortex_lateral_prefrontal,0.04497572251221022
LDA400_abstract_weight__329_items_recognition_item,0.04459547077322994
LDA400_abstract_weight__314_people_person_situation,0.043369296581490746
LDA400_abstract_weight__198_ad_mci_disease,0.0432671086377723
LDA400_abstract_weight__310_common_suggest_overlap,0.04107831510091656
LDA400_abstract_weight__358_autobiographical_memories_memory,0.041077422503958946
LDA400_abstract_weight__167_state_resting_seed,0.03825687727455847
LDA400_abstract_weight__183_moral_psychopathy_harm,0.03818921137777876
LDA400_abstract_weight__5_judgments_judgment_judged,0.037012185353570634
LDA400_abstract_weight__394_identified_independent_multiple,0.036062061621312286
LDA400_abstract_weight__298_asd_autism_spectrum,0.035305168187941625
LDA400_abstract_weight__12_structures_pattern_contrast,0.03495532311771488
LDA400_abstract_weight__238_adults_older_age,0.03428326618797124
LDA400_abstract_weight__322_task_difficulty_demands,0.033319367212157266
LDA400_abstract_weight__330_salience_network_sn,0.03291309777415943
LDA400_abstract_weight__62_familiar_unfamiliar_familiarity,0.03206006010183269
LDA400_abstract_weight__260_social_partner_interaction,0.031436527357196875
LDA400_abstract_weight__254_empathy_social_empathic,0.030268373098385933
LDA400_abstract_weight__63_negative_positive_valence,0.029535223599054642
LDA400_abstract_weight__228_independent_model_approach,0.028251276646666292
LDA400_abstract_weight__229_mtl_recollection_memory,0.027705038864887333
LDA400_abstract_weight__97_evaluation_evaluations_esteem,0.026704540689994647
LDA400_abstract_weight__72_cognitive_control_cognition,0.02547352596475612
LDA400_abstract_weight__226_physical_itch_sc,0.02541799093821382
LDA400_abstract_weight__199_versus_implicated_correlates,0.023674986772932508
LDA400_abstract_weight__220_question_unique_questions,0.023484592068005534
LDA400_abstract_weight__205_task_performance_rest,0.023404806251350593
LDA400_abstract_weight__383_abstract_concrete_concepts,0.021944003555904576
LDA400_abstract_weight__34_monitoring_source_reality,0.021901001619509457
LDA400_abstract_weight__154_parietal_network_fronto,0.021828464157803075
LDA400_abstract_weight__43_task_recruitment_recruited,0.021531772014827116
LDA400_abstract_weight__145_gyrus_temporal_frontal,0.021312984184602302
LDA400_abstract_weight__315_status_engaged_thought,0.02115925880608959
LDA400_abstract_weight__82_comprehension_sentences_language,0.020389036997671642
LDA400_abstract_weight__41_frontoparietal_subregions_network,0.020149041389521814
LDA400_abstract_weight__287_navigation_virtual_gait,0.020076950627717884
LDA400_abstract_weight__364_network_graph_local,0.020074234574733577
LDA400_abstract_weight__19_mechanisms_underlying_unknown,0.01958139517608495
