feature,r
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.12498623778764019
LDA200_abstract_weight__171_cortex_prefrontal_medial,0.10254630890799668
LDA200_abstract_weight__145_mind_mental_social,0.09791283694634298
LDA200_abstract_weight__33_anterior_cingulate_insula,0.09558440487539636
LDA200_abstract_weight__194_network_default_dmn,0.0741775377872868
LDA200_abstract_weight__186_decision_making_choice,0.06546993354696469
LDA200_abstract_weight__66_emotional_negative_amygdala,0.05670305732408897
LDA200_abstract_weight__154_social_interactions_interaction,0.05037675876002455
LDA200_abstract_weight__30_events_future_personal,0.048463486548266356
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.0480493685351169
LDA200_abstract_weight__83_posterior_anterior_cortex,0.043114867210942744
LDA200_abstract_weight__88_network_frontoparietal_identified,0.04089663903998029
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.04049273858379392
LDA200_abstract_weight__159_inhibition_response_inhibitory,0.03903451413973914
LDA200_abstract_weight__28_memory_retrieval_episodic,0.03768952937419497
LDA200_abstract_weight__127_task_performance_cognitive,0.037096581977358795
LDA200_abstract_weight__43_conflict_interference_incongruent,0.03704307719683291
LDA200_abstract_weight__38_adults_age_older,0.03662854339725821
LDA200_abstract_weight__42_negative_positive_vmpfc,0.036181991137890425
LDA200_abstract_weight__146_pain_painful_chronic,0.03398056892617558
LDA200_abstract_weight__130_risk_high_taking,0.033175704340925594
LDA200_abstract_weight__89_pfc_prefrontal_cortex,0.033043794520908505
LDA200_abstract_weight__135_basal_ganglia_moral,0.032334592428093833
LDA200_abstract_weight__47_parietal_network_fronto,0.030024102623405387
LDA200_abstract_weight__74_feedback_negative_performance,0.029304110583213624
LDA200_abstract_weight__14_bpd_sn_ifc,0.028203599140026785
LDA200_abstract_weight__141_systems_predicted_models,0.02705309435998663
LDA200_abstract_weight__179_memory_working_task,0.027031190121317227
LDA200_abstract_weight__60_mechanisms_underlying_evaluation,0.025429977742978595
LDA200_abstract_weight__197_reward_striatum_anticipation,0.02429988410463256
LDA200_abstract_weight__3_task_switching_set,0.023190295329510835
LDA200_abstract_weight__52_control_cognitive_task,0.022425090580123007
LDA200_abstract_weight__75_asd_autism_group,0.022272656025376026
LDA200_abstract_weight__151_common_overlap_overlapping,0.021791553158303827
LDA200_abstract_weight__166_pictures_picture_images,0.02166274028250981
LDA200_abstract_weight__92_executive_control_functions,0.020166003631353645
LDA200_abstract_weight__13_fear_conditioning_extinction,0.02012763988491865
LDA200_abstract_weight__182_experience_subjective_ratings,0.019818695196232902
LDA200_abstract_weight__128_prediction_error_outcome,0.018116546351813343
LDA200_abstract_weight__65_recognition_correct_familiarity,0.017730456256568498
LDA200_abstract_weight__20_wm_load_memory,0.01741767439839826
LDA200_abstract_weight__17_frontal_temporal_parietal,0.017410153494527316
LDA200_abstract_weight__58_autonomic_arousal_rate,0.017166743586245387
LDA200_abstract_weight__119_dlpfc_prefrontal_cortex,0.016978010228529062
LDA200_abstract_weight__61_individuals_people_group,0.016727345269298186
LDA200_abstract_weight__153_phase_women_menstrual,0.015945844238898253
LDA200_abstract_weight__174_type_joint_sa,0.015425942751705566
LDA200_abstract_weight__192_stimulus_trials_trial,0.015143525202645107
LDA200_abstract_weight__112_context_empathy_contextual,0.014621190699978005
