feature,r
LDA400_abstract_weight__172_anterior_insula_cortex,0.09787117376444258
LDA400_abstract_weight__254_empathy_social_empathic,0.05635486036961049
LDA400_abstract_weight__131_inhibition_response_stop,0.05533236699346788
LDA400_abstract_weight__273_threat_fear_anxiety,0.05326663074893379
LDA400_abstract_weight__144_decision_making_choice,0.05189529786673524
LDA400_abstract_weight__272_retrieval_memory_episodic,0.04667352246745054
LDA400_abstract_weight__120_verbal_fluency_task,0.04257159098779557
LDA400_abstract_weight__111_pictures_neutral_picture,0.042029170994226275
LDA400_abstract_weight__189_risk_risky_taking,0.04158054101501635
LDA400_abstract_weight__335_regulation_emotion_reappraisal,0.040768262952026076
LDA400_abstract_weight__21_strategies_strategy_strategic,0.04075834785902903
LDA400_abstract_weight__299_memory_working_verbal,0.04047672114061061
LDA400_abstract_weight__330_salience_network_sn,0.04037782473315757
LDA400_abstract_weight__130_frontal_inferior_gyrus,0.04028046446317835
LDA400_abstract_weight__17_pain_painful_chronic,0.0396884024662936
LDA400_abstract_weight__244_game_social_trust,0.0391041728336792
LDA400_abstract_weight__310_common_suggest_overlap,0.03833332355947725
LDA400_abstract_weight__112_error_errors_monitoring,0.03725145843400849
LDA400_abstract_weight__211_model_models_theory,0.03710958882246174
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.036703340656929324
LDA400_abstract_weight__101_feedback_negative_performance,0.03640399803585462
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.036125020715563366
LDA400_abstract_weight__356_semantic_word_temporal,0.03521191692177115
LDA400_abstract_weight__56_cortex_prefrontal_orbitofrontal,0.03508806840500242
LDA400_abstract_weight__243_prefrontal_cortex_dorsolateral,0.034479363190996364
LDA400_abstract_weight__33_network_identified_core,0.033889794766353135
LDA400_abstract_weight__43_task_recruitment_recruited,0.03365312431535998
LDA400_abstract_weight__357_verbs_verb_nouns,0.03298151506181
LDA400_abstract_weight__259_sentences_sentence_syntactic,0.0327476706138378
LDA400_abstract_weight__32_fear_conditioning_extinction,0.03260165258524246
LDA400_abstract_weight__196_uncertainty_ambiguous_ambiguity,0.03230577434107038
