Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA100_abstract_weight__21_reading_words_word,3.219646771412954e-15,-7.8820843007491685,1.7569438390681495,2.370727412520699e-30,11.449292415064535,0.00613305444352775
LDA100_abstract_weight__23_semantic_words_word,1.7673314367527837e-08,-5.633358880100829,1.4205255668975947,1.6122940539043048e-15,7.968025650009238,0.007693705669377791
LDA100_abstract_weight__45_memory_working_wm,1.4884357080191535e-09,-6.045612365429636,1.4128795755444266,4.3897489548729653e-13,7.242966646382025,0.009888011542336572
LDA100_abstract_weight__12_language_comprehension_sentences,7.128502855335839e-06,-4.48981508835001,1.348861710087212,1.9471316561917345e-09,6.002157098349387,0.006545238574672794
LDA100_abstract_weight__14_conflict_interference_control,7.64785527018752e-07,-4.944145544326393,1.449928831619055,8.614290049288171e-08,5.353764626931692,0.005730935122307524
LDA100_abstract_weight__65_task_switching_rule,2.1163443914562485e-05,-4.252248914430944,1.4179805551142857,1.2885784247162838e-07,5.280463003864381,0.004372018085042535
LDA100_abstract_weight__76_memory_recognition_items,0.0006539342672544635,-3.408197995792945,1.3048843465057307,2.5434118863321354e-06,4.704618432135138,0.004333479056536042
LDA100_abstract_weight__55_representations_representation_abstract,5.158067367738717e-05,-4.048346826561487,1.2482790136885473,3.0966172251565637e-06,4.664305059285132,0.009842370524601967
LDA100_abstract_weight__28_phase_problem_problems,0.0007898437922260193,-3.3563295906332966,1.3935877262504401,3.857049991898595e-05,4.115879972408943,0.0027872468503598044
LDA100_abstract_weight__32_object_objects_visual,0.0019762487604060297,3.0937786431614938,1.1749444359231442,8.695435620744514e-05,3.924377322540371,0.009770840861374214
LDA100_abstract_weight__49_attention_attentional_task,0.0005712771902930402,3.444896926545489,1.1664114087521515,0.00011578658688840551,3.854879623318571,0.014159686265984668
LDA100_abstract_weight__94_network_control_frontoparietal,0.04385704137410107,-2.015454572024961,1.1115148363911125,0.0001828448169479407,3.7416104075768084,0.0070995346870094105
LDA100_abstract_weight__36_task_difficulty_demands,0.002036032673267796,3.084925322401858,1.1040711052223382,0.000765727433489435,3.3648951788112678,0.02670833289709145
LDA100_abstract_weight__99_sulcus_intraparietal_ips,0.004627273970131296,-2.8318970820854554,1.2199558292192165,0.0007960772209114733,3.354155117901679,0.005207211408937598
LDA100_abstract_weight__15_mirror_observation_imitation,0.0921489060957199,-1.684169550532674,1.137722937592442,0.003277492381935629,2.940437383241296,0.0026309309607498318
LDA100_abstract_weight__18_number_numerical_numbers,0.0029136675979668514,-2.9767023243168484,1.3669065845389783,0.00468328704995464,2.8280474082305767,0.0025389373690802228
LDA100_abstract_weight__87_dorsal_ventral_stream,0.04423548990962889,-2.011852480061258,1.1322278294502726,0.00549353104671703,2.776572921232998,0.0053133410646307375
LDA100_abstract_weight__95_adults_age_older,0.06537381019948774,-1.8426932494199595,1.1224377491972888,0.008835706834970675,2.6183463681563786,0.004722363314841386
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.009072654194275498,2.6093042309961976,1.07933708994008,0.00918747782057188,2.604998067280942,0.030170901630547538
LDA100_abstract_weight__56_response_stimulus_trials,0.0320891204250453,2.143298709144993,1.064517767096202,0.012133237277424028,2.5082453930267503,0.02683231852318471
LDA100_abstract_weight__4_term_long_repetition,0.0046853094756390545,-2.827909191964376,1.1933965672338813,0.016750341263078984,2.3921424181201023,0.006974153155919383
LDA100_abstract_weight__42_context_influence_modulation,0.03248069137819365,2.1384444096530544,1.0581395604132156,0.021629407658999945,2.296813560432339,0.032981024889945226
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.06459566283637264,-1.84804617800913,1.096235813641814,0.04143969923155411,2.0391034974604283,0.007980950057102707
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,0.26028230973036637,-1.1257241230403199,1.0528749799194828,0.043849892466871224,2.0155228678236545,0.00491235069819243
LDA100_abstract_weight__31_speech_auditory_production,0.1570596849388668,-1.4150300522298689,1.0894547100825345,0.057221946325070834,1.9016116303729398,0.0035736509648601478
LDA100_abstract_weight__68_motor_movement_cortex,0.27159851921626454,1.0993887878472437,1.0211323815647853,0.06671068390770575,1.833618232105941,0.02341556406460912
LDA100_abstract_weight__9_imagery_mental_events,0.4074177959581802,-0.8284462979328867,1.015572366969088,0.08954419623123934,1.697806989848114,0.003503728205646623
LDA100_abstract_weight__29_integration_human_order,0.07680513610338291,1.7695319960476938,1.0433278904212084,0.09845983699032576,1.6523666148222054,0.034613156560559084
LDA100_abstract_weight__79_spatial_cues_cue,0.24168992796844468,-1.170773262136131,1.0550760017434622,0.1365592347345231,1.488727141870497,0.004252656351849123
LDA100_abstract_weight__96_patterns_cortex_common,0.4306808040050205,0.7880271862501098,1.0039800778575405,0.17105245909876976,1.3688298778755559,0.04828091710798122
LDA100_abstract_weight__57_face_faces_fusiform,0.24797002382302635,-1.1552940692191598,1.0540092497101303,0.1808467458717725,1.3381524501286028,0.004173196153730051
LDA100_abstract_weight__25_feedback_error_learning,0.18694437324605861,-1.319672536343297,1.062610492398741,0.1949694793497951,1.2960174317483801,0.005845409489923261
LDA100_abstract_weight__1_gyrus_frontal_middle,0.3525309197816969,0.9296913395847242,1.009288192213218,0.25354647108438294,1.1417776106885809,0.04696309128031692
LDA100_abstract_weight__48_learning_training_sequence,0.4528057441482135,-0.7507456499070991,1.0050705398012227,0.3291496034217483,0.9758282084589228,0.005702940218446506
LDA100_abstract_weight__64_ms_spatial_virtual,0.362719287473549,-0.9101957455172477,1.0306382428084528,0.3412612231954706,0.9516762000087843,0.002470795377992305
LDA100_abstract_weight__11_task_cognitive_performance,0.3417328321378441,0.9507469821392328,1.0100351808626855,0.3499436360155078,0.934698624415403,0.0471487582890509
LDA100_abstract_weight__16_deaf_hearing_sign,0.25298813812838106,-1.1431215257455292,1.092511192799463,0.3516276118653855,0.9314368977465869,0.0011982687771679864
LDA100_abstract_weight__27_epilepsy_lobe_temporal,0.29461965767258524,-1.0480411295607366,1.0780278681191329,0.35638407866599786,0.9222770560453524,0.0012299716212304957
LDA100_abstract_weight__19_judgments_judgment_ppc,0.10514286433440156,-1.6204163765211255,1.1149045687403543,0.43035591970175846,0.7885827441565052,0.003971357732001004
LDA100_abstract_weight__3_individual_variability_level,0.26373492577136215,1.1176068877604006,1.0162650049480573,0.5882672141401968,0.5413487654635531,0.04505154330476933
LDA100_abstract_weight__84_children_adolescents_age,0.09607755522871764,-1.664174535963034,1.0842373498642741,0.6091751720966123,0.5112511987796836,0.008040865981226174
LDA100_abstract_weight__53_decision_making_risk,0.35827212717888735,-0.9186625055367493,1.0250823962935156,0.6221990907505351,0.49273606566925726,0.00510639863309398
LDA100_abstract_weight__0_group_control_age,0.41381111218226596,0.8172053035712483,1.005325857091852,0.670893302286923,0.42492232115909767,0.043760958538863116
LDA100_abstract_weight__50_perceptual_perception_interaction,0.12866349671007427,-1.5193934221107794,1.0745420945861823,0.6806084102273182,0.4116330407442472,0.007523811741278655
LDA100_abstract_weight__47_magnetic_resonance_high,0.4930857087677242,0.6854092498263942,1.0000157516593389,0.7240172280036308,0.3530949909314811,0.04879658562706498
LDA100_abstract_weight__2_model_approach_method,0.32577928623791674,0.9826508951826173,1.0127814277412162,0.839478241568629,0.20256091546902935,0.03582139756826165
LDA100_abstract_weight__51_light_mechanisms_underlying,0.2303703142345137,-1.1994054891720594,1.0492841363233258,0.8576817539210285,0.17932597296699973,0.006645042593139364
LDA100_abstract_weight__89_inhibition_response_control,0.47681841365642597,-0.7114290321546046,1.00018551559627,0.8857468754817603,0.14368796453337693,0.004398211960278455
LDA100_abstract_weight__37_temporal_superior_posterior,0.42386741350787605,-0.7997297135356622,1.01096188080134,0.8891743910863203,0.13934897478037866,0.005159642209138925
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.479425939005933,0.7072261682702043,1.0008736954858346,0.8988915612894666,0.12706170428162195,0.0487432877908694
LDA100_abstract_weight__34_hemisphere_hemispheric_lateralization,0.4288244901458146,-0.7912048013445477,1.0105682521405832,0.9078805604950251,0.11571229653398304,0.004111007738654194
LDA100_abstract_weight__73_parietal_frontal_inferior,0.465202601808959,0.7303069158790069,1.0017743765666554,0.9553532224807492,0.0559856705754427,0.048480998811216626
LDA100_abstract_weight__62_scenes_scene_ppa,0.19510710055474367,-1.2956180697821877,1.1127966628778647,0.9720190660723108,0.03507609128031496,0.001798657997958545
LDA100_abstract_weight__97_visual_motion_auditory,0.6017390619941494,-0.5219012872732152,0.9806857101480758,0.9672098014851214,-0.04110799427173244,0.007106407182933449
LDA100_abstract_weight__22_sd_taste_reliability,0.5216667443409009,-0.6407782833410681,0.979038062155508,0.9599391320295514,-0.05022996630442532,0.0014793993143543754
LDA100_abstract_weight__13_action_actions_smokers,0.5643686797263519,-0.5763647287699397,0.9808649857507363,0.9589949332905494,-0.05141487327277038,0.0038602772155250788
LDA100_abstract_weight__41_memory_retrieval_episodic,0.8074449479784964,-0.24372353067221375,0.9228084479686358,0.8985577124256074,-0.12748352437590313,0.003609855906272885
LDA100_abstract_weight__6_eye_gaze_saccade,0.7095756364564891,-0.3724260836847758,0.9332994020893074,0.8197765849081959,-0.2278323389609208,0.0022342714212543967
LDA100_abstract_weight__44_target_detection_targets,0.5025353743582397,-0.6705058564683833,0.9947348876687622,0.7342756694137309,-0.33944347876284203,0.0043776211840037505
LDA100_abstract_weight__93_time_reaction_times,0.5002564898669238,-0.6740862355988109,0.9967806892627196,0.6505182284576285,-0.45304237507406275,0.006559628050493078
LDA100_abstract_weight__81_auditory_sounds_sound,0.8016341992955457,-0.2512327063123248,0.922316707930204,0.6066197640325697,-0.5149044887454359,0.003595404767482657
LDA100_abstract_weight__24_music_musical_musicians,0.7851023340727908,-0.27267593622999375,0.9018018574827953,0.5951095110125321,-0.5314463480789424,0.001769965453448998
LDA100_abstract_weight__17_human_humans_animal,0.8956045134250621,-0.13121590619615117,0.9067762355868803,0.5923067331984551,-0.5354962742976476,0.004954296562656589
LDA100_abstract_weight__85_visual_cortex_early,0.6250718070931369,-0.4886749981416994,0.9594246672087551,0.535871445331885,-0.6190681787257186,0.0027170820706503636
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.7506044341231153,-0.317842469141702,0.913153153240185,0.3391166693202973,-0.9559120524170098,0.0020868177074473897
LDA100_abstract_weight__71_reasoning_mind_mental,0.9182006847137332,-0.10270049003152826,0.8843369486026915,0.15851708099662346,-1.4100765488993048,0.0040209083444780495
LDA100_abstract_weight__86_women_men_sex,0.8746151413560267,-0.15779905750333292,0.8744683754366716,0.14173097410981833,-1.4693754803767838,0.002461639570671002
LDA100_abstract_weight__74_placebo_ocd_dopamine,0.7367357476638803,-0.33617918591853685,0.9283107949689531,0.06619003426923203,-1.8371345537009591,0.0029599530255375508
LDA100_abstract_weight__59_cerebellar_cerebellum_timing,0.999013603145384,-0.0012362654378018634,0.6989370992133475,0.06317715429450763,-1.8579426823481433,0.0018132482945176346
LDA100_abstract_weight__38_stroke_lesion_lesions,0.9526689475330852,-0.05935551111678145,0.8477700237167183,0.034112004857165805,-2.1187452159323774,0.00325874448366947
LDA100_abstract_weight__70_pattern_patterns_classification,0.903541253461676,-0.12118910500117219,0.8706764647085514,0.02622985129785288,-2.2227916663282303,0.0030570544196106804
LDA100_abstract_weight__80_pictures_images_aversive,0.9835534893934955,-0.020614104123581937,0.8039301952210616,0.02224855486810357,-2.286097506040084,0.0028663780258337793
LDA100_abstract_weight__98_treatment_baseline_therapy,0.7095564527063056,-0.3724518536666536,0.9425640678176197,0.02189880187572152,-2.2921185740125916,0.0037415471004397485
LDA100_abstract_weight__82_somatosensory_stimulation_tactile,0.9993164870269112,-0.0008566565769884335,0.717157947628386,0.015196698920794019,-2.427657212581641,0.002396269941089912
