Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA200_abstract_weight__150_reading_phonological_readers,0.0019255532813632098,-3.1014808476363473,0.16279221466689792,1.1625647820157301e-22,9.796758618319606,0.677940231240629
LDA200_abstract_weight__163_language_chinese_english,1.3682975507620672e-09,-6.0591652635006295,0.1593070081395505,2.278559108331157e-16,8.206433365203653,0.6663789264701748
LDA200_abstract_weight__162_words_word_lexical,0.05147976385466415,-1.9474587222212807,0.14461321375747543,9.32120900852544e-14,7.4501812417707285,0.634831194658838
LDA200_abstract_weight__179_memory_working_task,7.636165531907977e-05,3.955540983781862,0.13362196014184546,4.7181419578201415e-12,6.9138078395695475,0.6088677616558186
LDA200_abstract_weight__9_semantic_word_knowledge,0.6661141961923762,-0.43148714704444424,0.13444463872860446,2.0015275652347e-09,5.997682996790433,0.6054190751445087
LDA200_abstract_weight__43_conflict_interference_incongruent,0.016476274342193602,-2.398190933614158,0.13517252670787114,1.655346937782549e-08,5.644632252088908,0.6052870639534884
LDA200_abstract_weight__47_parietal_network_fronto,1.4290493952055443e-17,8.532753520653163,0.12506918521944738,2.264005916911225e-08,5.590512342007397,0.5815964081508828
LDA200_abstract_weight__52_control_cognitive_task,0.14066537344419397,1.473317762141253,0.12929876250637162,1.0553438317959826e-07,5.316926999439155,0.5893861246194741
LDA200_abstract_weight__93_language_sentences_comprehension,0.04642440418054455,-1.9915140314651698,0.13243807783401987,1.8079786971654398e-07,5.218069252220706,0.596464516063061
LDA200_abstract_weight__86_ips_number_numerical,3.564364362398092e-18,-8.691897231349884,0.14228444948631233,2.904678526064339e-07,5.12952911041638,0.6201330815574139
LDA200_abstract_weight__3_task_switching_set,2.573191293279574e-06,-4.702242896487848,0.13525551877526884,3.7302213532534726e-07,5.08223366557806,0.6027697567107281
LDA200_abstract_weight__72_items_pairs_item,1.1776125988420187e-08,-5.702935922414841,0.13200028330007638,1.776821089843565e-05,4.29123505792993,0.590727447901965
LDA200_abstract_weight__95_verbs_verb_nouns,1.62510708194528e-38,-12.97826958678972,0.14214379542557498,2.770429450381478e-05,4.191559961229471,0.6166594941778463
