feature,r
LDA50_abstract_weight__37_language_reading_word,0.17905255902643302
LDA50_abstract_weight__9_memory_working_wm,0.11721676880542307
LDA50_abstract_weight__15_task_performance_cognitive,0.11660452091311621
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.09242842314508073
LDA50_abstract_weight__20_control_conflict_task,0.06876650839385956
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.054817115694850954
LDA50_abstract_weight__19_action_actions_observation,0.053567523906770574
LDA50_abstract_weight__18_number_ips_numerical,0.05250172654356503
LDA50_abstract_weight__33_memory_retrieval_encoding,0.046786888987567304
LDA50_abstract_weight__38_semantic_category_representations,0.04582153867165594
LDA50_abstract_weight__47_attention_attentional_target,0.0359212999434892
LDA50_abstract_weight__46_hemisphere_language_stroke,0.024496090639957155
LDA50_abstract_weight__24_age_adults_older,0.02067863498824867
LDA50_abstract_weight__42_visual_cortex_sensory,0.01620351197132732
LDA50_abstract_weight__4_stimulus_time_repetition,0.008591627242780312
LDA50_abstract_weight__16_response_inhibition_control,0.007416083476767418
LDA50_abstract_weight__6_auditory_speech_temporal,0.003989128832772766
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.0038140108889406876
LDA50_abstract_weight__23_asd_autism_group,0.0036837911611217453
LDA50_abstract_weight__11_learning_training_practice,0.0035631798288238933
LDA50_abstract_weight__41_imagery_mental_events,-0.0018429502584053192
LDA50_abstract_weight__30_decision_making_risk,-0.002768880742100882
LDA50_abstract_weight__8_mpfc_social_medial,-0.003511433918722205
LDA50_abstract_weight__25_spatial_body_human,-0.017691317184838195
LDA50_abstract_weight__31_model_models_prediction,-0.017845235947674766
LDA50_abstract_weight__12_women_men_sex,-0.018747999498171783
LDA50_abstract_weight__17_motor_cortex_hand,-0.022595348741032625
LDA50_abstract_weight__44_eye_sleep_gaze,-0.02628405107616291
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.026596359600766277
LDA50_abstract_weight__28_social_empathy_moral,-0.02737536181455657
LDA50_abstract_weight__10_food_taste_weight,-0.028605700072754127
LDA50_abstract_weight__45_motion_perception_visual,-0.029428999115013166
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.029630859389404036
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.030428745650333912
LDA50_abstract_weight__14_disease_ad_pd,-0.03400763554371204
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.03422819126569497
LDA50_abstract_weight__7_reward_feedback_striatum,-0.03446727329491341
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.035385209380525494
LDA50_abstract_weight__40_face_faces_facial,-0.041546198713909695
LDA50_abstract_weight__0_network_state_resting,-0.043042447869727996
LDA50_abstract_weight__1_anxiety_trait_personality,-0.04443069953261023
LDA50_abstract_weight__13_fear_threat_smokers,-0.048037289399611376
LDA50_abstract_weight__26_emotional_amygdala_negative,-0.050104880891598105
LDA50_abstract_weight__27_disorder_adhd_group,-0.05018685123263159
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.055778938038570404
LDA50_abstract_weight__22_method_group_approach,-0.057271921100128194
LDA50_abstract_weight__34_frequency_hz_ms,-0.06170514833896108
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.06466864532823305
LDA50_abstract_weight__49_depression_mdd_state,-0.07414429650459611
LDA50_abstract_weight__21_matter_volume_structural,-0.07540579421838627
