feature,r
LDA400_abstract_weight__299_memory_working_verbal,0.09239275176831728
LDA400_abstract_weight__86_number_numerical_numbers,0.09219551569862053
LDA400_abstract_weight__2_sulcus_intraparietal_ips,0.0841061816392397
LDA400_abstract_weight__141_task_performing_cognitive,0.076934044126518
LDA400_abstract_weight__154_parietal_network_fronto,0.0737980321728614
LDA400_abstract_weight__115_wm_memory_working,0.06845080488852259
LDA400_abstract_weight__310_common_suggest_overlap,0.06715084307650725
LDA400_abstract_weight__23_reading_letter_chinese,0.06666981435145228
LDA400_abstract_weight__128_problem_problems_arithmetic,0.06446606173148273
LDA400_abstract_weight__171_task_switching_set,0.06352416404774754
LDA400_abstract_weight__264_attention_attentional_orienting,0.06336638783180196
LDA400_abstract_weight__329_items_recognition_item,0.061112983770437175
LDA400_abstract_weight__322_task_difficulty_demands,0.058773840647662653
LDA400_abstract_weight__187_parietal_inferior_lobule,0.05739354137259947
LDA400_abstract_weight__216_frontal_inferior_gyrus,0.0563596573729092
LDA400_abstract_weight__392_reading_phonological_dyslexia,0.055773769119848035
LDA400_abstract_weight__134_parietal_ppc_posterior,0.0538704471546782
LDA400_abstract_weight__334_spatial_location_locations,0.051064845309933604
LDA400_abstract_weight__297_attention_attentional_attended,0.04979696686638228
LDA400_abstract_weight__200_load_task_high,0.04596322448711777
LDA400_abstract_weight__284_language_english_native,0.04502625586911034
LDA400_abstract_weight__44_parietal_temporal_frontal,0.04390819838283949
LDA400_abstract_weight__43_task_recruitment_recruited,0.043414746026309875
LDA400_abstract_weight__16_executive_control_cognitive,0.04294441246683842
LDA400_abstract_weight__240_performance_task_cognitive,0.04233158477407792
LDA400_abstract_weight__272_retrieval_memory_episodic,0.041891926663429786
LDA400_abstract_weight__33_network_identified_core,0.04188625076620235
LDA400_abstract_weight__205_task_performance_rest,0.04103116023593767
LDA400_abstract_weight__235_pairs_associative_associations,0.038959188031109246
LDA400_abstract_weight__207_target_targets_distractor,0.03817329536769926
LDA400_abstract_weight__132_cues_cue_cued,0.038002367856608786
LDA400_abstract_weight__339_rule_rules_abstraction,0.037923100303119905
LDA400_abstract_weight__67_cortex_lateral_prefrontal,0.037661906120925834
LDA400_abstract_weight__222_interference_stroop_control,0.037096220918267656
LDA400_abstract_weight__41_frontoparietal_subregions_network,0.03691320672245819
LDA400_abstract_weight__230_ventral_dorsal_visual,0.036574378792345624
LDA400_abstract_weight__104_trials_trial_response,0.03626363165499501
LDA400_abstract_weight__123_words_word_lexical,0.036231392715441436
LDA400_abstract_weight__390_representations_representation_cortex,0.036107691821579004
LDA400_abstract_weight__288_mental_rotation_visuospatial,0.0352633590231337
LDA400_abstract_weight__292_task_relevant_irrelevant,0.03372634421762464
LDA400_abstract_weight__384_object_objects_recognition,0.03152691596270383
LDA400_abstract_weight__341_matching_match_task,0.031048510128300788
LDA400_abstract_weight__95_eye_saccade_saccades,0.03094051578883131
LDA400_abstract_weight__57_presented_visual_presentation,0.02987775047752245
LDA400_abstract_weight__331_reasoning_hearing_deaf,0.02949139724646835
LDA400_abstract_weight__147_sequence_sequences_order,0.02912170727546683
LDA400_abstract_weight__256_encoding_memory_recognition,0.028061233039744192
LDA400_abstract_weight__107_imagery_mental_imagined,0.027524050242312637
LDA400_abstract_weight__50_color_shape_shapes,0.027395379846364937
LDA400_abstract_weight__208_reaction_time_times,0.02656714075035459
LDA400_abstract_weight__168_tool_object_hand,0.02656128195759777
LDA400_abstract_weight__120_verbal_fluency_task,0.026168405972736685
LDA400_abstract_weight__144_decision_making_choice,0.02589376196985795
LDA400_abstract_weight__103_types_type_similarity,0.024987662553319346
LDA400_abstract_weight__31_stimulus_response_type,0.02477207296431279
LDA400_abstract_weight__378_visual_auditory_modality,0.024352981249373323
LDA400_abstract_weight__388_conflict_response_monitoring,0.023916107911865315
LDA400_abstract_weight__333_incongruent_congruent_congruency,0.023448677654343806
LDA400_abstract_weight__383_abstract_concrete_concepts,0.022984073477709827
LDA400_abstract_weight__387_trial_single_task,0.02286823310701162
LDA400_abstract_weight__21_strategies_strategy_strategic,0.02277551433993251
LDA400_abstract_weight__229_mtl_recollection_memory,0.02258559332942326
LDA400_abstract_weight__72_cognitive_control_cognition,0.022544885907887228
LDA400_abstract_weight__234_learning_learned_associations,0.022194210833311946
LDA400_abstract_weight__255_action_actions_observation,0.022096883661537944
LDA400_abstract_weight__194_gyrus_ag_angular,0.02094454947623854
LDA400_abstract_weight__398_dlpfc_prefrontal_cortex,0.020530712454631138
LDA400_abstract_weight__356_semantic_word_temporal,0.020370708984877063
LDA400_abstract_weight__116_motor_cortex_sensorimotor,0.02035014320866089
LDA400_abstract_weight__349_visual_occipital_early,0.019898999623801247
LDA400_abstract_weight__99_delay_delayed_discounting,0.019518416374229276
LDA400_abstract_weight__210_control_inhibitory_attentional,0.01943270185533248
LDA400_abstract_weight__59_writing_drawing_figure,0.019053151126716114
LDA400_abstract_weight__64_selection_pmd_rostral,0.01851772029442873
LDA400_abstract_weight__11_children_adults_age,0.018127371838147447
LDA400_abstract_weight__243_prefrontal_cortex_dorsolateral,0.017929281844456513
LDA400_abstract_weight__287_navigation_virtual_gait,0.017474261988495096
LDA400_abstract_weight__5_judgments_judgment_judged,0.017339158242684623
LDA400_abstract_weight__100_process_tracking_run,0.017300670304155604
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.017244396336701478
LDA400_abstract_weight__286_competition_free_selection,0.0171502845377698
LDA400_abstract_weight__137_blind_sighted_global,0.01661251090493886
LDA400_abstract_weight__303_rs_pa_hyperalgesia,0.015708781195653665
LDA400_abstract_weight__371_search_lifg_frontal,0.015550112986486146
LDA400_abstract_weight__203_resonance_magnetic_control,0.015306240077137495
LDA400_abstract_weight__251_likelihood_consistency_estimation,0.014979167819850708
LDA400_abstract_weight__61_recall_digit_span,0.014967851818010264
LDA400_abstract_weight__274_naming_production_overt,0.014676201309916731
LDA400_abstract_weight__252_relational_strength_strong,0.014643125474050002
