Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA200_abstract_weight__194_network_default_dmn,5.551542353142952e-06,4.5427866765709455,0.10840612217569147,7.7267304027634e-14,7.4748919678100965,0.6305859265882736
LDA200_abstract_weight__145_mind_mental_social,0.1585410474070447,-1.4099953789296928,0.1109254301629369,3.6896284892526125e-10,6.266622627765417,0.6297949833370122
LDA200_abstract_weight__93_language_sentences_comprehension,0.5932345973402187,-0.5341545701385951,0.1083598800620085,1.885066746390943e-09,6.007413192811282,0.6213088744484597
LDA200_abstract_weight__9_semantic_word_knowledge,0.8766263939330948,0.15524725731229277,0.10662623789918771,5.720459647198006e-09,5.824731197181798,0.615370280645522
LDA200_abstract_weight__28_memory_retrieval_episodic,0.16077495355973795,-1.4024699643660075,0.10704595523527388,4.042336387960105e-08,5.488992127180812,0.6145909347028884
LDA200_abstract_weight__30_events_future_personal,2.846229662045795e-14,-7.605127584389768,0.1121238618561614,4.785390454692505e-06,4.573982842095931,0.6252968810238885
LDA200_abstract_weight__100_gestures_abstract_race,3.9428718810341645e-28,-10.99717591174535,0.1163045129283383,2.3666996532332955e-05,4.227149940883652,0.6364529157550781
LDA200_abstract_weight__154_social_interactions_interaction,0.22367882583485682,-1.2168039262683852,0.10040668128051085,4.8094057189636894e-05,4.064701095232876,0.5853677632555555
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.056236612050297695,-1.9091975514741812,0.0997291926051318,0.00016849158118141533,3.7621015850599506,0.5811585955391373
LDA200_abstract_weight__88_network_frontoparietal_identified,1.6352881149749287e-89,20.0604706810604,0.0902384508997214,0.00033417657448561614,3.587255705862928,0.5517542368379111
LDA200_abstract_weight__111_memory_encoding_hippocampal,0.003524969562807703,2.9178118666482136,0.0957727425912443,0.00035470517129280527,3.571675178273083,0.5665637442163455
LDA200_abstract_weight__72_items_pairs_item,1.5275587735950712e-07,-5.249206364752365,0.09990053703840564,0.0017941141241596288,3.1223534342214943,0.5779558043406562
LDA200_abstract_weight__123_junction_tpj_temporoparietal,4.43576969660583e-15,-7.841957369766464,0.10272573356557327,0.002068080176177967,3.0802772018368074,0.5879995446827483
LDA200_abstract_weight__186_decision_making_choice,0.5412333796160593,-0.6109489463850434,0.09593506195143908,0.0022965593396319277,3.048932685589429,0.5631377564007274
LDA200_abstract_weight__174_type_joint_sa,3.770735386438137e-48,-14.579899113863602,0.11036026204844476,0.0033223160396996646,2.9362265360460444,0.6140395692049079
LDA200_abstract_weight__193_mirror_video_imitation,9.643145722546903e-10,-6.115207413368103,0.09970512683959878,0.0035758133634113546,2.9133432260438186,0.5761113303242323
LDA200_abstract_weight__65_recognition_correct_familiarity,1.4800648300323576e-10,-6.40741610158756,0.09935580123668036,0.005236115701355778,2.7921371508956176,0.5741685855854293
LDA200_abstract_weight__163_language_chinese_english,6.441386219748432e-15,-7.794989446279955,0.10073450858792457,0.005703012261647214,2.764385476222429,0.5792140187517181
