feature,r
LDA100_abstract_weight__71_reasoning_mind_mental,0.13667380818235883
LDA100_abstract_weight__67_network_state_resting,0.10755092002878391
LDA100_abstract_weight__41_memory_retrieval_episodic,0.09019879899591918
LDA100_abstract_weight__12_language_comprehension_sentences,0.06525931570403626
LDA100_abstract_weight__76_memory_recognition_items,0.054006178903998205
LDA100_abstract_weight__35_regulation_emotion_reappraisal,0.05135082102284232
LDA100_abstract_weight__94_network_control_frontoparietal,0.05061069379245574
LDA100_abstract_weight__92_social_empathy_moral,0.04727141250333422
LDA100_abstract_weight__9_imagery_mental_events,0.04705678318160597
LDA100_abstract_weight__29_integration_human_order,0.0405895862963319
LDA100_abstract_weight__73_parietal_frontal_inferior,0.03919680355981958
LDA100_abstract_weight__28_phase_problem_problems,0.03838846899109998
LDA100_abstract_weight__23_semantic_words_word,0.036691175683758015
LDA100_abstract_weight__19_judgments_judgment_ppc,0.034054314937045325
LDA100_abstract_weight__95_adults_age_older,0.030642068156691342
LDA100_abstract_weight__39_mechanisms_provide_network,0.030332763951712787
LDA100_abstract_weight__15_mirror_observation_imitation,0.026286375601711542
LDA100_abstract_weight__1_gyrus_frontal_middle,0.024440378666156382
LDA100_abstract_weight__37_temporal_superior_posterior,0.024256775001893972
LDA100_abstract_weight__55_representations_representation_abstract,0.023911559954292123
LDA100_abstract_weight__36_task_difficulty_demands,0.021678771438925434
LDA100_abstract_weight__72_memory_encoding_hippocampus,0.019475843378640955
LDA100_abstract_weight__21_reading_words_word,0.018483656829063444
LDA100_abstract_weight__30_emotional_negative_positive,0.01844444096433254
LDA100_abstract_weight__96_patterns_cortex_common,0.015572663327576274
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.011810337597918611
LDA100_abstract_weight__13_action_actions_smokers,0.01153015746043456
LDA100_abstract_weight__31_speech_auditory_production,0.01002211385024321
LDA100_abstract_weight__53_decision_making_risk,0.008657941635065872
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.007847055078075682
LDA100_abstract_weight__27_epilepsy_lobe_temporal,0.007790429314729042
LDA100_abstract_weight__84_children_adolescents_age,0.006607127099019043
LDA100_abstract_weight__70_pattern_patterns_classification,0.006101691953716324
LDA100_abstract_weight__49_attention_attentional_task,0.0054770135938903225
LDA100_abstract_weight__40_ad_disease_mci,0.004423974556571847
LDA100_abstract_weight__45_memory_working_wm,0.003861621698297308
LDA100_abstract_weight__16_deaf_hearing_sign,0.0031834580843880943
LDA100_abstract_weight__62_scenes_scene_ppa,0.0026291681636256125
LDA100_abstract_weight__48_learning_training_sequence,0.001738115741514522
LDA100_abstract_weight__11_task_cognitive_performance,0.0010957849948752686
LDA100_abstract_weight__42_context_influence_modulation,0.0005889063319180429
LDA100_abstract_weight__86_women_men_sex,-0.00015643587303082476
LDA100_abstract_weight__47_magnetic_resonance_high,-0.0009496430843261955
LDA100_abstract_weight__58_personality_trait_traits,-0.0016321638378738053
LDA100_abstract_weight__4_term_long_repetition,-0.003920450437902176
LDA100_abstract_weight__79_spatial_cues_cue,-0.004420900717328081
LDA100_abstract_weight__3_individual_variability_level,-0.005322473734854797
LDA100_abstract_weight__89_inhibition_response_control,-0.006241007759225818
LDA100_abstract_weight__87_dorsal_ventral_stream,-0.006689074340551646
LDA100_abstract_weight__32_object_objects_visual,-0.006812797563818744
LDA100_abstract_weight__93_time_reaction_times,-0.0069076486565285665
LDA100_abstract_weight__18_number_numerical_numbers,-0.007934034592822766
LDA100_abstract_weight__8_sleep_body_bodies,-0.008107964024883781
LDA100_abstract_weight__57_face_faces_fusiform,-0.008675329248537316
LDA100_abstract_weight__65_task_switching_rule,-0.00874555735780793
LDA100_abstract_weight__24_music_musical_musicians,-0.008896927613335959
LDA100_abstract_weight__78_frequency_hz_power,-0.010218363578287586
LDA100_abstract_weight__80_pictures_images_aversive,-0.011459774139878682
LDA100_abstract_weight__97_visual_motion_auditory,-0.013632477819947062
LDA100_abstract_weight__25_feedback_error_learning,-0.014365549575884732
LDA100_abstract_weight__64_ms_spatial_virtual,-0.014478427815258875
LDA100_abstract_weight__51_light_mechanisms_underlying,-0.014548370726559432
LDA100_abstract_weight__56_response_stimulus_trials,-0.015330881736087716
LDA100_abstract_weight__2_model_approach_method,-0.015858009358075426
LDA100_abstract_weight__44_target_detection_targets,-0.016566082095486982
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,-0.016624643445501762
LDA100_abstract_weight__14_conflict_interference_control,-0.01789117626277227
LDA100_abstract_weight__17_human_humans_animal,-0.018749199772178603
LDA100_abstract_weight__50_perceptual_perception_interaction,-0.01924795603276824
LDA100_abstract_weight__61_caudate_ofc_thalamus,-0.019291470801238733
LDA100_abstract_weight__88_cbf_cerebral_perfusion,-0.02177332876596161
LDA100_abstract_weight__38_stroke_lesion_lesions,-0.022375940503033143
LDA100_abstract_weight__63_insula_anterior_autonomic,-0.023165021353098506
LDA100_abstract_weight__20_pd_basal_ganglia,-0.023409228789548788
LDA100_abstract_weight__22_sd_taste_reliability,-0.02577004459356547
LDA100_abstract_weight__85_visual_cortex_early,-0.0260174039730728
