Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__20_control_conflict_task,8.216754593021827e-07,-4.930147518824819,0.2266196749896031,6.928901215333585e-10,6.167703269496387,0.561647020920872
LDA50_abstract_weight__7_reward_feedback_striatum,2.868338780382753e-19,-8.973655309282528,0.22747707046431723,1.3496134583009873e-08,5.679661779287673,0.5600733554981803
LDA50_abstract_weight__16_response_inhibition_control,2.225362655210575e-40,-13.302942096335494,0.22530641526385314,6.5751569658428535e-06,4.506996977984738,0.551109537946378
LDA50_abstract_weight__28_social_empathy_moral,2.5453048187529854e-55,-15.666943031840932,0.22639577591218757,8.18114951083642e-06,4.460387762748026,0.5524673131020643
LDA50_abstract_weight__30_decision_making_risk,1.175484466483934e-59,-16.289309736747033,0.22584328221776023,1.987725010918782e-05,4.266265178563441,0.550727514369056
LDA50_abstract_weight__9_memory_working_wm,1.1686056872702465e-13,-7.420294076520655,0.21755017163386017,0.0016428969936018798,3.1481814123519443,0.5328054797004501
LDA50_abstract_weight__3_cortex_anterior_cingulate,4.069538436798269e-271,35.17982263137643,0.20767371453438035,0.001988895116490989,3.091885555632704,0.5252231553452572
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.0,inf,0.20436734148461722,0.004196800810164576,2.862977713890543,0.5253782188806275
LDA50_abstract_weight__1_anxiety_trait_personality,2.7794881627702185e-118,-23.12203861334628,0.21982166321851934,0.014201217619065806,2.4521329619607553,0.5327512513781654
LDA50_abstract_weight__8_mpfc_social_medial,1.730902728764394e-37,-12.795786889877611,0.21668850256000777,0.01558624909443507,2.418462568006815,0.5274527884070712
LDA50_abstract_weight__47_attention_attentional_target,7.084930269991225e-110,22.270847052814677,0.20923678419898287,0.04517279475381142,2.0030418679033763,0.5164505553561699
LDA50_abstract_weight__37_language_reading_word,0.13776409978336643,-1.4841689693299007,0.21268482806113498,0.04612185358946572,1.9942764299977633,0.519244086733045
LDA50_abstract_weight__26_emotional_amygdala_negative,3.8771406659465235e-192,29.56780755473747,0.2083512764837407,0.04725464325295819,1.9840107346831912,0.5161371531116766
LDA50_abstract_weight__12_women_men_sex,0.0,-inf,0.21432742593363968,0.3221413073730864,0.9900671318217549,0.5165857419396005
LDA50_abstract_weight__40_face_faces_facial,2.3970015273368864e-44,-13.969381223534835,0.21150058718860482,0.33527802463246786,0.9635371609989168,0.5112128947176411
LDA50_abstract_weight__24_age_adults_older,4.405303829472841e-07,5.050554072820486,0.20961948323385998,0.3550379834318672,0.924861445924086,0.5083470076376513
LDA50_abstract_weight__13_fear_threat_smokers,2.4195172595645917e-241,-33.175621356224596,0.2116137371438555,0.5215950714294165,0.6408885870963159,0.5098427696447726
LDA50_abstract_weight__33_memory_retrieval_encoding,3.735370910649918e-11,6.614211610181992,0.2090374241994833,0.5272046049859995,0.6322789668337628,0.5056314737072867
LDA50_abstract_weight__18_number_ips_numerical,0.0,-inf,0.21183185419942588,0.5325577145492586,0.6241063947626226,0.5102093971114391
LDA50_abstract_weight__36_placebo_treatment_dopamine,1.1710722889635526e-152,-26.31871972569114,0.20894665942098353,0.8573445647400536,0.17975544341512184,0.5025777079433819
LDA50_abstract_weight__10_food_taste_weight,1.0,-0.0,0.20888814786923346,0.9170414468339798,0.10416117166347272,0.5021591984279095
LDA50_abstract_weight__27_disorder_adhd_group,2.699688226776334e-52,-15.21767178407519,0.20771052699381556,0.9236429015628079,-0.09584597636068061,0.49885565531551834
LDA50_abstract_weight__38_semantic_category_representations,0.018132604016748672,-2.3628991342062653,0.20781619006852411,0.913917308894154,-0.10809881404930412,0.4989446618143171
LDA50_abstract_weight__4_stimulus_time_repetition,0.11581804685173151,1.5725716050274192,0.20729422907234774,0.6833060255242158,-0.407955935802006,0.49619284455935453
LDA50_abstract_weight__32_pain_somatosensory_stimulation,5.165239501808335e-151,-26.17465798065678,0.2055480849821956,0.6066538226644711,-0.5148557523724874,0.49256652489743685
LDA50_abstract_weight__19_action_actions_observation,5.649585601346181e-74,-18.19504196569089,0.20453876933353005,0.3686605532231404,-0.8989851825283389,0.48862565323397833
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,4.789903087928757e-31,-11.587115969363955,0.20470610034932243,0.27966910005352064,-1.081062978618651,0.4878770590179332
LDA50_abstract_weight__41_imagery_mental_events,1.428781547220689e-104,-21.716631812057674,0.20312587692301737,0.2538525153125343,-1.1410418322418914,0.4845780760325755
LDA50_abstract_weight__22_method_group_approach,0.0,inf,0.21474990490541207,0.23684668275141518,-1.1829052953960948,0.48184140126658914
LDA50_abstract_weight__31_model_models_prediction,1.758184920634017e-40,-13.320545353390639,0.20399602955707286,0.21665734277362456,-1.2354654083423058,0.4857083200220752
LDA50_abstract_weight__23_asd_autism_group,0.0,-inf,0.19963997677951803,0.20157337028650585,-1.2770817979874907,0.4762981981012909
LDA50_abstract_weight__6_auditory_speech_temporal,3.956056567723661e-55,-15.638883142413011,0.2014924702277685,0.06111489801630843,-1.872663272880859,0.4773500919077923
LDA50_abstract_weight__29_stress_ptsd_trauma,0.0,-inf,0.1960890190049131,0.05211524885676399,-1.942180533327042,0.465177584543532
LDA50_abstract_weight__0_network_state_resting,2.5533594619381807e-24,10.175404858662956,0.20586086987723737,0.051163230557564304,-1.9501081458876712,0.4830975636365004
LDA50_abstract_weight__17_motor_cortex_hand,0.2838246475303878,1.0717671139655278,0.2043239266754176,0.03714566754925583,-2.0841594315212673,0.48046225538956316
LDA50_abstract_weight__39_stimulation_tms_bpd,0.0,-inf,0.19531826774482242,0.032202587628511546,-2.1418868582532635,0.4624730590351488
LDA50_abstract_weight__42_visual_cortex_sensory,2.2882975193954245e-27,10.837421531393986,0.20566099968644191,0.02409228180114915,-2.2556544263101754,0.4805382155877898
LDA50_abstract_weight__44_eye_sleep_gaze,0.0,-inf,0.1911984296436973,0.004536091819217073,-2.838255067440377,0.4492509510257861
LDA50_abstract_weight__35_schizophrenia_risk_genetic,6.052765365777928e-113,-22.58524125803073,0.19479202729736003,0.0017704561767933563,-3.126258888464321,0.4564362057153723
LDA50_abstract_weight__46_hemisphere_language_stroke,1.9406026463794383e-57,-15.973961254771378,0.1972273113877706,0.001556499383258671,-3.1639380208787466,0.46137945659840257
LDA50_abstract_weight__45_motion_perception_visual,1.9866345998643208e-167,-27.579017800243662,0.19138504941632198,0.00048686260632985705,-3.4878821585535706,0.44662083554316
LDA50_abstract_weight__11_learning_training_practice,1.8413450514702358e-39,-13.144037129611098,0.1971993451255644,0.00037143514635510624,-3.5595893502284155,0.4588667139365913
LDA50_abstract_weight__14_disease_ad_pd,2.5941428374346427e-141,-25.308210782722025,0.19004340446323983,5.895708838767961e-05,-4.01694655473266,0.4406117390084594
LDA50_abstract_weight__34_frequency_hz_ms,7.061418681318311e-71,-17.80004335676749,0.19314800618294276,2.628794058018887e-05,-4.203448136630203,0.44663989724073716
LDA50_abstract_weight__49_depression_mdd_state,3.3671865763471307e-127,-23.992039764258433,0.1875005245042386,1.3565272379035157e-06,-4.831287834991893,0.42994121572749033
LDA50_abstract_weight__25_spatial_body_human,5.163924312218439e-18,-8.649690597608142,0.19515577989622224,8.612730202948705e-08,-5.353797378102587,0.44299209457445055
LDA50_abstract_weight__21_matter_volume_structural,2.0779517968525756e-46,-14.30359395218572,0.18570853126783993,6.431096398906153e-16,-8.080861221643733,0.4048785127213747
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.0,inf,,0.15729920705028105,,
LDA50_abstract_weight__15_task_performance_cognitive,0.0,inf,,0.15729920705028105,,
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.0,inf,,0.15729920705028105,,
