feature,r
LDA400_abstract_weight__172_anterior_insula_cortex,0.1061330294512978
LDA400_abstract_weight__131_inhibition_response_stop,0.0855882645759159
LDA400_abstract_weight__243_prefrontal_cortex_dorsolateral,0.05464954861932779
LDA400_abstract_weight__58_autonomic_skin_arousal,0.05279041893127933
LDA400_abstract_weight__338_reward_striatum_monetary,0.05252253834743828
LDA400_abstract_weight__130_frontal_inferior_gyrus,0.05142136691221732
LDA400_abstract_weight__111_pictures_neutral_picture,0.04989394847639659
LDA400_abstract_weight__43_task_recruitment_recruited,0.04857159226881744
LDA400_abstract_weight__254_empathy_social_empathic,0.04789586949332348
LDA400_abstract_weight__310_common_suggest_overlap,0.04746662325344904
LDA400_abstract_weight__20_emotional_emotion_amygdala,0.045398858281557056
LDA400_abstract_weight__273_threat_fear_anxiety,0.0444152522673874
LDA400_abstract_weight__189_risk_risky_taking,0.043844811869136
LDA400_abstract_weight__144_decision_making_choice,0.04157161401683121
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.041244990390100565
LDA400_abstract_weight__244_game_social_trust,0.04114078944973734
LDA400_abstract_weight__101_feedback_negative_performance,0.04082319899779286
LDA400_abstract_weight__8_arousal_subjective_ratings,0.039681363443805615
LDA400_abstract_weight__112_error_errors_monitoring,0.03945037817005198
LDA400_abstract_weight__17_pain_painful_chronic,0.03928734517210957
LDA400_abstract_weight__222_interference_stroop_control,0.03795816967088346
LDA400_abstract_weight__56_cortex_prefrontal_orbitofrontal,0.03755052580201253
LDA400_abstract_weight__370_acc_cingulate_anterior,0.03728330280191604
LDA400_abstract_weight__32_fear_conditioning_extinction,0.03677277264501009
LDA400_abstract_weight__296_effort_fnc_reporting,0.03671971733747958
LDA400_abstract_weight__260_social_partner_interaction,0.034024631457807965
LDA400_abstract_weight__322_task_difficulty_demands,0.033881067871706624
LDA400_abstract_weight__317_insula_disgust_insular,0.03368851478594851
LDA400_abstract_weight__335_regulation_emotion_reappraisal,0.03246247088011794
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.031095742763147093
LDA400_abstract_weight__33_network_identified_core,0.030809099721528798
LDA400_abstract_weight__141_task_performing_cognitive,0.030520676112840577
