feature,r
LDA50_abstract_weight__15_task_performance_cognitive,0.08739875423099058
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.07876493287947396
LDA50_abstract_weight__37_language_reading_word,0.06153899228385279
LDA50_abstract_weight__9_memory_working_wm,0.05707185104628593
LDA50_abstract_weight__47_attention_attentional_target,0.05510913356299334
LDA50_abstract_weight__20_control_conflict_task,0.052343312580198566
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.049729131257538604
LDA50_abstract_weight__16_response_inhibition_control,0.039081549968521416
LDA50_abstract_weight__40_face_faces_facial,0.034277704548736264
LDA50_abstract_weight__18_number_ips_numerical,0.030866477140819085
LDA50_abstract_weight__19_action_actions_observation,0.02979031419896898
LDA50_abstract_weight__33_memory_retrieval_encoding,0.016696143005753804
LDA50_abstract_weight__6_auditory_speech_temporal,0.01440881570536419
LDA50_abstract_weight__8_mpfc_social_medial,0.013264842677513895
LDA50_abstract_weight__23_asd_autism_group,0.012761752066788675
LDA50_abstract_weight__42_visual_cortex_sensory,0.012334270189799
LDA50_abstract_weight__26_emotional_amygdala_negative,0.009744631210688985
LDA50_abstract_weight__38_semantic_category_representations,0.008124173116727468
LDA50_abstract_weight__28_social_empathy_moral,0.007117914818473075
LDA50_abstract_weight__24_age_adults_older,0.0035828547294681047
LDA50_abstract_weight__11_learning_training_practice,0.002910201061942683
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.0023330650265700713
LDA50_abstract_weight__4_stimulus_time_repetition,0.00215979764039654
LDA50_abstract_weight__41_imagery_mental_events,-0.00038154764490071604
LDA50_abstract_weight__30_decision_making_risk,-0.006956284202682902
LDA50_abstract_weight__12_women_men_sex,-0.010860529603907921
LDA50_abstract_weight__31_model_models_prediction,-0.011403146182499435
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.013741052676945616
LDA50_abstract_weight__10_food_taste_weight,-0.014766510059227474
LDA50_abstract_weight__17_motor_cortex_hand,-0.01668160604673444
LDA50_abstract_weight__45_motion_perception_visual,-0.01668577564574052
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.017290889734608784
LDA50_abstract_weight__1_anxiety_trait_personality,-0.02020107040639264
LDA50_abstract_weight__44_eye_sleep_gaze,-0.02102034851659125
LDA50_abstract_weight__13_fear_threat_smokers,-0.021957192936952346
LDA50_abstract_weight__25_spatial_body_human,-0.02198353312556741
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.022202820887623223
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.024597323051404378
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.024752667026789476
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.0263979048832042
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.028378560339972374
LDA50_abstract_weight__27_disorder_adhd_group,-0.029135771099612313
LDA50_abstract_weight__7_reward_feedback_striatum,-0.03001116783298992
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.030124974095801282
LDA50_abstract_weight__14_disease_ad_pd,-0.03367921456620582
LDA50_abstract_weight__0_network_state_resting,-0.04408139865676556
LDA50_abstract_weight__34_frequency_hz_ms,-0.04494033014289699
LDA50_abstract_weight__49_depression_mdd_state,-0.06246185196610207
LDA50_abstract_weight__22_method_group_approach,-0.06383151809336741
LDA50_abstract_weight__21_matter_volume_structural,-0.07142599717314167
