feature,r
LDA50_abstract_weight__8_mpfc_social_medial,0.10862190740021986
LDA50_abstract_weight__47_attention_attentional_target,0.08796357306705108
LDA50_abstract_weight__28_social_empathy_moral,0.06489868681564108
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.05886290370057735
LDA50_abstract_weight__19_action_actions_observation,0.05873404768376801
LDA50_abstract_weight__16_response_inhibition_control,0.057278846715358885
LDA50_abstract_weight__40_face_faces_facial,0.03741699167063953
LDA50_abstract_weight__45_motion_perception_visual,0.03406563613238984
LDA50_abstract_weight__41_imagery_mental_events,0.03363762364635042
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.028224097608144812
LDA50_abstract_weight__23_asd_autism_group,0.025502756760482703
LDA50_abstract_weight__0_network_state_resting,0.024774261025735152
LDA50_abstract_weight__9_memory_working_wm,0.0203297602650374
LDA50_abstract_weight__18_number_ips_numerical,0.020069676112191816
LDA50_abstract_weight__33_memory_retrieval_encoding,0.018582886244430045
LDA50_abstract_weight__15_task_performance_cognitive,0.018544161039246897
LDA50_abstract_weight__6_auditory_speech_temporal,0.018059937655782673
LDA50_abstract_weight__38_semantic_category_representations,0.015327562722063618
LDA50_abstract_weight__44_eye_sleep_gaze,0.008195340914780394
LDA50_abstract_weight__37_language_reading_word,0.00815387757166245
LDA50_abstract_weight__20_control_conflict_task,0.0062259361966503085
LDA50_abstract_weight__26_emotional_amygdala_negative,0.0029291112531400344
LDA50_abstract_weight__48_prefrontal_cortex_pfc,0.0017403933645456571
LDA50_abstract_weight__4_stimulus_time_repetition,-0.0020715382967237666
LDA50_abstract_weight__42_visual_cortex_sensory,-0.002611122194440325
LDA50_abstract_weight__30_decision_making_risk,-0.006308727986800894
LDA50_abstract_weight__12_women_men_sex,-0.009422382763642228
LDA50_abstract_weight__24_age_adults_older,-0.010665793106413395
LDA50_abstract_weight__11_learning_training_practice,-0.014628703329515406
LDA50_abstract_weight__1_anxiety_trait_personality,-0.016496850917817996
LDA50_abstract_weight__31_model_models_prediction,-0.0173094330514685
LDA50_abstract_weight__39_stimulation_tms_bpd,-0.018852718709270733
LDA50_abstract_weight__3_cortex_anterior_cingulate,-0.0200277273821968
LDA50_abstract_weight__25_spatial_body_human,-0.022118903306371857
LDA50_abstract_weight__13_fear_threat_smokers,-0.022723026206334578
LDA50_abstract_weight__46_hemisphere_language_stroke,-0.02515129390984299
LDA50_abstract_weight__32_pain_somatosensory_stimulation,-0.026237171988519218
LDA50_abstract_weight__29_stress_ptsd_trauma,-0.02911271165602717
LDA50_abstract_weight__27_disorder_adhd_group,-0.030081814024849884
LDA50_abstract_weight__14_disease_ad_pd,-0.030338042755535453
LDA50_abstract_weight__7_reward_feedback_striatum,-0.03459148588685997
LDA50_abstract_weight__35_schizophrenia_risk_genetic,-0.036597156860029775
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,-0.03698907461220009
LDA50_abstract_weight__10_food_taste_weight,-0.037073172674403854
LDA50_abstract_weight__17_motor_cortex_hand,-0.039641714743503816
LDA50_abstract_weight__34_frequency_hz_ms,-0.04248484734115288
LDA50_abstract_weight__36_placebo_treatment_dopamine,-0.04418723644761804
LDA50_abstract_weight__22_method_group_approach,-0.06146184023640397
LDA50_abstract_weight__49_depression_mdd_state,-0.06442262799824355
LDA50_abstract_weight__21_matter_volume_structural,-0.07648172284353752
