Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Acupuncture,4.294953295277634,0.0,0.0014863308457554,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.3748565279770446,0.0,0.0007497910044818,7.617464335020709,0.0,0.0024090427578803,0.0,-0.0,0.0,11.535017421602786,0.0,0.0039789491507253
Affective Pictures,0.0,-0.0,0.0,2.674219475746193,0.0,0.0037207749817251,0.0,-0.0,0.0,1.2520911996268302,0.0,0.0016058523655423,1.3885370354836004,0.0,0.0017945624151281,0.4429688702156271,-0.0,0.000598947962739,0.0,-0.0,0.0,2.888157033805889,0.0,0.0041828116073006,1.3371097378730967,0.0,0.0018827797995074,2.123644877798448,0.0,0.0030603892492029,1.6989159022387583,0.0,0.0022448607609448,1.362338223493344,0.0,0.0018031576553592,0.0,-0.0,0.0,0.0,-0.0,0.0
Affective Words,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Anti-Saccades,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.2800085061959905,0.0,0.0003486705819877,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.6051937831988985,0.0,0.0007311228523821,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Autobiographical Recall,4.01351760926229,0.0,0.0043725761295412,0.0,-0.0,0.0,0.0,-0.0,0.0,2.7259440409729425,2.255736151431325,0.0026298263417669,0.0,-0.0,0.0,1.1572719486829917,0.0,0.0011770415489422,2.357941595441596,0.0,0.0025975607411872,0.0,-0.0,0.0,1.7466234040308115,0.0,0.0018500021616192,1.3870244679068209,0.0,0.0015035552027653,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.694790394790395,0.0,0.0029263770793031
Chewing/Swallowing,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,2.1831640728040096,0.0,0.0015870023182129,0.0,-0.0,0.0,2.801040697182503,0.0,0.0018700989620217,0.0,-0.0,0.0,0.0,-0.0,0.0
Classical Conditioning,0.0,-0.0,0.0,7.416106630824372,0.0,0.0078529409597704,1.5522083645911475,0.0,0.0016291997232628,2.3148540928584747,0.0,0.0022595048753105,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.9630870493358632,0.0,0.002153051107717,1.5704696394686908,0.0,0.001579308889966,0.0,-0.0,0.0,0.0,-0.0,0.0,3.813997695852534,0.0,0.0041904942369945
Counting/Calculation,0.8553398183673733,-0.0,0.0019843146832807,0.744462434504936,-0.0,0.0016591256538888,0.0,-0.0,0.0,0.6971266727734082,-0.0,0.001432126838691,2.3192868151884545,3.27064321828096,0.0048012651478268,3.699475901527596,5.800484444845624,0.0080122818649793,1.005024286581664,0.0,0.0023575932204488,0.0,-0.0,0.0,0.0,-0.0,0.0,1.1823815136254867,0.0,0.0027293079206224,0.0,-0.0,0.0,0.7585088955333311,-0.0,0.0016080870994382,1.1823815136254867,0.0,0.0027024732919933,0.0,-0.0,0.0
Cued Explicit Recognition/Recall,0.5262400750284139,-0.0,0.0019560285843503,1.374071307018636,0.0,0.0049064252228431,0.8627889602210042,-0.0,0.0030537145215591,1.858570438395149,2.590510094409503,0.0061174190657143,1.5458302203959655,1.8794344294448797,0.0051272258436464,1.8208552289326712,2.4098428846517512,0.0063184544208926,1.8549962644751592,0.0,0.0069719582810991,0.0,-0.0,0.0,1.832095076024848,0.0,0.0066206410171603,1.0911742732206815,0.0,0.0040356030874636,0.8729394185765454,-0.0,0.002960200902599,0.9333314538239792,-0.0,0.0031703281330619,2.909798061921818,0.0,0.010655799812644,0.7066652436095843,-0.0,0.0026181715520206
Cued Speech,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
