Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Acupuncture,0.0215384765017117,2.0566350462575227,0.8597877624745992,0.0035451680672268,-0.4390914167251144,0.0,0.0056460084033613,-0.5552964009674165,0.0,0.0113576680672268,-0.7921603389989943,0.0,0.0136554621848739,-0.8706458319022046,0.0,0.0107011554621848,-0.7684106004545297,0.0,0.002626050420168,-0.3775616232683974,0.0,0.001641281512605,-0.2981946616577654,0.0,0.0035451680672268,-0.4390914167251144,0.0,0.0044642857142857,-0.493189113952894,0.0,0.0240332244008714,1.2863675380580957,0.7705382436260623,0.0403852513227513,4.211475585738154,0.917093142272262,0.0022321428571428,-0.3479573467979341,0.0,0.0392035286336756,5.357926376941252,0.9447373317620792
Affective Pictures,0.0031208499335989,-0.8424228037666022,0.0,0.0123024127678078,1.3596838485786744,0.719335116545663,0.0057104913678618,-1.1424788735546945,0.0,0.0245625168940756,0.2817919405086128,0.5404306220095694,0.0312449317773155,0.5386660528990705,0.5664635522455428,0.0151817508726157,-0.924928584931988,0.291453785415699,0.0026560424966799,-0.7768034824242785,0.0,0.0060184042590699,1.046336865653948,0.7352079671939075,0.0079440350691628,0.2281438164916939,0.5569938604926401,0.0132320276416458,1.0038696173512975,0.6687982946975752,0.0143608457027347,0.6717491144406803,0.6162281599083432,0.0078776340067458,0.2471564236875057,0.561688796061465,0.0022576361221779,-0.7158950011601241,0.0,0.0023240371845949,-0.7263943100641038,0.0
Affective Words,0.0030831802676462,-0.3609637217938927,0.0,0.003542377328785,-0.3870897829187133,0.0,0.005641563893991,-0.4895326009995441,0.0,0.0113487273681448,-0.6983447227161349,0.0,0.0136447126738388,-0.7675351720233949,0.0,0.0106927315665179,-0.6774076677262675,0.0,0.0026239832065074,-0.3328469681312303,0.0,0.0016399895040671,-0.2628794425304955,0.0,0.003542377328785,-0.3870897829187133,0.0,0.0044607714510627,-0.4347806852653953,0.0,0.0055759643138283,-0.4866459618759965,0.0,0.0034767777486224,-0.3834636058598128,0.0,0.0022303857255313,-0.3067487286395867,0.0,0.002295985305694,-0.3112475024160077,0.0
Anti-Saccades,0.0030843942774642,-0.3859624146805353,0.0,0.0035437721485759,-0.4138978470495109,0.0,0.0056437852736579,-0.5234353851618117,0.0,0.0321209038806492,0.6278325363131286,0.6485911296501234,0.0136500853130332,-0.8206911400241493,0.0,0.0106969418558866,-0.7243218178807118,0.0,0.0026250164063525,-0.3558984235329281,0.0,0.0016406352539703,-0.2810852678067096,0.0,0.0035437721485759,-0.4138978470495109,0.0,0.0044625278907993,-0.4648916027004712,0.0,0.0263458677866736,1.4291737735763583,0.7907628437986507,0.0034781467384171,-0.4100205375881699,0.0,0.0022312639453996,-0.3279927395959224,0.0,0.0022968893555584,-0.3328030778238739,0.0
Autobiographical Recall,0.0147416839188705,2.0611520164595136,0.7980571247558207,0.0035723736438211,-0.7820644636432547,0.0,0.0056893358031225,-0.9890368279676182,0.0,0.0405258160422147,2.255736151431325,0.7257537929710005,0.0137602540354591,-1.550704795434659,0.0,0.0224156717463381,0.1413559376633247,0.524842887399743,0.008462400572825,0.8392079009816249,0.6951163432355376,0.0016538766869542,-0.5311136570830708,0.0,0.0093885715175194,0.5201836181923432,0.6265439774517119,0.0103147424622137,0.2831301396122704,0.5702859729872481,0.0056231807356443,-0.9832047497844468,0.0,0.0035062185763429,-0.7747382454329439,0.0,0.0022492722942577,-0.6197458329380542,0.0,0.0081316252354342,0.9866897039277416,0.7233920367534457
Chewing/Swallowing,0.0030978117585025,-0.5961003672331763,0.0,0.0035591879778539,-0.6392452975698449,0.0,0.0056683364091747,-0.8084207514766869,0.0,0.0114025837068283,-1.153255910587426,0.0,0.0137094648035855,-1.2675179534212964,0.0,0.0107434748220406,-1.1186801750918576,0.0,0.002636435539151,-0.5496679803428183,0.0,0.0016477722119694,-0.4341226632186516,0.0,0.0035591879778539,-0.6392452975698449,0.0,0.0131879593526394,0.6978111877247788,0.665146865409908,0.005602425520696,-0.8036537166260243,0.0,0.0121992960254577,0.968855928681331,0.7190521327014219,0.0022409702082784,-0.5065689950270825,0.0,0.0023068810967571,-0.5139983308254179,0.0
Classical Conditioning,0.0031096996162498,-0.7336060347406824,0.0,0.0208162153678554,3.0975177334320283,0.837897771371549,0.0114378783262707,0.0332262256050747,0.5083069886325419,0.0286897101409135,0.7680234265126411,0.6079482985170684,0.013762074897446,-1.559903115121352,0.0,0.0107847029244409,-1.3767321285194425,0.0,0.0026465528648934,-0.676462840234217,0.0,0.0016540955405584,-0.5342640653504611,0.0,0.0035728463676061,-0.7867034374655919,0.0,0.0102469295370686,0.2712230972015116,0.5673849388092199,0.0113717145046483,0.045054618839017,0.511264461132535,0.0035066825459838,-0.7793337623075811,0.0,0.0022495699351594,-0.6234219809145384,0.0,0.0080635234235315,0.9736458545753712,0.7210189867379067
Counting/Calculation,0.0058447145093149,-0.1087770697312507,0.4726374461616417,0.0063137576612849,-0.2504144081722729,0.4375256523013779,0.005762530152774,-1.4525065830881128,0.0,0.0196783407940933,-0.5547955094048034,0.4211377831289036,0.0462823795258777,3.27064321828096,0.7162374020156774,0.0513533764443345,5.800484444845624,0.8068887959745671,0.0053756713573449,0.0549727642075305,0.513876454789615,0.0016751541141785,-0.7799973281747363,0.0,0.0036183328866255,-1.1485454835644358,0.0,0.0099472687398842,0.3121360559589792,0.5554149609229623,0.0056955239882069,-1.4439415512160956,0.0,0.0062467514967178,-0.2312814538211476,0.4422187981510015,0.0049736343699421,0.2202198523826935,0.5554149609229623,0.0023452157598499,-0.9235116217099516,0.0
Cued Explicit Recognition/Recall,0.0048521129072346,-0.599885685633173,0.3553375537621417,0.0086403860493253,0.6798078267549444,0.5986322559635269,0.0108163686414646,-0.1493443447435993,0.4782024323093932,0.0332937060641445,2.590510094409503,0.6732141222207354,0.0356736870242969,1.8794344294448797,0.6283004357856959,0.0309575730290709,2.4098428846517512,0.6683229060942542,0.0076883936652644,1.2298998080976764,0.6727561072310836,0.0016999864001087,-0.9945993382231396,0.0,0.0102965245243555,1.394592696735428,0.6697941337219895,0.0095923784333863,0.2676853416370645,0.5392211982693295,0.0107483691854603,-0.128548973058642,0.4812277754750322,0.0069162481182909,-0.0079290491726181,0.4985760781122864,0.0089365354042684,2.4379199130374323,0.7717254408060454,0.0040361194351824,-0.2908611438285754,0.4271771335618428
Cued Speech,0.0030759162303664,-0.1362706504161586,0.0,0.0035340314136125,-0.1461337339543001,0.0,0.0056282722513089,-0.1848078405403077,0.0,0.0113219895287958,-0.2636383764725184,0.0,0.0136125654450261,-0.2897590832372559,0.0,0.0106675392670157,-0.2557342411564013,0.0,0.0026178010471204,-0.1256560426928105,0.0,0.0016361256544502,-0.0992419748905467,0.0,0.0035340314136125,-0.1461337339543001,0.0,0.0044502617801047,-0.164137954016688,0.0,0.0055628272251308,-0.183718079527961,0.0,0.0034685863874345,-0.1447647833465082,0.0,0.0022251308900523,-0.1158034623488123,0.0,0.0022905759162303,-0.1175018347656894,0.0
