Feature,aMPFC_r,dACC_r,dMPFC_r,lAI_r,ldLPFC_r,lIPL_r,lTPJ_r,pACC_r,PCC_r,rAI_r,rdLPFC_r,rIFG_r,rIPL_r,rTPJ_r
 abnormal disorder abnormalities,-0.0191546790111286,-0.0051606568349221,-0.0198662625319288,-0.0365199116511999,-0.0327966703296478,-0.0326486529461458,-0.0191116793760027,-0.0012507651039587,-0.0180875549669966,-0.010290813652829,-0.0350971842642164,-0.0266597136881243,-0.0045490889611911,-0.0348374890920438
 abstract concrete concepts,-0.0118817374618974,-0.0132801403307649,-0.0061318730110933,0.007353026401307,0.0204602045971001,0.0214348678837796,0.0100883390577591,-0.0035870161182124,0.0311898555418076,-0.0144162172633739,0.0006833735240797,0.0118304479098166,0.0146877472775613,0.0100703295252697
 acc cingulate anterior,0.0335201295098498,0.0686107331112891,0.0546045582194273,0.0263781848332409,-0.0142617928702774,-0.0115388644134713,-0.0056076463117306,0.0362846311668584,-0.0071946130710594,0.0370649093886058,-0.004135296002442,0.008171800941922,-0.0060443987375628,-0.004554201098198
 action actions observation,-0.0131663860844156,-0.0113528148331397,-0.0128712900965846,-0.0060781611015676,0.0483073380132183,0.0230289920380363,0.007085772375602,-0.009358027779674,-0.0112209923676259,-0.0162754479046911,0.0199710717325789,0.0232598389974027,-0.0044507233998637,0.0316311200027259
 acupuncture stimulation sa,0.0055679572861139,0.0104251939374471,0.0017901954386211,-0.0006490656805981,-0.010402554545982,-0.011512174790049,0.0003940582886014,0.009423162981032,0.0111314281389585,0.0036655070825378,-0.0099247430610418,0.0074904124274438,-0.0041210679548533,0.0054264274458761
 ad mci disease,0.0150845945535536,0.0111012021530037,-0.0039658109936865,-0.0133803109556169,-0.0227013624513851,-0.0114728040296813,0.027601050297587,0.013040537147749,0.0499278677270094,-0.0068053662468717,-0.0011720899246213,-0.0118033659122725,0.0036303910904126,0.0067365041949711
 adaptation repeated code,-0.0236306898958605,-0.0232501763937079,-0.0103168212037362,-0.0244555919303802,-0.0033163767109965,0.0018302529918043,-0.0011947439464344,-0.0154948381821321,-0.0286999188399528,-0.0210171310882835,-0.0063244141372454,0.0004984048177051,-0.0103184425205484,-0.0128412678287709
 adhd disorder attention,-0.0017297267932145,-0.0086903907854289,-0.0005450907030507,-0.0071528853096871,-0.0202218691887611,-0.0118077745538267,-0.0031410036659105,-0.0061102100113794,-0.0141828787295967,0.0044382438397852,-0.0047775580235479,-0.01378034483293,0.0034072235699252,-0.0056856932741022
 adolescents adolescent youth,0.0231310689839433,0.0100785966667662,0.0053456318068818,-0.0010176044593494,-0.0179814391196594,-0.0165088104438887,-0.0036662370107921,0.0190742672056912,0.0018909114625929,0.0180771396797368,-0.0245003772640443,-0.0101949625903927,0.0058671954639,-0.0042465947397867
 adults older age,0.0214927960792775,0.0244782502593591,0.0368792801096401,0.0181802588313542,0.038599346649826,0.0135755826544783,0.0244535112502355,0.0221007073860713,0.0159552705757382,0.0186817475443702,0.0270513973205858,0.0116004792350852,0.0286529709363867,0.0045636041594212
