Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA100_abstract_weight__71_reasoning_mind_mental,1.9750401314411192e-10,6.363269255930049,2.144253566977797,1.1418844893463986e-14,7.722367665012506,0.0098006167133432
LDA100_abstract_weight__92_social_empathy_moral,1.4070036247204598e-09,6.05467623383806,1.9818742739722621,8.094202623823236e-13,7.159550496145771,0.010891775046433409
LDA100_abstract_weight__67_network_state_resting,0.0001073394957410434,3.873372676465295,1.3360688872033426,0.00010639047792990251,3.8755354746134443,0.021977711281782424
LDA100_abstract_weight__41_memory_retrieval_episodic,0.004618785029769312,-2.832484189230206,1.4452970428423124,0.0004145199247059801,3.530662740682366,0.005683374572640899
LDA100_abstract_weight__57_face_faces_fusiform,0.004066185767114816,-2.872980994815329,1.4605299927375082,0.0011361034706121676,3.2544545262432742,0.005813072199693098
LDA100_abstract_weight__9_imagery_mental_events,0.03386517015994406,-2.1216734440349225,1.3152900655136237,0.006153558511909343,2.739484666556077,0.004561544695267952
LDA100_abstract_weight__10_schizophrenia_symptoms_risk,0.00011535484781710625,-3.8557934737777604,1.6992572518317774,0.011671179841661902,2.52193341381109,0.00796971060200015
LDA100_abstract_weight__29_integration_human_order,0.05852977788367131,1.8917088924127192,1.0936269495356543,0.022378592752029237,2.283879856944635,0.03647207348195135
LDA100_abstract_weight__2_model_approach_method,0.14424126054615272,1.4601776340613428,1.0602143605253556,0.0960457077433894,1.6643339685027263,0.03769565902432573
LDA100_abstract_weight__40_ad_disease_mci,0.02795334554273976,-2.1979405106111645,1.388318278394195,0.1403446995515195,1.4745086161987297,0.00429352430752027
LDA100_abstract_weight__94_network_control_frontoparietal,0.2864816994088164,-1.065871576313972,1.0627907532905456,0.1654670975464225,1.3869169208515768,0.006823909358716645
LDA100_abstract_weight__64_ms_spatial_virtual,0.1399221268828863,-1.4760810817886636,1.2106345643970646,0.17443765010373127,1.358082050464149,0.0029175241318659846
LDA100_abstract_weight__43_prefrontal_cortex_pfc,0.10173220863870036,1.636513280050255,1.082224380345899,0.18306991018066068,1.3313620500959524,0.030410205993271308
LDA100_abstract_weight__30_emotional_negative_positive,0.10916973096846616,1.6019361434614927,1.1374820130649737,0.2010491476586807,1.2785682184382479,0.0100951917544841
LDA100_abstract_weight__32_object_objects_visual,0.17534474767314312,-1.355228561008088,1.1028808266399637,0.22367832167121035,1.2168052510447822,0.009219642018414203
LDA100_abstract_weight__19_judgments_judgment_ppc,0.07470687975317747,-1.78225977087603,1.2576228797820974,0.2421310168928124,1.1696769017827577,0.004503214196404702
LDA100_abstract_weight__80_pictures_images_aversive,0.12311121635800326,-1.5418451954642776,1.1962581431120247,0.24455752626399604,1.1636706049856484,0.004287566736157941
LDA100_abstract_weight__36_task_difficulty_demands,0.13392775518121147,1.4987914044940727,1.0762017782646771,0.28112934822223856,1.0777858218864738,0.02617063755705297
LDA100_abstract_weight__83_cortex_anterior_cingulate,0.4646253018812232,0.7312519042106461,1.0027621364207135,0.35559783079880125,0.9237858365451634,0.04909127727201665
LDA100_abstract_weight__18_number_numerical_numbers,0.1391829956570455,-1.478840324440062,1.2457742124131663,0.3740977887503235,0.8888237890256531,0.0023260730512052576
LDA100_abstract_weight__28_phase_problem_problems,0.24798603981732303,-1.1552549462862993,1.128041284510646,0.4192355725695529,0.8077481611645659,0.0022679682787913776
LDA100_abstract_weight__25_feedback_error_learning,0.2622881451028045,-1.1209993358766734,1.0797956752213997,0.44867671480844995,0.7576229871491275,0.005971085432677454
LDA100_abstract_weight__75_stress_alcohol_users,0.43776733370211207,-0.7759689257677311,1.0025021876871048,0.4585479604673731,0.7412399566647279,0.002939511608387011
LDA100_abstract_weight__42_context_influence_modulation,0.24637959171924184,1.159187926458534,1.0404320083139906,0.522825242764406,0.6389964477655744,0.032599111332873854
LDA100_abstract_weight__76_memory_recognition_items,0.3938657805727156,-0.8526277286334454,1.027245395879045,0.5376425204472477,0.6163818636035204,0.0034293336815312144
