feature,r
PC.Self-Reflection,0.1588570621727268
BD.Cognition.Social Cognition,0.1452015731798762
PC.Theory of Mind,0.14150977100891368
ST.Stories,0.10363979574481608
ST.Vignettes,0.07848126747025545
Instruct.Choose,0.07757534794973535
Instruct.Answer,0.07647450688013004
PC.Semantic Monitor/Discrimination,0.06291907275222042
ST.Words,0.05584181336583467
BD.Cognition.Memory.Explicit,0.04766618960429284
PC.Autobiographical Recall,0.04604319169260237
RT.Button Press,0.03817397282855067
BD.Cognition.Language,0.03537148519349628
ST.Music,0.03532022623651784
RT.Whistle,0.03295404399234156
PC.Whistling,0.03295404399234156
PC.Imagined Objects/Scenes,0.03152090385007683
ST.Pseudowords,0.030736914821607963
PC.Music Comprehension,0.029320788940196303
BD.Cognition.Reasoning,0.027381200453895707
PC.Thirst Induction,0.02708285334470247
BD.Action.Motor Learning,0.02687625603840508
Instruct.Discriminate,0.023558702180938498
ST.Acupuncture,0.023002922397553076
RM.Hand,0.022881342731625152
PC.Divided Auditory Attention,0.022656914720113684
ST.Sounds (Environmental),0.02255620063224058
PC.Acupuncture,0.022166011139537648
SM.Visual,0.021425272529505768
BD.Cognition.Language.Orthography,0.019064688278377647
PC.Cued Explicit Recognition/Recall,0.01853413024361594
PC.Fluency Induction,0.0182682919010714
PC.Cued Speech,0.0182682919010714
PC.Drawing,0.017491250795077455
BD.Emotion,0.01708620894416703
RT.Draw,0.016936545386274617
BD.Cognition.Language.Semantics,0.016292717560390406
PC.Delay Discounting,0.015749948509440892
PC.Orthographic Discrimination,0.01493286625897756
Instruct.Encode,0.014667496181957467
ST.Symbols,0.01298184983203911
PC.Stroop-Color Word,0.012899161986872736
PC.Pointing,0.01248952686052239
Instruct.Inhibit,0.011992585221856826
PC.Gambling,0.01168875602984948
PC.Wisconsin Card Sorting Test,0.010920531568533492
ST.Infusion,0.010593342228964239
SM.Auditory,0.010313798022141041
PC.Estimation,0.010041473449310997
BD.Action.Preparation,0.009781776139559887
PC.Reasoning/Problem Solving,0.009623550051900449
PC.Stroop-Emotional,0.009553695506174404
PC.Emotion Induction,0.008698050423767006
BD.Interoception.Thirst,0.008359830123825312
PC.Face Monitor/Discrimination,0.007835588613893798
BD.Cognition.Soma,0.007540525729947662
BD.Emotion.Sadness,0.0075256775598807335
BD.Pharmacology.Alcohol,0.007065877841688284
BD.Interoception.Sexuality,0.006427135610388687
ST.Interactive Computer Program,0.005965123141825109
ST.Interactive Computer Game,0.005965123141825109
BD.Action.Imagination,0.005790766735632405
PC.Hand-Eye Coordination,0.005396300367465586
Instruct.Recall,0.005366508550922467
ST.Video,0.005232107239015396
PC.Fixation,0.004935634381774053
SM.Interoceptive,0.0048307232682486415
PC.Saccades,0.004824005722330273
RT.Point,0.004805350352991119
ST.Uniform Screen,0.004675916074810477
RT.Grasp,0.004654253510737267
PC.Reading (Overt),0.0045406350141860945
BD.Perception.Vision.Color,0.003182712791482124
BD.Cognition.Time,0.0029087197668482096
PC.Flanker,0.002686755865020656
Instruct.Generate,0.00251865192464544
PC.Micturition,0.0018593232539551971
RM.Arm,0.0017951592794516547
Instruct.Read,0.0014489561481374263
ST.Dots,0.0014218610330737316
ST.Faces,0.0013717893650073568
PC.Passive Listening,0.0012688220412658238
BD.Interoception.Hunger,0.000660913316471063
RT.Drink,0.00048047186728186297
PC.Reading (Covert),0.00042579427436104366
ST.Not Defined.,0.00020283387098297362
RM.Not Defined.,0.00020283387098297362
RT.Not Defined.,0.00020283387098297362
Instruct.Not Defined.,0.00020283387098297362
BD.Not Defined.,0.00020283387098297362
SM.Not Defined.,0.00020283387098297362
PC.Film Viewing,-0.0008768735540404255
BD.Perception.Vision.Motion,-0.0010139098816847208
PC.Naming (Overt),-0.0012202658920251988
BD.Interoception.Bladder,-0.0013372318764231668
PC.Episodic Recall,-0.0015058344802666268
RT.Saccades,-0.0017938341333574943
Instruct.Maintain,-0.0021184648321056275
Instruct.Add,-0.002118464832105628
ST.Arrow,-0.0021184648321056283
RM.Wrist,-0.002118464832105629
PC.Multi-Tasking,-0.002118464832105629
BD.Pharmacology.Caffeine,-0.0021184648321056327
Instruct.Track,-0.0025757819227180696
RM.Ocular,-0.0026029540183069855
BD.Emotion.Happiness,-0.002797296935412755
PC.Passive Viewing,-0.0028640668684407713
ST.Heat,-0.0028925089613442614
RT.Unknown,-0.0029961577356917217
RM.Unknown,-0.0029961577356917217
ST.Spinner,-0.0029961577356917225
ST.Faces and Scenes,-0.0029961577356917234
ST.Letters and abstract objects,-0.0029961577356917234
RT.Breath-Hold,-0.002996157735691725
BD.Interoception.Thermoregulation,-0.0029961577356917264
PC.Figurative Language,-0.003029384896995142
ST.Pictures,-0.003072419685654335
RM.Pelvis,-0.003253754396880459
PC.Pitch Monitor/Discrimination,-0.0032775525539602396
BD.Perception.Vision,-0.003335843699469383
ST.Instruction,-0.0036697689652205223
Instruct.Predict,-0.00366976896522053
ST.Playing Cards,-0.0036697689652205336
PC.Visual Motion,-0.00366976896522055
RM.Shoulder,-0.0036697689652205583
ST.Braille,-0.00366976896522057
ST.Asian Characters,-0.004024282981559071
PC.Luminance,-0.0042377615493590206
ST.Blurred disk,-0.0042377615493590206
PC.Physical Size,-0.0042377615493590206
ST.Abstract Patterns,-0.004237761549359026
PC.Stroop-Counting,-0.004237761549359041
ST.Air Puff,-0.004237761549359042
PC.Word Generation (Overt),-0.004283373146934695
PC.Deception,-0.0043051354804083475
PC.Affective Pictures,-0.0046836987783960456
PC.Phonological Discrimination,-0.004699785826336925
BD.Perception.Olfaction,-0.004719944668431696
ST.Film Clip,-0.004738271595453673
PC.Trauma Recall,-0.004738271595453677
RM.Other,-0.004738271595453679
RT.Blink,-0.004738271595453717
PC.Finger Tapping/Button Press,-0.004819118926633531
PC.Olfactory Monitor/Discrimination,-0.005164001691820252
ST.Odor,-0.005164001691820253
ST.Cartoons,-0.00519085628863465
PC.Magnitude Comparison (Non-symbolic),-0.005190856288634654
ST.Animations,-0.005190856288634665
PC.Word Stem Completion (Covert),-0.00519085628863467
PC.Driving,-0.005190856288634676
RT.Micturate,-0.005190856288634676
BD.Emotion.Happiness.Humor,-0.005190856288634682
BD.Emotion.Fear,-0.00548531683079572
SM.Olfactory,-0.005596571924417175
ST.Scenes,-0.0056071327166727
PC.Meditation,-0.0056071327166727246
PC.Digit/Numerical,-0.005607132716672772
PC.Magnitude Comparison (Symbolic),-0.005607132716672772
PC.n-back,-0.0057384157387150095
RT.Smile,-0.005808242576171443
PC.Writing,-0.005994669553372162
Instruct.Update,-0.00599466955337227
PC.Sexual Arousal/Gratification,-0.006358723671242061
