feature,r
LDA400_abstract_weight__173_network_default_dmn,0.1612992000498892
LDA400_abstract_weight__366_mental_mentalizing_states,0.08974281935586849
LDA400_abstract_weight__280_pcc_cingulate_precuneus,0.08615095238727918
LDA400_abstract_weight__70_mpfc_medial_prefrontal,0.08414128309013737
LDA400_abstract_weight__108_tom_mind_theory,0.081980419226289
LDA400_abstract_weight__272_retrieval_memory_episodic,0.08030495256452012
LDA400_abstract_weight__94_events_future_past,0.07476652821240322
LDA400_abstract_weight__236_social_cognition_interactions,0.06387483010973573
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.05720980408282929
LDA400_abstract_weight__198_ad_mci_disease,0.049927867727009426
LDA400_abstract_weight__358_autobiographical_memories_memory,0.04765321805746624
LDA400_abstract_weight__285_junction_tpj_temporoparietal,0.04679071445645021
LDA400_abstract_weight__314_people_person_situation,0.04558955443731444
LDA400_abstract_weight__183_moral_psychopathy_harm,0.045530463398447345
LDA400_abstract_weight__167_state_resting_seed,0.04465196554931825
LDA400_abstract_weight__33_network_identified_core,0.04437215165266459
LDA400_abstract_weight__62_familiar_unfamiliar_familiarity,0.04230030895030236
LDA400_abstract_weight__394_identified_independent_multiple,0.04155876941482006
LDA400_abstract_weight__97_evaluation_evaluations_esteem,0.037363635867009214
LDA400_abstract_weight__330_salience_network_sn,0.035865972066383416
LDA400_abstract_weight__228_independent_model_approach,0.03536158844313187
LDA400_abstract_weight__220_question_unique_questions,0.034480888109380874
LDA400_abstract_weight__63_negative_positive_valence,0.034416922145047164
LDA400_abstract_weight__5_judgments_judgment_judged,0.03344799078279773
LDA400_abstract_weight__67_cortex_lateral_prefrontal,0.03187771447083647
LDA400_abstract_weight__383_abstract_concrete_concepts,0.03118985554180767
LDA400_abstract_weight__310_common_suggest_overlap,0.030518311944638075
LDA400_abstract_weight__254_empathy_social_empathic,0.03024286701596144
LDA400_abstract_weight__298_asd_autism_spectrum,0.028600887563543106
LDA400_abstract_weight__204_faces_face_facial,0.027195144866467593
LDA400_abstract_weight__12_structures_pattern_contrast,0.026917447007389458
LDA400_abstract_weight__20_emotional_emotion_amygdala,0.026777939478472648
LDA400_abstract_weight__260_social_partner_interaction,0.026623578963742282
LDA400_abstract_weight__322_task_difficulty_demands,0.02563168520951772
LDA400_abstract_weight__329_items_recognition_item,0.0252821264791547
LDA400_abstract_weight__389_intrinsic_extrinsic_hp,0.023579798090425624
LDA400_abstract_weight__237_medial_prefrontal_cortex,0.023553599237344222
LDA400_abstract_weight__315_status_engaged_thought,0.022188452026840225
LDA400_abstract_weight__81_vmpfc_ventromedial_prefrontal,0.021073888963359894
LDA400_abstract_weight__364_network_graph_local,0.020346719873991198
LDA400_abstract_weight__146_creative_creativity_thinking,0.019797842380936015
LDA400_abstract_weight__199_versus_implicated_correlates,0.019379516180716864
LDA400_abstract_weight__82_comprehension_sentences_language,0.01900086011979443
LDA400_abstract_weight__158_significance_principal_methodology,0.01891620950956597
LDA400_abstract_weight__226_physical_itch_sc,0.01877180418268925
LDA400_abstract_weight__47_fc_resting_state,0.018720927716364216
LDA400_abstract_weight__296_effort_fnc_reporting,0.01821522566792731
LDA400_abstract_weight__362_schizophrenia_abnormalities_symptoms,0.018047375170140646
LDA400_abstract_weight__356_semantic_word_temporal,0.01798536388719539
LDA400_abstract_weight__369_fitness_heuristic_pbd,0.01788038298373338
LDA400_abstract_weight__72_cognitive_control_cognition,0.01699437151310887
LDA400_abstract_weight__205_task_performance_rest,0.01681519802186994
LDA400_abstract_weight__145_gyrus_temporal_frontal,0.01660241129868626
LDA400_abstract_weight__144_decision_making_choice,0.016041543929512403
