Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Theory of Mind,1.6796762203341586e-08,5.642121370079851,9.47373692569646,3.932640854662742e-16,8.14061838755882,0.023799655635738704
BD.Cognition.Social Cognition,6.096968682145487e-07,4.988120026564666,5.939513794312648,2.302180419103996e-11,6.685448774445608,0.023904178571703575
PC.Face Monitor/Discrimination,0.00022090218596193534,3.693829224551696,3.7028919765360904,8.506305442587149e-05,3.929668490833735,0.0210250990276141
BD.Emotion,0.0005777438011338454,3.4418531475015466,2.2719652589659662,0.00026298730594599343,3.6492692922140058,0.03992385063262452
PC.Film Viewing,0.0052234636101758936,2.7929198288973054,3.220724007432702,0.000549123380790994,3.455573536130048,0.008256135030361099
PC.Emotion Induction,0.0007041726264548354,3.3879493657899142,4.831086011149052,0.0011355645716396557,3.254589289638029,0.013313017736457268
ST.Video,0.006844480687234533,2.7043177368551996,3.0400187329543886,0.0014768940549245264,3.179185768213639,0.008611163089812988
ST.Faces,0.0018861688429068213,3.1075941674432546,2.967340033388233,0.003785561153696373,2.895499099958882,0.01913059959480581
Contrast.Stimulus Type,0.18986464539135328,1.310979630962883,1.1323403913279186,0.06535727633759199,1.8428064391411816,0.08124622185452587
RT.Button Press,0.09429724062127742,1.6731526925610318,1.243890339318287,0.07741561342562958,1.7658822038399853,0.06740783125639846
ST.Pictures,0.06019584564130864,1.8793563982450388,1.4921926872862243,0.21243304344445682,1.246903063173384,0.029759647386539037
RM.Hand,0.23070439954908428,1.1985463255825741,1.117275448280808,0.34063710756820453,0.9529071687537477,0.06713378594693517
ST.Words,0.137237691549853,1.4861566474425298,1.254944286613835,0.36297596373563934,0.90970906219306,0.03948837144861693
SM.Visual,0.3548479574454064,0.9252267775449561,1.04394192305506,0.4036300912138375,0.8351556244596059,0.07735218554639652
PC.Finger Tapping/Button Press,0.14727119859130267,1.4492377500629599,1.4135507534126668,0.433093415403756,0.7839091585484164,0.010544540814002244
