Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
LDA400_abstract_weight__366_mental_mentalizing_states,1.3965519851666386e-08,5.673811011317636,2.4915304125152686,5.261473231068268e-12,6.898337219638649,0.004657504561583903
LDA400_abstract_weight__70_mpfc_medial_prefrontal,1.2970862162120511e-09,6.067757415326387,2.761262624523607,4.147301294597072e-11,6.598717350407143,0.005036843949751197
LDA400_abstract_weight__173_network_default_dmn,6.405730301750623e-08,5.40708903960445,1.975426654568255,5.0350707259228207e-11,6.569895140520733,0.00706781314617461
LDA400_abstract_weight__108_tom_mind_theory,3.575622279472501e-05,-4.133318790578523,2.6799733739214813,1.1232802489428371e-07,5.305559328962115,0.0017978601293355784
LDA400_abstract_weight__236_social_cognition_interactions,3.95572734168681e-06,4.613695026454637,2.0020255431293714,2.3087319596643706e-07,5.1725884128532345,0.004974850869260881
LDA400_abstract_weight__183_moral_psychopathy_harm,1.3012249921340313e-05,-4.359898982397105,3.1789281958840316,3.358034829041074e-07,5.102157284739618,0.0017332236760376392
LDA400_abstract_weight__20_emotional_emotion_amygdala,6.0902598360113025e-05,4.009286075393877,1.6623242728161318,6.283520405107442e-06,4.516617679695777,0.006390301335795178
LDA400_abstract_weight__314_people_person_situation,0.0001569118472131148,3.7798674852627663,2.1110092531187017,1.014373506188964e-05,4.4140865997948655,0.002583052652422746
LDA400_abstract_weight__254_empathy_social_empathic,0.0003917107912617679,3.54560641507413,2.0186236904716046,4.017747569117497e-05,4.106456687277946,0.0024750806134722853
LDA400_abstract_weight__285_junction_tpj_temporoparietal,0.0002562852996481624,-3.6558959483334075,2.1432385144127326,0.00012315436625317603,3.839760552624639,0.0024717090700439263
LDA400_abstract_weight__97_evaluation_evaluations_esteem,0.0009624068127338514,-3.3012919506051253,2.127054882387327,0.0005625952743615739,3.449034280667271,0.0019239569811989312
LDA400_abstract_weight__167_state_resting_seed,0.00023754655996122143,3.675325284234773,1.6489342936144193,0.0012069068087604208,3.2372427935171664,0.0059783844837734594
LDA400_abstract_weight__94_events_future_past,0.012305237630834465,-2.503267855551728,1.63658949200058,0.0013731639348738888,3.200233287523082,0.0017846113411196384
LDA400_abstract_weight__291_infant_attachment_child,0.00032385674392509944,-3.5954295658679256,2.9444578107200106,0.0013847327100897633,3.1978146107238326,0.0014870157007353653
LDA400_abstract_weight__251_likelihood_consistency_estimation,0.00411210345053592,-2.869431535514657,2.0240878291940887,0.0013956629601357337,3.1955464901503503,0.0013985442370084886
LDA400_abstract_weight__162_race_cultural_chinese,0.0015801149983080132,-3.1595527388682014,2.3028435793325306,0.0018590204084930064,3.111876835842293,0.0014754305805214506
LDA400_abstract_weight__5_judgments_judgment_judged,0.00095560892295532,-3.303280077903677,1.9808262550737348,0.0029518709939215155,2.972705949665875,0.0025481823628744284
LDA400_abstract_weight__39_dmpfc_balance_dorsomedial,0.0027090314669783178,-2.998959688996143,2.406844435713381,0.0030153916430872823,2.9661644925683386,0.0011429414569291553
LDA400_abstract_weight__246_interaction_ppi_psychophysiological,0.007458598094406521,-2.6756432958882015,1.9384227851724631,0.003288653580040753,2.939383990169063,0.0012955205412670718
LDA400_abstract_weight__266_ofc_orbitofrontal_cortex,0.003509413859849264,-2.919190768979091,2.0111876523007153,0.004639885220261558,2.831026668408243,0.001652397416666689
LDA400_abstract_weight__148_beauty_aesthetic_art,0.004977924703289505,-2.808458828912776,2.9454738417105975,0.009637417216321007,2.5885742331969905,0.0006586570391013057
LDA400_abstract_weight__153_women_men_sex,0.0035560898399463747,-2.9150698136368893,1.9284546712728314,0.010805231580222667,2.5489353923252906,0.001972050377138802
LDA400_abstract_weight__63_negative_positive_valence,0.004443098332606588,2.844859736978912,1.5111755779701865,0.011817716458636095,2.5175411485472567,0.0044537629604156385
LDA400_abstract_weight__81_vmpfc_ventromedial_prefrontal,0.007396428694134816,-2.6784476780294497,1.989311633010739,0.01643311128281234,2.3991515624145143,0.0013795138499319212
LDA400_abstract_weight__231_age_young_adults,0.019567885946021213,-2.3345319339443416,1.5322532852991348,0.01798054947976681,2.366018426436746,0.002221368121212665
LDA400_abstract_weight__250_gestures_gesture_communicative,0.03885665426436058,-2.0657017044339607,1.6553101883867574,0.018684156572046303,2.3517733339350695,0.000931625928646733
LDA400_abstract_weight__67_cortex_lateral_prefrontal,0.04034101422678926,2.0502400223132216,1.2837214982754288,0.019284140508925924,2.3399922411364567,0.004434939229025049
LDA400_abstract_weight__122_modulation_modulated_modulate,0.012092194320192706,2.5094423755560133,1.4250273255007073,0.01993582431798546,2.327553513292744,0.004196284883758631
LDA400_abstract_weight__305_updating_cold_endogenous,0.021120436720241442,-2.3058245705838263,2.003399212175629,0.022941706451858255,2.27440401202185,0.0007500115090198737
LDA400_abstract_weight__204_faces_face_facial,0.025891068231577052,-2.227841771676112,1.608324867430191,0.026854287879351,2.213629331474703,0.0015274947893765393
LDA400_abstract_weight__144_decision_making_choice,0.01485730921599937,2.4358386709153055,1.4052524450080697,0.028488202507823385,2.190497132874063,0.004222791998132888
LDA400_abstract_weight__237_medial_prefrontal_cortex,0.03412199261702609,-2.1186271117412714,1.6899894731110587,0.033852947175564425,2.121818920296869,0.0010148364584295286
LDA400_abstract_weight__343_light_shed_impact,0.021894249384951547,-2.292197496017523,1.7665528131782515,0.036685734740996276,2.0892443308939095,0.0011984075889556692
LDA400_abstract_weight__8_arousal_subjective_ratings,0.01736026834391391,2.378987421550301,1.4994115219668942,0.04077594929740126,2.0458010439126104,0.0028104368546178534
LDA400_abstract_weight__315_status_engaged_thought,0.051075743381809535,-1.9508428448486455,1.582655999292921,0.04959924576782978,1.9634040314052543,0.000994124318418318
LDA400_abstract_weight__370_acc_cingulate_anterior,0.01967997395687049,2.3323939906293587,1.4366714118113795,0.05496552283840268,1.9191486592525007,0.003367853985840294
LDA400_abstract_weight__205_task_performance_rest,0.14703527075048128,1.4500833743803465,1.1893193993865727,0.0612277718443035,1.8718470139901875,0.0026057284124496437
LDA400_abstract_weight__348_facial_emotion_expressions,0.03150990679328747,-2.1505731462091573,1.4724597780399327,0.07121866865494768,1.8040806245929932,0.0022641699553776597
LDA400_abstract_weight__224_limbic_amygdala_paralimbic,0.0662441040330487,-1.8367683236213685,1.4066119410425564,0.0717079166098663,1.800968045784485,0.0015868460736102796
LDA400_abstract_weight__238_adults_older_age,0.07712237511029785,1.7676324162198405,1.2897713529316535,0.07454997063522885,1.7832232411914197,0.002647579098246139
LDA400_abstract_weight__223_humor_lc_na,0.03169024175740409,-2.148296084454746,2.143857543017207,0.07643048537017592,1.7717836034414265,0.0005063349873904931
LDA400_abstract_weight__280_pcc_cingulate_precuneus,0.016011539849187795,-2.408652397544234,1.6126319038157089,0.07809525573922632,1.7618463821835912,0.0022325490383737763
LDA400_abstract_weight__362_schizophrenia_abnormalities_symptoms,0.0062480554423394175,2.734471234217739,1.5797184551877916,0.08198883640357653,1.7392611569726224,0.0036793710479856288
LDA400_abstract_weight__181_females_males_sex,0.04768826262840886,-1.9801358780214842,1.5720042713217885,0.088238566410532,1.7047633662520298,0.001184920292579045
LDA400_abstract_weight__278_prediction_predictive_predictions,0.05427761303759149,1.9246144280069961,1.3523420775154167,0.09350476633123972,1.6771929033266297,0.0025959365928232047
LDA400_abstract_weight__293_temporal_sts_superior,0.08261029076479065,-1.7357373240015312,1.3177250354503538,0.0964665434198205,1.6622306166751482,0.0020858328710433834
LDA400_abstract_weight__338_reward_striatum_monetary,0.02634918832290367,2.2210261788816097,1.3701179891514637,0.09691008190786461,1.6600217261268315,0.003962300897347469
LDA400_abstract_weight__341_matching_match_task,0.060026945198992876,-1.880595640701856,1.4400342790371035,0.10018057123591996,1.6439788499139107,0.0015666604768401762
LDA400_abstract_weight__298_asd_autism_spectrum,0.12844249009671183,-1.5202725497430394,1.292390866230213,0.11192239558466346,1.5896115340201389,0.0013183601717003345
LDA400_abstract_weight__227_cortex_anterior_cingulate,0.24065766326316895,1.1733445513729028,1.03848890609473,0.1271683128591501,1.5253640798936394,0.032031177337597076
LDA400_abstract_weight__203_resonance_magnetic_control,0.1847100204531411,1.3263915977577025,1.0513247220738966,0.13591781929457847,1.4911663752522333,0.03062558080767098
LDA400_abstract_weight__111_pictures_neutral_picture,0.06385338214525982,-1.8532022022979955,1.351392595199398,0.13606749371773194,1.4905963860572413,0.0023326653197941255
LDA400_abstract_weight__133_video_clips_viewing,0.09688552218816437,-1.660143825647247,1.3225197324707914,0.13777944288954,1.484111122800742,0.0017179355402365747
LDA400_abstract_weight__339_rule_rules_abstraction,0.06385435609430845,-1.853195404709154,1.4995139557799402,0.14737295273403522,1.4488733574534916,0.0012131668773314342
LDA400_abstract_weight__65_pfc_prefrontal_cortex,0.08286150696765537,1.7343189499838103,1.2850235638213534,0.14802686737557785,1.4465361958343665,0.002689491980224112
LDA400_abstract_weight__130_frontal_inferior_gyrus,0.2208640396219801,1.2242338061412799,1.1334629044748412,0.1611717565464414,1.4011415240261813,0.002392218022888639
LDA400_abstract_weight__128_problem_problems_arithmetic,0.1230808482422413,-1.5419701467840055,1.2925229600101922,0.16934408689558939,1.3743144348903886,0.001500356288017639
LDA400_abstract_weight__161_smokers_smoking_nicotine,0.008484832091184558,-2.6321422832305816,2.4797427935317553,0.17890389076326552,1.3441376142204486,0.0010716408110889599
LDA400_abstract_weight__127_patterns_properties_strongly,0.1586637916368191,1.4095798116046176,1.1781244918537708,0.18864154410162876,1.314608404403896,0.0028446493031646525
LDA400_abstract_weight__209_exclusion_ds_rejection,0.06699277943466853,-1.8317224683620006,1.7716860093975322,0.19025076925948264,1.3098376326365035,0.0005074646184532175
LDA400_abstract_weight__165_instruction_instructed_instructions,0.16259718211809937,-1.3963896766158346,1.226932108070501,0.19183604360944623,1.3051668378872143,0.001553693071135961
LDA400_abstract_weight__324_bias_cr_biases,0.08010728840412584,-1.75006389825341,1.4868978527865995,0.2064144011924122,1.2634864833536943,0.0010199008224848166
LDA400_abstract_weight__249_phase_phases_pws,0.16801835765002926,-1.378599218486811,1.247529865234458,0.21916995249858306,1.228738270356365,0.0011785634183393743
LDA400_abstract_weight__256_encoding_memory_recognition,0.1597363893805792,1.4059586985290113,1.154384830855419,0.21974549388118825,1.2272051510567676,0.0038923984218873094
LDA400_abstract_weight__54_awareness_conscious_consciousness,0.059664082502453475,-1.8832678173118538,1.4942740770865994,0.23050057364290286,1.1990703971844159,0.0014229303182760886
LDA400_abstract_weight__198_ad_mci_disease,0.039174737666950454,-2.062346723313704,1.5927170385894627,0.2421419009082474,1.1696498664992956,0.001528678472418625
LDA400_abstract_weight__385_provide_patterns_profile,0.14379045457165351,1.4618203188768573,1.1739197820073615,0.25153923509963316,1.1466187225448015,0.0036780619111114058
LDA400_abstract_weight__271_expectancy_sensory_expectation,0.15981890354415018,-1.405680891715711,1.2690081310157304,0.2720085475494559,1.098448835776744,0.001131897025193883
LDA400_abstract_weight__257_preference_preferences_nirs,0.06189662267018092,-1.8670355563540406,1.7360144790069778,0.2789545833524497,1.0826707683415364,0.0006848053681964353
LDA400_abstract_weight__87_psychosis_risk_schizophrenia,0.025379239065779435,-2.2355808666699084,2.02000954540031,0.28467364464877604,1.0698792934243733,0.0009643200203940281
LDA400_abstract_weight__319_individual_variability_inter,0.10765377403992682,1.6088288344551764,1.1971206369671463,0.3137961337946102,1.0072885431468732,0.004397435224570681
LDA400_abstract_weight__364_network_graph_local,0.09207557307104408,-1.6845492331441487,1.3231491235683661,0.32427477302449426,0.9857113606282307,0.002044551572927613
LDA400_abstract_weight__36_frequency_hz_slow,0.09570323122180446,-1.666051129034975,1.3449111875178432,0.33460515114486017,0.9648795384766992,0.001723367676344211
LDA400_abstract_weight__329_items_recognition_item,0.26975163747964137,-1.1036346882918533,1.1171548669354572,0.3432418796094546,0.9477791842458247,0.0015381833323060462
LDA400_abstract_weight__311_knowledge_attributes_semantic,0.15506142582882154,-1.421878843925529,1.2671894657143432,0.345847279506314,0.9426747753040423,0.00129265237417612
LDA400_abstract_weight__62_familiar_unfamiliar_familiarity,0.18429328743102413,-1.3276514253138623,1.2404329835929297,0.36248072517171914,0.9106482763832335,0.0010565429699798323
LDA400_abstract_weight__218_sz_vta_substantia,0.11172992911729929,-1.590465442862923,1.4632158476085115,0.3740776136468228,0.8888613235531228,0.0007463088553521967
LDA400_abstract_weight__287_navigation_virtual_gait,0.2358096137742226,-1.1855258157900637,1.1832524526306225,0.377657301216766,0.8822210121875907,0.0008086497899119983
LDA400_abstract_weight__164_incompatible_compatibility_tmt,0.15070233394570842,-1.4370551137738525,1.3778826784951268,0.37840415500192404,0.8808405011347776,0.0005885391025449106
LDA400_abstract_weight__395_hr_physiological_hypothalamus,0.12205454731590237,-1.5462071498635115,1.4608905003041777,0.37840415500192404,0.8808405011347776,0.0006239944789090744
LDA400_abstract_weight__318_female_male_gender,0.12433823357224594,-1.536816573962952,1.380184843151446,0.38381858009257275,0.8708820107753414,0.0009467036717237527
LDA400_abstract_weight__158_significance_principal_methodology,0.13735516756953958,1.4857125578223347,1.1822145598001907,0.3867827014644222,0.8654666708575128,0.0037575173093166666
LDA400_abstract_weight__295_previous_research_reported,0.18086930786022548,1.338083226823096,1.0571555264719388,0.3955484082433812,0.8495983884383435,0.025831085395670257
LDA400_abstract_weight__290_tinnitus_mindfulness_meditation,0.05203241879185694,-1.9428654383471815,1.8933508990500645,0.40619667576816143,0.8306052361578443,0.0006659985851732988
LDA400_abstract_weight__255_action_actions_observation,0.35748430090412686,0.92016928789083,1.0472017582300457,0.416993574284938,0.8116481148118875,0.002365397944761721
LDA400_abstract_weight__306_understood_poorly_mechanisms,0.18551540722863313,1.3239627771197817,1.1650527734480356,0.416993574284938,0.8116481148118875,0.0026315974110955784
LDA400_abstract_weight__310_common_suggest_overlap,0.3352370992865886,0.9636187571562237,1.022559585680001,0.4233004234683282,0.8007084950164473,0.030761376655019018
LDA400_abstract_weight__336_personality_traits_trait,0.07331632311312952,-1.7908565166337536,1.4287872394294876,0.43341014308025416,0.7833695310905154,0.0016513516138711598
LDA400_abstract_weight__155_perspective_person_egocentric,0.23663129436213992,-1.18344888155457,1.1821599842965531,0.43438360177169066,0.7817124184785412,0.0008346352737632187
LDA400_abstract_weight__31_stimulus_response_type,0.3903176714728318,0.8590414074767367,1.0285920858370141,0.43774082329345365,0.7760138245240416,0.003119353610414612
LDA400_abstract_weight__262_allele_genotype_met,0.2968262513990929,-1.043263542147379,1.112822333090125,0.44060834143575967,0.7711663422508223,0.0010457108056783275
LDA400_abstract_weight__260_social_partner_interaction,0.09961266696573323,-1.646734318584092,1.4475946625116975,0.44085291528838977,0.7707537340960463,0.0010256761148754031
LDA400_abstract_weight__151_loss_gain_losses,0.1558167403160715,-1.4192822656098036,1.286103100017127,0.44559437420338655,0.7627803964071261,0.0011439135589165668
LDA400_abstract_weight__72_cognitive_control_cognition,0.1256543176003977,1.5314657797805291,1.1379003070225926,0.44695146672543273,0.7605072007025716,0.007539256256568458
LDA400_abstract_weight__115_wm_memory_working,0.25660590308806164,-1.1344498395439064,1.1443103684264777,0.45121543293344757,0.7533902617782913,0.0011241771435902086
LDA400_abstract_weight__37_anticipation_anticipatory_aversive,0.20432712077517667,-1.2693195377427855,1.2279634400993542,0.4538827397793207,0.748957635926635,0.0008762296353658757
LDA400_abstract_weight__119_temporal_lobe_anterior,0.34137009192068635,0.9514616214635999,1.0497775103835643,0.46252672079956947,0.7346926119465903,0.00370848687161043
LDA400_abstract_weight__44_parietal_temporal_frontal,0.29374520266051274,1.049941080523481,1.070764696395197,0.4626590301812732,0.7344754287598424,0.0040920168992189055
LDA400_abstract_weight__279_bimanual_sem_unimanual,0.27570415038079177,-1.0900204171442656,1.1430691511700293,0.46302823421928285,0.7338695708846367,0.000419314152494695
LDA400_abstract_weight__145_gyrus_temporal_frontal,0.19756077239334946,1.28853218580858,1.0574296641535728,0.4645605794353841,0.7313578897689237,0.02184455100762022
LDA400_abstract_weight__387_trial_single_task,0.2894800353027933,-1.0592629675698584,1.1028402058497817,0.4662007515693306,0.7286745705654105,0.0014963063229544685
LDA400_abstract_weight__316_sensitive_sensitivity_suggest,0.209894021545307,1.2538569043702514,1.0966196856689845,0.48188090972823483,0.7032805815214218,0.006450176699862718
LDA400_abstract_weight__380_reho_regional_homogeneity,0.3542942682356519,-0.926291969290016,1.0351163166081334,0.4842171984038013,0.6995358795380325,0.000710012446852061
LDA400_abstract_weight__56_cortex_prefrontal_orbitofrontal,0.197623626236068,1.2883515207827374,1.0934610773098843,0.4883698596317131,0.6929039038351399,0.007942652844189569
LDA400_abstract_weight__234_learning_learned_associations,0.3960324461802329,0.8487283878595766,1.026049208038841,0.49078255237230095,0.6890647009228097,0.0030575040374972748
LDA400_abstract_weight__265_magnetic_resonance_level,0.2740134828584049,1.0938666146124643,1.0370641580656241,0.5082535132925544,0.6615595890832061,0.024240568815480545
