feature,r
PC.Theory of Mind,0.13755184154358505
BD.Cognition.Social Cognition,0.13610951019216566
BD.Emotion,0.09604273914124957
ST.Stories,0.09218244719961609
PC.Emotion Induction,0.07612391746020701
RM.Not Defined.,0.06892751338305737
ST.Not Defined.,0.06892751338305737
BD.Not Defined.,0.06892751338305737
Instruct.Not Defined.,0.06892751338305737
SM.Not Defined.,0.06892751338305737
RT.Not Defined.,0.06892751338305737
PC.Autobiographical Recall,0.06707262405901174
Instruct.Answer,0.061391429401545156
PC.Self-Reflection,0.05819623474995594
Instruct.Choose,0.05439406844481434
PC.Film Viewing,0.04717472042456637
ST.Pictures,0.04594433310190384
ST.Video,0.04537941349171727
RT.Button Press,0.04492099264664394
SM.Visual,0.041102685887930666
PC.Face Monitor/Discrimination,0.03964805948423415
RM.Arm,0.03591503896827165
BD.Emotion.Sadness,0.034302680762258016
ST.Faces and Scenes,0.03163031760639431
ST.Faces,0.02947682322331812
BD.Emotion.Happiness,0.02837188014534009
BD.Emotion.Anger,0.02802476952331832
ST.Acupuncture,0.026079482278410625
PC.Acupuncture,0.025188174372185325
Instruct.Discriminate,0.023934990310364022
PC.Passive Viewing,0.0236157685398422
ST.Words,0.023553671709856963
BD.Cognition,0.019749062143991192
BD.Emotion.Disgust,0.019452519806065757
Contrast.Experience Dependent Change,0.018530889231365016
Instruct.Rate,0.01834635086218273
PC.Reward,0.018226128329290214
RM.Hand,0.017876100057365178
PC.Stroop-Emotional,0.01729304593872853
BD.Cognition.Memory.Explicit,0.015097567284151828
PC.Paired Associate Recall,0.014858138406552672
PC.Reading (Covert),0.013958100764228477
PC.Flanker,0.012876323507945264
PC.Lexical Decision,0.011724203647416895
BD.Emotion.Anxiety,0.011596830526261474
PC.Semantic Monitor/Discrimination,0.011021984321870446
PC.Episodic Recall,0.01043937230874194
PC.Affective Pictures,0.01017454666797843
PC.Oddball Discrimination,0.009094746196401904
BD.Emotion.Fear,0.008768362392533858
PC.Delay Discounting,0.007891026041836606
ST.Asian Characters,0.007584135159450358
ST.Scenes,0.006663864823424014
Contrast.Stimulus Type,0.006127732969100979
BD.Perception.Vision,0.0060554149566645595
PC.Deception,0.005208531750310347
PC.Reasoning/Problem Solving,0.0048879748869543665
BD.Cognition.Reasoning,0.0046989269180076785
BD.Cognition.Time,0.004697597246386684
BD.Emotion.Happiness.Humor,0.004669089965341287
BD.Cognition.Soma,0.004160246978386891
PC.Stroop-Color Word,0.0037001073558859516
BD.Interoception.Sexuality,0.003327146368756936
PC.Music Production,0.0031997329756302366
PC.Tone Monitor/Discrimination,0.0024906625836629915
Instruct.Repeat,0.002293941818845651
RT.Swallow,0.002122783605330452
ST.Mathematical Equation,0.0019474746553150197
PC.Wisconsin Card Sorting Test,0.0019244208266026232
PC.Divided Auditory Attention,0.0018885649864886856
Instruct.Report,0.001108292505142311
BD.Interoception,0.0010996204929902339
Contrast.Group,0.0008360314396120416
Instruct.Recall,-5.264454031572728e-05
BD.Cognition.Memory,-0.00028086110600564456
ST.Inhalation,-0.0004250133200750522
PC.Encoding,-0.0005747067464112396
BD.Cognition.Language.Orthography,-0.0006217156609537491
PC.Chewing/Swallowing,-0.0011629738790489986
PC.Taste,-0.0016945647918773276
BD.Action.Motor Learning,-0.0017281393290696785
PC.Imagined Objects/Scenes,-0.0017551766495663348
PC.Driving,-0.0017665916586628784
BD.Pharmacology.Caffeine,-0.0021033385600592474
ST.Interactive Computer Game,-0.0021033385600592496
ST.Interactive Computer Program,-0.0021033385600592496
PC.Multi-Tasking,-0.00210333856005925
RM.Wrist,-0.0021033385600592504
Instruct.Maintain,-0.0021033385600592535
ST.Arrow,-0.0021033385600592535
Instruct.Add,-0.002103338560059254
PC.Orthographic Discrimination,-0.0021173457459949976
Instruct.Encode,-0.002333838570645287
ST.Film Clip,-0.002478289532431168
PC.Stroop-Counting,-0.0025483375546979455
BD.Interoception.Thermoregulation,-0.002974764556859058
RT.Breath-Hold,-0.00297476455685906
ST.Letters and abstract objects,-0.0029747645568590645
ST.Spinner,-0.0029747645568590653
RM.Unknown,-0.0029747645568590653
RT.Unknown,-0.0029747645568590653
Instruct.Attend,-0.0029998351516331047
RM.Other,-0.0032203394774429706
BD.Perception.Olfaction,-0.0034506525871719836
ST.Braille,-0.003643566064481201
RM.Shoulder,-0.003643566064481213
PC.Visual Motion,-0.003643566064481224
PC.Cued Speech,-0.0036435660644812433
PC.Fluency Induction,-0.0036435660644812433
ST.Playing Cards,-0.0036435660644812433
Instruct.Predict,-0.003643566064481247
ST.Instruction,-0.0036435660644812563
BD.Pharmacology.Alcohol,-0.0036435660644812593
ST.Vignettes,-0.0036435660644812593
ST.Animations,-0.003798912171506312
ST.Odor,-0.0039094169979002015
PC.Olfactory Monitor/Discrimination,-0.0039094169979002015
Instruct.Inhibit,-0.00397763401281094
PC.Whistling,-0.004207503065436175
RT.Whistle,-0.004207503065436175
ST.Air Puff,-0.004207503065436182
ST.Abstract Patterns,-0.004207503065436204
ST.Blurred disk,-0.004207503065436206
PC.Luminance,-0.004207503065436209
PC.Physical Size,-0.00420750306543621
ST.Dots,-0.0042075030654362125
Instruct.Count,-0.004257184110662831
SM.Olfactory,-0.004356013459616149
RT.Point,-0.0043701312846272855
PC.Sexual Arousal/Gratification,-0.004376994186756381
PC.Passive Listening,-0.004619801090288528
RT.Blink,-0.004704439367466539
PC.Thirst Induction,-0.0047044393674665645
PC.Trauma Recall,-0.004704439367466581
RT.Smile,-0.004743900241944569
ST.Cartoons,-0.004815072427928037
