feature,r
LDA200_abstract_weight__77_mpfc_cortex_prefrontal,0.13310489327171882
LDA200_abstract_weight__145_mind_mental_social,0.1287846931052521
LDA200_abstract_weight__194_network_default_dmn,0.11012324351966275
LDA200_abstract_weight__154_social_interactions_interaction,0.07629115727468445
LDA200_abstract_weight__66_emotional_negative_amygdala,0.06924298177495435
LDA200_abstract_weight__30_events_future_personal,0.0614786077657185
LDA200_abstract_weight__42_negative_positive_vmpfc,0.058203118426646605
LDA200_abstract_weight__171_cortex_prefrontal_medial,0.05584919156271423
LDA200_abstract_weight__135_basal_ganglia_moral,0.03998009955163948
LDA200_abstract_weight__186_decision_making_choice,0.03418339448606177
LDA200_abstract_weight__33_anterior_cingulate_insula,0.03133836195264056
LDA200_abstract_weight__89_pfc_prefrontal_cortex,0.031004033126920152
LDA200_abstract_weight__38_adults_age_older,0.03076565612217094
LDA200_abstract_weight__137_regulation_emotion_reappraisal,0.028283042041022166
LDA200_abstract_weight__113_network_global_local,0.027682536004157952
LDA200_abstract_weight__25_state_resting_fc,0.02613361003883644
LDA200_abstract_weight__75_asd_autism_group,0.025077632182201732
LDA200_abstract_weight__182_experience_subjective_ratings,0.024991364801237682
LDA200_abstract_weight__84_research_previous_important,0.02440204044777626
LDA200_abstract_weight__28_memory_retrieval_episodic,0.02426495209738752
LDA200_abstract_weight__60_mechanisms_underlying_evaluation,0.02415349764767151
LDA200_abstract_weight__130_risk_high_taking,0.023453165308512602
LDA200_abstract_weight__67_adolescents_adolescent_age,0.022849371336348356
LDA200_abstract_weight__59_individual_variability_subject,0.022131614243720683
LDA200_abstract_weight__161_women_men_sex,0.021468312537865745
LDA200_abstract_weight__10_ofc_orbitofrontal_cortex,0.02024942777714265
LDA200_abstract_weight__88_network_frontoparietal_identified,0.019344771808073192
LDA200_abstract_weight__166_pictures_picture_images,0.01759115370343051
LDA200_abstract_weight__141_systems_predicted_models,0.01745144015541461
LDA200_abstract_weight__153_phase_women_menstrual,0.016907291777799413
LDA200_abstract_weight__100_gestures_abstract_race,0.0165811838683093
LDA200_abstract_weight__112_context_empathy_contextual,0.015754099729745726
LDA200_abstract_weight__168_baseline_time_follow,0.01569492918686605
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.015614210112525388
LDA200_abstract_weight__174_type_joint_sa,0.014769445012482297
