Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
PC.Stroop-Other,0.9980060723197722,-0.0024990203515181915,0.03466610826435423,0.00017555211202996258,3.751824826776477,0.9014568281416557
PC.Classical Conditioning,0.476198678943342,0.7124297817742699,0.02081621536785546,0.0019514872013626278,3.0975177334320283,0.837897771371549
BD.Cognition.Attention,3.899375659883541e-20,9.19079804385787,0.010037646998128398,0.002999860759811633,2.967752192950701,0.7048934575436342
ST.Electricity,0.4768879828160856,0.7113167361364553,0.018531684822777082,0.005460308118804794,2.7785442169009946,0.81760052021242
BD.Cognition.Memory.Working,7.353385929792014e-07,4.951790197238437,0.011062471768985109,0.009900443489693031,2.5792872052661764,0.7124005238239146
ST.Letters,7.38044361148526e-07,4.951075567028764,0.010439398387291044,0.021433046774231877,2.300267905607962,0.6930214194057842
PC.Delayed Match to Sample,0.1564591148852305,1.41708145151245,0.012499876987875923,0.04466951425481586,2.0077532941504037,0.7306007971264086
Instruct.Recall,1.9760078655956553e-10,6.363194048024111,0.00930592776737564,0.048788241643427,1.9704375847503577,0.657420618392251
PC.Stroop-Color Word,0.9980468788564533,-0.002447876785748796,0.01493522693391261,0.07451964827411038,1.7834096208050005,0.7696068445711958
ST.Shapes,1.558722961424704e-12,7.06916182309253,0.008755311764606295,0.08670036157339374,1.7130661989877172,0.6345354345934449
PC.n-back,0.15671603142278442,1.4162031584641221,0.011288088272261949,0.09123862093498941,1.6888998661603407,0.7003079838900734
PC.Reward,2.2064583745781907e-05,4.242904001619671,0.009235048133893508,0.11889309855408473,1.5594365187990178,0.6426299045599152
PC.Transcranial Magnetic Stimulation,0.4653131331245677,-0.7301260603929044,0.017768889890340995,0.127874566080914,1.5225370627316492,0.8039733699672408
ST.TMS,0.46568905740244937,-0.7295111376194937,0.017372522384353592,0.1369492519983418,1.4872482683359922,0.7994745139253809
Instruct.Detect,0.004661534287644064,2.829537457957119,0.009638456934124632,0.13762101871908283,1.4847086523580753,0.6525223092332908
Instruct.Repeat,0.47910267121569194,0.707746538677721,0.011155237055274839,0.15715403222708338,1.414708325896096,0.6931236624174189
ST.Digits,0.03378837542835369,2.122588190438176,0.009836464307183006,0.15816386620972234,1.4112739035250643,0.6567347899281357
RT.Button Press,2.9339527858770935e-120,23.317676842357034,0.006920917650024725,0.15895275571747614,1.4086024442258034,0.5980526076144443
BD.Emotion.Anxiety,0.4666972907589456,-0.7278632675737465,0.016305520711096724,0.16496727959486146,1.3885577264582147,0.7862682245889774
PC.Affective Pictures,0.9980521536163508,-0.002441265834845004,0.012302412767807825,0.1739299913884974,1.3596838485786744,0.719335116545663
Instruct.Count,0.9980524592612875,-0.002440882764583521,0.012149424756272236,0.18281553237098802,1.3321359090345923,0.7157254230842365
PC.Oddball Discrimination,0.46728487261920104,-0.7269038270219341,0.015681046707862502,0.1841693395776278,1.328026539497677,0.7776982097186701
SM.Visual,9.372306964101273e-203,30.382438286009084,0.006308816373352389,0.1861537948424656,1.3220431134492006,0.6169239944337684
BD.Emotion.Anger,0.46781614371218516,-0.7260369098921917,0.015114749082007344,0.20367715739678321,1.2711447510469545,0.7693086344771738
PC.Task Switching,0.9980531782327302,-0.0024399816648267006,0.011789401391288937,0.20561578979424358,1.265713174696398,0.7068495724889599
PC.Go/No-Go,0.479326544139572,0.7073861457124129,0.010409700567306609,0.22125609752364164,1.223194883777234,0.6702156455833258
PC.Word Generation (Overt),0.9980542103605631,-0.002438688080573614,0.011272247172322022,0.2436060846286186,1.1660206794671508,0.6930738725444988
